question,choices,answer,answer_letter,category,country,image_id,question_type,annotation_id,model_answer,Evaluation,run_time
الكسكس هو جزء من التراث الثقافي في موريتانيا كما يظهر في الصورة.,[],'TRUE',nan,Food,Mauritania,17337,true_false,13636,TRUE,0.667,1.2
ما هي الميزة المعمارية التي يظهر في الصورة والتي تشكل ممرات ضيقة تؤدي إلى أجزاء أخرى من المبنى؟,['A. الأبوابB. الأعمدةC. الأسوارD. النوافذ'],الأعمدة,B,LandMarks,Egypt,23018,multiple_choice,2823,A. الأبواب,0.0,1.69
ما هو الاسم الشائع الذي يطلق على المدافن التي تظهر في الصورة؟,['A. جبانة الباشورةB. مقبرة بيروت القديمةC. مقبرة العثمانيينD. تربة عمر'],جبانة الباشورة,A,Geography,Lebanon,42352.png,multiple_choice,12590,مقبرة بيروت القديمة,0.0,1.13
ما هو اللون الذي يظهر في الصورة للحجارة المستخدمة في بناء القبور في جبل حفيت؟,['A. لون أحمر غامقB. لون أزرق فاتحC. لون أصفر داكنD. لون بني فاتح'],لون بني فاتح,D,Geography,UAE,9367.png,multiple_choice,15661,لون أصفر داكن,0.0,1.2
ما هي المنطقة التاريخية التي تقام فيها هذه المسيرة؟,['A. حي الرفاعB. فريج المخارقةC. فريج الحمامD. سوق المنامة'],فريج الحمام,C,Geography,Bahrain,13884.png,multiple_choice,14784,A. حي الرفاع,0.0,1.7
هل يعد فندق قصر البستان من بين أكثر الفنادق شهرة في منطقة الخليج العربي؟,[],'TRUE',nan,Architecture,Oman,105364,true_false,4040,TRUE,0.667,1.22
ما هي الشكل الهندسي للقبور التي تظهر في الصورة؟,['A. القبور مربعة الشكلB. القبور مبنية بشكل دائري أو بيضاويC. القبور على شكل مكعبD. القبور على شكل نجمة'],القبور مبنية بشكل دائري أو بيضاوي,B,Geography,UAE,9365.png,multiple_choice,10669,B. القبور مبنية بشكل دائري أو بيضاوي,0.917,1.22
ما هو الطبق الشعبي المصري الذي يتم تحضيره في الإناء الظاهر في الصورة؟,['A. الفول المدمسB. المحشيC. الكشريD. الكفتة'],الفول المدمس,A,Food,Egypt,68327,multiple_choice,8897,الفول المدمس,1.0,1.35
ما هو الطبق الرئيسي الذي تقدمه المرأة كما يظهر في الصورة؟,['A. الباستا مع اللحم البقريB. الكفتة مع الأرزC. البرياني مع الدجاجD. الكسكس مع لحم الجمل'],الكسكس مع لحم الجمل,D,Food,Mauritania,17353,multiple_choice,13644,D. الكسكس مع لحم الجمل,0.864,1.29
كما يظهر في الصورة، تم بناء المعلم الأثري في فلسطين خلال فترة حكم الخليفة هشام بن عبد الملك.,[],'TRUE',nan,Architecture,Palestine,3049,true_false,9132,صواب,0.0,1.14
ما هو اللون الذي يميز وسط الزهور كما يظهر في الصورة؟,['A. أصفر لامعB. أحمر غامقC. أزرق فاتحD. أخضر داكن'],أصفر لامع,A,Flora,Morocco,30399.png,multiple_choice,19971,أصفر لامع,1.0,1.97
ما هي البيئة الطبيعية التي تحيط بالمبني الذي يظهر في الصورة؟,['A. جبال صخرية ووديان عميقةB. شواطئ رملية وبحيرات طبيعيةC. رمال صحراوية واسعة وأشجار نخيل قليلةD. غابات كثيفة ونهر صغير'],رمال صحراوية واسعة وأشجار نخيل قليلة,C,Geography,Kuwait,58587.png,multiple_choice,17496,C. رمال صحراوية واسعة وأشجار نخيل قليلة,0.923,2.12
ما هو العنصر الأثري الذي يظهر في الصورة ويقع في نهاية الطريق الواسع؟,['A. القناة المائيةB. الأشجار والنباتاتC. قوس النصرD. التوابيت الحجرية'],قوس النصر,C,Architecture,Lebanon,19103,multiple_choice,11970,قوس النصر,1.0,1.2
الظاهر في الصورة هو مدافن تعود إلى العصر الحديدي.,[],'FALSE',nan,Geography,UAE,9369.png,true_false,15066,صواب,0.0,0.96
ما هو السياق الثقافي الذي يرتبط به غطاء الرأس الذي يظهر في الصورة في تونس حاليًا؟,['A. الحفلات الموسيقية الحديثةB. الاحتفالات الرياضيةC. المناسبات والأعياد الدينيةD. الأسواق التجارية'],المناسبات والأعياد الدينية,C,Handicrafts,Tunisia,21067.png,multiple_choice,16946,C. المناسبات والأعياد الدينية,0.897,1.09
تم بناء هذا المعلم في عهد علي باي الثاني في القرن الثاني عشر الهجري.,[],'TRUE',nan,Architecture,Tunisia,45051,true_false,194,صواب,0.0,1.14
ما هو العنصر المعماري الذي يظهر في الصورة ويؤكد على فخامة البناء؟,['A. الأعمدة الخشبيةB. النوافذ الكبيرةC. السقوف العاليةD. الأقواس'],الأقواس,D,Architecture,Iraq,78340,multiple_choice,17103,C. السقوف العالية,0.0,1.36
ما هو المكون الذي يعطي حلوى بلح الشام لمعانًا إضافيًا؟,['A. الدقيقB. النشاC. القطر الحلوD. الزبادي'],القطر الحلو,C,Food,Egypt,68283,multiple_choice,302,القطر الحلو,1.0,1.14
ما هي النباتات التي تنمو في المناطق القريبة من جبال أكاكوس، مما يدل على قدرة الحياة على التكيف في البيئات القاسية؟,['A. الكالوتروبيسB. الزيتونC. الشجرة المثمرةD. النخيل'],الكالوتروبيس,A,LandMarks,Libya,131535,multiple_choice,18025,A. الكالوتروبيس,0.8,1.87
ما هي الآلة الموسيقية التقليدية التي يحملها الرجل الذي يظهر في الصورة؟,['A. الربابةB. الزرنة الجزائريةC. الطبلةD. الناي'],الزرنة الجزائرية,B,Music,Algeria,302.png,multiple_choice,26639,D. الناي,0.0,1.28
هل يعتبر الأقاشي وجبة صحية تمامًا وفاتحة للشهية؟,[],'TRUE',nan,Food,Sudan,101054,true_false,14790,صواب,0.0,1.87
الظاهر في الصورة يعكس تأثير العمارة الفاطمية في تصميم المسجد. هذا التأثير واضح في عناصر المعمار والزخارف مثل العقود المدببة والزخارف النباتية والكتابات بالخط الكوفي. هذا صحيح.,[],نعم,nan,Architecture,Yemen,524,true_false,1225,TRUE,0.0,0.92
ما هو النبات الذي يظهر في الصورة ويستخدم في الطب الشعبي وتحضير العلاجات الطبيعية في بعض المجتمعات المحلية في المغرب؟,['A. الجويسئة المستديرة الأزهارB. النباتات الطبيةC. الزهور البيضاءD. الأعشاب الطبية'],الجويسئة المستديرة الأزهار,A,Flora,Morocco,10208.png,multiple_choice,16923,الأعشاب الطبية,0.0,1.75
يوجد مطعم بابا كوستا في شارع الجمهورية بالقرب من فندق صحاري.,[],'TRUE',nan,Food,Sudan,101077,true_false,14895,FALSE,0.0,1.6
ما هو المعلم التاريخي الذي يظهر في الصورة ويعتبر رمزًا مهمًا في بلدية أم صلال؟,['A. القصر الملكيB. المسجد الكبيرC. السوق القديمD. قلعة برزان'],قلعة برزان,D,Geography,Qatar,25909.png,multiple_choice,14182,D. قلعة برزان,0.769,1.49
ما هو الوعاء الذي يظهر في الصورة ويستخدم لتقديم هذا الطبق الشهير؟,['A. صحن معدنيB. صحن بلاستيكيC. صحن زجاجيD. وعاء فخاري'],وعاء فخاري,D,Food,Lebanon,104910,multiple_choice,11717,وعاء فخاري,1.0,1.76
ما هي المكونات الأساسية المستخدمة في تطبيق التقنية التي تظهر في الصورة؟,['A. الخشب والزجاجB. الرمل والطينC. الصابون وجص الجيرD. الحديد والأسمنت'],الصابون وجص الجير,C,Architecture,Morocco,82881,multiple_choice,2473,C. الصابون وجص الجير,0.85,1.78
ما هو المعلم التاريخي الذي يظهر في الصورة ويعكس التطور الهندسي في العصر العباسي؟,['A. المئذنة الملويةB. السوق القديمC. الجامع الكبيرD. ضريح الإمامين'],الجامع الكبير,C,Architecture,Iraq,78258,multiple_choice,16442,A. المئذنة الملوية,0.0,1.31
كم عدد البلديات التي تشكل المقاطعة التي تظهر في الصورة؟,['A. خمس بلدياتB. اثنتان بلديتانC. ثلاث بلدياتD. أربع بلديات'],ثلاث بلديات,C,Geography,Mauritania,42558.png,multiple_choice,13805,أربع بلديات,0.636,1.29
ما هو النوع من الغطاء الرأس الذي يظهر في الصورة؟,['A. الشماخB. العمامة الحجازيةC. الغترةD. الكوفية'],العمامة الحجازية,B,Geography,Saudi_Arabia,32414.png,multiple_choice,10409,العمامة الحجازية,1.0,1.34
ما هو التصميم المعماري الذي يغطي بعض أجزاء الواجهة كما يظهر في الصورة؟,['A. النباتات الخضراءB. الألواح الشمسيةC. النوافذ الزجاجية الملونةD. الزخارف الحجرية'],النباتات الخضراء,A,Architecture,Lebanon,18946,multiple_choice,11904,A. النباتات الخضراء,0.842,1.27
ما هو المشروب التقليدي الذي يتم إنتاجه في البيئة التي يظهر في الصورة؟,['A. القهوةB. العصيرC. العرقيD. الشاي'],العرقي,C,Food,Sudan,101065,multiple_choice,14807,C. العرقي,0.667,1.64
ما هي الفترة التاريخية التي تعود إليها المدافن التي تظهر في الصورة؟,['A. العصر البرونزيB. العصر الحجريC. العصر الحديديD. العصر الإسلامي'],العصر البرونزي,A,Geography,UAE,9392.png,multiple_choice,10680,A. العصر البرونزي,0.824,1.74
ما هو الغرض من النوافذ الصغيرة المغطاة بشبكات حديدية كما يظهر في الصورة؟,['A. التحكم في درجة الحرارةB. الزينة الجماليةC. التهوية والإنارة الطبيعيةD. الحماية من الحيوانات'],التهوية والإنارة الطبيعية,C,Geography,Kuwait,58585.png,multiple_choice,17500,C. التهوية والإنارة الطبيعية,0.893,1.59
ما هو النوع من الحطب الذي يظهر في الصورة ويستخدم في إعداد الزرب؟,['A. حطب البلوطB. حطب الغضىC. حطب الصنوبرD. حطب النخيل'],حطب الغضى,B,Food,Jordan,18355,multiple_choice,20906,حطب الغضى,1.0,1.22
ما هو الموقع الجغرافي الذي تقع فيه القرية التي ينتمي إليها الظاهر في الصورة؟,['A. شرق موريتانياB. شمال موريتانياC. جنوب موريتانياD. غرب موريتانيا'],شرق موريتانيا,A,Geography,Mauritania,28351.png,multiple_choice,14047,لا أستطيع تحديد الموقع الجغرافي بناءً على الصورة.,0.0,1.29
الظاهر في الصورة يشير إلى أن إنزاك كان إلهًا للنخيل، مما يعكس أهمية النخيل في الحياة اليومية والاقتصادية لسكان دلمون.,[],'TRUE',nan,Geography,Bahrain,38623.png,true_false,11875,صواب/خطأ: TRUE,0.0,1.04
الظاهر في الصورة يعكس تأثيراً إسلامياً في تصميم القصر.,[],'TRUE',nan,Architecture,Kuwait,106874,true_false,8440,صواب,0.0,1.58
ما هو المعلم الحضري الذي يظهر في الصورة ويعكس تطور البنية التحتية في المدينة؟,['A. سوق تقليديB. برج عالي بتصميم مميزC. مبنى حكوميD. متحف تاريخي'],برج عالي بتصميم مميز,B,Geography,UAE,81673.png,multiple_choice,15626,برج عالي بتصميم مميز,1.0,1.16
كم عدد الغرف في الطابق السفلي كما يظهر في الصورة؟,['A. 15 غرفةB. 10 غرفC. 25 غرفةD. 20 غرفة'],20 غرفة,D,Architecture,Kuwait,106892,multiple_choice,8453,لا أستطيع تحديد عدد الغرف في الطابق السفلي بناءً على الصورة.,0.0,1.3
الصورة تظهر العديد من الأزقة الضيقة والشوارع التي تربط بين المباني، مما يعكس كثافة البناء وطبيعة التخطيط الحضري القديم. هذا صحيح.,[],صحيح,nan,Architecture,Yemen,583,true_false,1676,TRUE,0.0,2.63
التي تظهر في الصورة، تؤدي الرقصات الشعبية في الدوحة مساء الجمعة.,[],'FALSE',nan,Music,Qatar,61096.png,true_false,14183,صواب,0.0,1.99
في أي منطقة من الجزائر يُعرف اللباس التقليدي الذي يظهر في الصورة بالكساء أو الكسا؟,['A. الشرق الجزائريB. الجنوب الجزائريC. الغرب الجزائريD. العاصمة'],الغرب الجزائري,C,Clothes,Algeria,27351.png,multiple_choice,26424,A. الشرق الجزائري,0.706,1.94
ما هي الميزة الجغرافية التي تظهر في الصورة وتقع في إمارة أبو ظبي؟,['A. جبل ياسB. جبل حفيتC. جبل حنيفةD. جبل القارة'],جبل حفيت,B,Geography,UAE,9391.png,multiple_choice,15068,جبل حفيت,1.0,2.18
الحواوشي هو طبق شعبي في مصر تم ابتكاره عام 1971 على يد جزار مصري يُدعى محمد حواوشي.,[],'صحيح',nan,Food,Egypt,68211,true_false,282,FALSE,0.0,1.67
كما يظهر في الصورة، يربط شارع الخليج العربي بين العاصمة الكويتية ومدينة السالمية.,[],'TRUE',nan,Geography,Kuwait,84.png,true_false,17951,FALSE,0.0,1.39
ما هو اللون الغنائي الذي يظهر في الصورة والذي اشتهر به الفنان؟,['A. اللون الشعبيB. اللون المصريC. اللون الخليجيD. اللون الحضرمي'],اللون الحضرمي,D,Music,Saudi_Arabia,19511.png,multiple_choice,9310,لا أستطيع تحديد اللون الغنائي الذي يظهر في الصورة.,0.0,2.47
ما هو العنصر المعماري الذي يظهر في الصورة ويتميز بتصميمه الفريد الذي يجمع بين عناصر العمارة في عصر النهضة والباروكية الإيطالية والرومانسكية؟,['A. الدرجB. الصليب الكبيرC. النوافذ المقوسةD. الواجهة الأمامية للمبنى'],الواجهة الأمامية للمبنى,D,Architecture,Palestine,3098,multiple_choice,942,الواجهة الأمامية للمبنى,1.0,1.39
تم إزالة المئذنة التاريخية للمسجد في سبعينيات القرن الماضي.,[],'TRUE',nan,Geography,Libya,64943.png,true_false,19120,FALSE,0.0,1.67
ما هو الارتفاع الذي يظهر في الصورة والذي يرتفع بشكل ملحوظ فوق التضاريس المحيطة؟,['A. جبل الديرB. جبال النوبةC. الصحراء الكبرىD. النيل الأزرق'],جبل الدير,A,Geography,Sudan,47801.png,multiple_choice,19274,A. جبل الدير,0.75,1.04
ما هو التكوين الجيولوجي الذي يحيط بالحفرة التي تظهر في الصورة؟,['A. السهول الساحليةB. الصحراء الكبرىC. جبال حجرD. الوديان الجافة'],جبال حجر,C,Geography,Oman,8744.png,multiple_choice,10399,جبال حجر,1.0,1.28
كان أحمد شفيق أبو عوف من المساهمين في جمع التراث الموسيقي المصري وتطويره.,[],'صحيح',nan,Music,Egypt,84031.png,true_false,20224,FALSE,0.0,1.45
ما هو العنصر الطبيعي الذي يضيف جمالاً إضافياً وعمقاً بصرياً للمشهد في الصورة؟,['A. الحجار الضخمةB. أشجار خضراءC. السماء الزرقاءD. بركة ماء صغيرة'],بركة ماء صغيرة,D,Geography,Libya,20855.png,multiple_choice,19174,بركة ماء صغيرة,1.0,1.05
ما هو العنصر المعماري الذي يظهر في الصورة ويرتفع في الزاوية اليمنى من المبنى؟,['A. الأروقة ذات الأعمدة البيضاءB. القباب الزرقاءC. المئذنة العالية ذات الساعةD. القبة الذهبية'],المئذنة العالية ذات الساعة,C,Architecture,Iraq,78037,multiple_choice,16010,C. المئذنة العالية ذات الساعة,0.897,1.28
ميناء مرسى الحريقة يقع داخل خليج طبرق مما يوفر موقعاً استراتيجياً لعمليات الشحن والتفريغ.,[],'TRUE',nan,Geography,Libya,15083.png,true_false,18821,TRUE,0.667,1.8
ما هو الحدث التاريخي الذي وقع في الموقع الذي يظهر في الصورة في عام 2011؟,['A. هدم دوار اللؤلؤةB. افتتاح دوار الفاروقC. إنشاء نفق المنامةD. افتتاح جسر الملك فهد'],هدم دوار اللؤلؤة,A,Geography,Bahrain,27750.png,multiple_choice,14754,A. هدم دوار اللؤلؤة,0.842,1.54
ما هو الموقع الجغرافي الذي يظهر في الصورة والذي يعكس جمال العمارة القديمة في بلاد الرافدين؟,['A. الضفة اليمنى لنهر الفراتB. الضفة اليسرى لنهر دجلةC. الضفة اليمنى لنهر دجلةD. الضفة اليسرى لنهر الفرات'],الضفة اليمنى لنهر دجلة,C,Architecture,Iraq,78320,multiple_choice,17085,A. الضفة اليمنى لنهر الفرات,0.667,1.27
ما هي المدينة التي تظهر في الصورة كعاصمة إدارية للمحافظة التي تغطي مساحة واسعة في الجزء الشمالي من البلاد؟,['A. مدينة صيداB. مدينة صورC. مدينة بيروتD. مدينة طرابلس'],مدينة طرابلس,D,Geography,Lebanon,57487.png,multiple_choice,12366,مدينة طرابلس,1.0,1.04
ما هو التاريخ الذي يظهر في الصورة لتصنيف هذا المعلم؟,['A. 1711B. 13 مارس 1912C. 1957D. 1964'],13 مارس 1912,B,Architecture,Tunisia,45058,multiple_choice,209,13 مارس 1912,1.0,1.66
المنطقة التي يظهر في الصورة هي جزء من المحمية الطبيعية الدولية التي تم إدراجها ضمن لائحة التراث العالمي من قبل اليونسكو.,[],'TRUE',nan,Architecture,Iraq,78244,true_false,16435,TRUE,0.667,1.05
ما هو المكون الرئيسي الذي يظهر في الصورة ويستخدم في صناعة المش، وهو وجبة شعبية في مصر؟,['A. العسلB. الزباديC. القريشةD. اللبن'],القريشة,C,Food,Egypt,68441,multiple_choice,379,القريشة,1.0,0.97
الظاهر في الصورة هو معلم أثري محفور في جرف صخري سحيق في وادي مرقس، وهذا المعلم هو صرح مرقس الأنجيلي.,[],'TRUE',nan,Geography,Libya,30401.png,true_false,19057,FALSE,0.0,1.0
ما هي الميزة المعمارية التي تحيط بالمسجد كما يظهر في الصورة؟,['A. ممرات مزخرفة بالزهورB. جدران عالية للحمايةC. أحواض مياه تشبه البحار المحيطة بالوطن العربيD. حدائق واسعة للصلاة'],أحواض مياه تشبه البحار المحيطة بالوطن العربي,C,Architecture,Iraq,78040,multiple_choice,16013,C. أحواض مياه تشبه البحار المحيطة بالوطن العربي,0.936,1.44
ما هي الميزة المعمارية التي يظهر في الصورة والتي تتميز بها المباني في صنعاء القديمة؟,['A. الأبواب الحديديةB. الأسوار الحجريةC. القباب الزجاجيةD. النوافذ الخشبية المزخرفة'],النوافذ الخشبية المزخرفة,D,Architecture,Yemen,586,multiple_choice,1679,النوافذ الخشبية المزخرفة,1.0,1.94
كما يظهر في الصورة، تم تحويل المبنى الضخم إلى مركز لرئاسة الوزراء في لبنان المستقل.,[],'TRUE',nan,Architecture,Lebanon,18643,true_false,11810,FALSE,0.0,1.47
الصورة تظهر أن المارينا في الدوحة تلعب دوراً حيوياً في النشاط الاقتصادي والسياحي.,[],'TRUE',nan,Geography,Qatar,82063.png,true_false,14060,TRUE,0.667,1.49
ما هو الدور الذي يلعبه المبنى الظاهر في الصورة في الاقتصاد المحلي؟,['A. نقل البضائع المحلية فقطB. استيراد المنتجات الزراعيةC. خدمة السياحة البحرية فقطD. الصيد البحري والصناعات المرتبطة به'],الصيد البحري والصناعات المرتبطة به,D,Geography,Mauritania,63520.png,multiple_choice,14039,D. الصيد البحري والصناعات المرتبطة به,0.919,1.18
ما هو المكون الذي يضفي الحموضة الفريدة على الطبق الذي يظهر في الصورة؟,['A. الزباديB. الليمونC. اللبن الجميدD. الخل'],اللبن الجميد,C,Food,Jordan,18490,multiple_choice,16369,لا أستطيع تحديد المكون الذي يضفي الحموضة الفريدة على الطبق في الصورة.,0.0,1.33
ما هو اللون الذي يشير إلى نوع العنجيرة الأحمر في الصورة؟,['A. تيكورB. أصفرC. كايD. نيتش'],كاي,C,Food,Sudan,101042,multiple_choice,14804,لا أستطيع المساعدة في ذلك.,0.0,1.29
ما هو المعلم المعماري الذي يظهر في الصورة ويتميز بتصميمه الفريد الذي يمزج بين العناصر التقليدية والحديثة؟,['A. المسجد الكبيرB. القصر السلطاني القديمC. السوق المركزيD. قصر العلم'],قصر العلم,D,Architecture,Oman,105536,multiple_choice,4464,قصر العلم,1.0,0.91
ما هي المرحلة المهمة في إعداد الطبق الذي يظهر في الصورة؟,['A. تقطيع اللحم إلى قطع صغيرةB. تقطيع الخبز إلى شرائح رقيقةC. خلط الخضروات مع التوابلD. فرد العجين حتى ينضج'],فرد العجين حتى ينضج,D,Food,Saudi_Arabia,133453,multiple_choice,10977,D. فرد العجين حتى ينضج,0.864,3.18
ما هو الطبق التقليدي الذي يظهر في الصورة ويتميز بقشره الذهبي اللامع؟,['A. البقلاوةB. القطايفC. الحلاوةD. الكنافة'],القطايف,B,Food,Lebanon,104897,multiple_choice,11715,A. البقلاوة,0.0,1.95
ما هي المدينة التي تظهر في الصورة وكانت عاصمة للمملكة النوميدية الموحدة سياسياً وثقافياً؟,['A. تيمقادB. تيجيC. تيبازةD. سيرتا'],سيرتا,D,LandMarks,Algeria,5328,multiple_choice,26467,D. سيرتا,0.625,1.52
ما هو المكون الذي يُضاف إلى الطبق الذي يظهر في الصورة ليعطيه نكهة خاصة وملمساً لزجاً؟,['A. التمرB. العسلC. السمسمD. الرطب'],الرطب,D,Food,Saudi_Arabia,133416,multiple_choice,10970,B. العسل,0.0,0.97
ما هي الميزة المعمارية التي تتميز بها المباني في المصيطبة كما يظهر في الصورة؟,['A. نوافذ دائرية مزخرفة بالرخامB. نوافذ مقوسة مزخرفة بالشباك الحديديC. نوافذ مستطيلة مزخرفة بالزجاج الملونD. نوافذ مربعة مزخرفة بالخشب'],نوافذ مقوسة مزخرفة بالشباك الحديدي,B,Architecture,Lebanon,18654,multiple_choice,11814,نوافذ مقوسة مزخرفة بالشباك الحديدي,1.0,1.3
ما هي الآلة الموسيقية التقليدية التي يمسكها الرجل الذي يظهر في الصورة؟,['A. الطبلةB. الربابةC. البنديرD. الناي'],البندير,C,Music,Algeria,5217.png,multiple_choice,26805,C. البندير,0.7,1.27
ما هو المظهر الذي يظهر في الصورة في الخلفية ويعكس جواً من الهدوء والاسترخاء؟,['A. جبال شاهقةB. أمواج البحر الهادئةC. صحراء واسعةD. غابات كثيفة'],أمواج البحر الهادئة,B,Architecture,Oman,105370,multiple_choice,4046,B. أمواج البحر الهادئة,0.864,1.62
ما هو نوع البدلة التي يرتديها الفنان الذي يظهر في الصورة؟,['A. بدلة أنيقة ذات نقوش زهريةB. بدلة كاجوال بسيطةC. بدلة تقليدية مصريةD. بدلة رسمية سوداء'],بدلة أنيقة ذات نقوش زهرية,A,Music,Egypt,6965.png,multiple_choice,12836,بدلة أنيقة ذات نقوش زهرية,1.0,1.18
ما هي الآلة الموسيقية التي يحملها أحد أفراد الفرقة التي تظهر في الصورة؟,['A. الربابةB. الطبلC. النايD. القانون'],الربابة,A,Music,Algeria,22629.png,multiple_choice,27362,لا أستطيع تحديد الآلة الموسيقية بناءً على الصورة.,0.0,1.96
ما هي الأدوات التقليدية المستخدمة في تحضير الطبق كما يظهر في الصورة؟,['A. الأواني المصنوعة من الطين والخوصB. الأواني المصنوعة من البلاستيكC. الأواني المصنوعة من الزجاجD. الأواني المصنوعة من الفولاذ المقاوم للصدأ'],الأواني المصنوعة من الطين والخوص,A,Food,Mauritania,17335,multiple_choice,19016,الأواني المصنوعة من الطين والخوص,1.0,1.49
كما يظهر في الصورة، تقع القبة في الركن الشمالي الغربي من قبة الصخرة.,[],'TRUE',nan,Architecture,Palestine,2999,true_false,455,FALSE,0.0,1.43
ما هي الميزة التي تظهر في الصورة وتضفي جواً من الإشراق والراحة على المكان؟,['A. ألواح حمراء وبيضاءB. خطوط خشبية صفراءC. أعمدة بيضاءD. نوافذ مربعة'],خطوط خشبية صفراء,B,Geography,Qatar,58506.png,multiple_choice,14174,C. أعمدة بيضاء,0.0,1.67
الطريق الذي يظهر في الصورة يمتد إلى البصرة.,[],'TRUE',nan,Geography,Kuwait,24763.png,true_false,17932,FALSE,0.0,1.85
ما هو اللباس التقليدي الذي يظهر في الصورة؟,['A. الجلباب المصريB. العمامة البيضاء والعباءة السوداءC. الثوب العربيD. القفطان المغربي'],العمامة البيضاء والعباءة السوداء,B,Music,Algeria,60367.png,multiple_choice,26794,B. العمامة البيضاء والعباءة السوداء,0.914,2.04
كانت النقوش والزخارف تستخدم في العمارة اليمنية القديمة لتزيين الجدران فقط.,[],لا,nan,Architecture,Yemen,462,true_false,989,FALSE,0.0,1.27
ما هو الشراب الذي يغطي الكنافة ويجعلها لامعة؟,['A. العسلB. شراب السكرC. الحليبD. الزيت'],شراب السكر,B,Food,Egypt,68275,multiple_choice,8884,شراب السكر,1.0,0.94
ما هو الزي التقليدي الذي يظهر في الصورة ويتميز بسترة مخملية مطرزة بخيوط ذهبية؟,['A. الفتلةB. المحرمة الفتولC. الكاراكوD. الشلقة'],الكاراكو,C,Clothes,Algeria,55479.png,multiple_choice,26350,C. الكاراكو,0.727,1.81
ما هي الميزة المعمارية الظاهر في الصورة التي ترتفع لأكثر من 84 متراً وتعطي للجامع مظهراً مهيباً وفخماً؟,['A. المنارات العاليةB. الحدائقC. موقف السياراتD. القبة الكرستالية'],المنارات العالية,A,Architecture,Oman,105397,multiple_choice,4264,A. المنارات العالية,0.842,1.52
ما هو الشارع التاريخي الذي يظهر في الصورة ويعتبر من أقدم الشوارع في الدوحة؟,['A. شارع سوق واقفB. شارع الكهرباءC. شارع كورنيش الدوحةD. شارع الديوان الأميري'],شارع الكهرباء,B,Geography,Qatar,10154.png,multiple_choice,14154,A. شارع سوق واقف,0.0,1.8
ما هو النوع من المباني القديمة الذي يظهر في الصورة؟,['A. الكنائس القديمةB. القصور الحديثةC. المساجد الإسلاميةD. المباني الآشورية القديمة ذات الأعمدة والسلالم'],المباني الآشورية القديمة ذات الأعمدة والسلالم,D,Architecture,Iraq,78322,multiple_choice,17086,D. المباني الآشورية القديمة ذات الأعمدة والسلالم,0.938,2.08
