id,imgname,query,ground_truth,ground_truth_ar,type,model_answer,evaluation_passed,run_time
25,two_col_102509.png,ما هو استهلاك الطاقة للقطاع الزراعي والغذائي في عام 2009؟,30.3,٣٠.٣,augmented,30.3 مليون طن من مكافئ النفط (م.ط.م),True,1.45
26,two_col_103172.png,كم عدد ماسحات التصوير المقطعي بالإصدار البوزيتروني (PET) في اليونان عام 2018؟,13,١٣,augmented,13 ماسحة,True,1.243
27,two_col_40849.png,ما هو الناتج المحلي الإجمالي لولاية نبراسكا بالدولار في عام 2020؟,114.96,١١٤.٩٦,augmented,$113.75 billion,False,1.149
28,two_col_3680.png,ما هي أكبر دولة في أمريكا الجنوبية؟,Brazil,البرازيل,augmented,البرازيل 8 515 770,True,1.139
29,two_col_3680.png,ما هي المساحة الإجمالية لأرجينتينا؟,2780400,٢٧٨٠٤٠٠,augmented,2 780 400 كيلومتر مربع,False,1.06
30,two_col_22285.png,ما هي المنطقة التي حققت أعلى حصة من قيمة سوق رعاية صحة الحيوان العالمي في عام 2017؟,North America,أمريكا الشمالية,augmented,North America 30.6%,True,0.874
31,two_col_22285.png,ما هي النسبة المئوية من إجمالي قيمة سوق رعاية صحة الحيوان التي استحوذت عليها أمريكا الشمالية في عام 2017؟,30.6,٣٠.٦,augmented,30.6%,True,1.356
32,two_col_5054.png,ما هي نسبة إيرادات موقع إيباي التي تم توليدها من المعاملات في الربع الأخير؟,2707,٢٧٠٧,augmented,لا,False,1.12
33,two_col_100037.png,من لعب أكبر عدد من المباريات في تاريخ فريق لوس أنجلوس دودجرز؟,Zack Wheat,زاك ويت,augmented,"زاك ويت 2,322",True,1.56
34,two_col_21207.png,ما هو عدد المستخدمين المعتمدين على الهاتف المحمول فقط في الربع الرابع من عام 2016؟,823,٨٢٣,augmented,"1,149 مليون",False,3.208
35,two_col_21207.png,كم عدد مستخدمي فيسبوك الذين وصلوا إلى موقع التواصل الاجتماعي عبر جهاز محمول فقط كل شهر اعتبارًا من الربع الرابع لعام 2016؟,823,٨٢٣,augmented,"1,149 مليون مستخدم",False,1.373
36,two_col_6090.png,كم عدد مشاهدات القناة التي حققتها دوف خلال فترة المسح؟,145.69,١٤٥.٦٩,augmented,145.69 مليون,True,1.949
37,two_col_6090.png,ما هي العلامة التجارية التجميلية التي حققت 145.69 مليون مشاهدة للقنوات خلال فترة المسح؟,Dove,أين,augmented,Dove,True,0.844
38,two_col_40773.png,ما هي القيمة السوقية لشركة بيلوتون؟,28649,٢٨٦٤٩,augmented,"$8,100 مليون",False,0.891
39,two_col_40773.png,ما هي القيمة السوقية لشركة واي فير؟,27760,٢٧٧٦٠,augmented,"$4,000 مليون",False,0.911
40,two_col_4501.png,كم كان حجم سوق الخدمات اللوجستية للطرف الثالث في الولايات المتحدة بالدولار؟,252.5,٢٥٢.٥,augmented,$252.5,True,2.288
41,two_col_22437.png,كم كان دخل ستيفن كينغ قبل عام؟,27,٢٧,augmented,$17 مليون,False,0.89
42,two_col_82263.png,ما هو إجمالي إنتاج بيض الدجاج في فرنسا عام 2008؟,15.3,١٥.٣,augmented,15.2 مليار,False,0.874
43,two_col_82263.png,ما هو إجمالي إنتاج بيض الدجاج في فرنسا عام 2013؟,16.1,١٦.١,augmented,16.1 مليار,True,1.065
44,two_col_3113.png,بالإضافة إلى نيويورك وكاليفورنيا، ما هي الولاية التي كان بها أكبر عدد من أطباء الأسنان العاملين في عام 2019؟,Texas,تكساس,augmented,تكساس 15 603,True,2.556
45,two_col_40246.png,منذ أي عام بدأ نصيب الأشخاص الذين يعيشون في فقر مدقع في المناطق الريفية بالصين في التناقص؟,2000,٢٠٠٠,augmented,2000,True,1.919
46,two_col_40246.png,متى أعلنت الحكومة الصينية أن جميع المقيمين في الصين قد تخلصوا من الفقر المدقع؟,2020,٢٠٢٠,augmented,2020,True,0.873
47,two_col_4730.png,ما هو معدل النجاح في امتحانات شهادة GCSE في المملكة المتحدة عام 2020؟,76.3,٧٦.٣,augmented,76.3%,True,3.746
48,two_col_81596.png,ما هو تقييم EquiTrend لبيتزا بابا جون في عام 2012؟,64.15,٦٤.١٥,augmented,64.15,True,0.902
49,two_col_24500.png,ما هو إجمالي إيرادات BDO للسنة المالية المنتهية في 30 سبتمبر 2020؟,10.3,١٠.٣,augmented,10.3 مليار دولار أمريكي,True,1.238
50,two_col_22729.png,ما هو إيراد DCG لشركة إنتل في الربع الأول من عام 2021؟,5.6,٥.٦,augmented,$19.8 مليار,False,1.183
51,two_col_100622.png,ما هي النسبة المئوية من الناتج المحلي الإجمالي لإندونيسيا التي شكلتها المدخرات الإجمالية لإندونيسيا في عام 2018؟,31.99,٣١.٩٩,augmented,30.79%,True,1.331
52,two_col_40777.png,ما هي القيمة الحالية الصافية لشركة آيدي-سيل اعتبارًا من عام 2020؟,6.2,٦.٢,augmented,6.2 مليار دولار,True,7.397
53,two_col_63807.png,ما هو معدل الطلاق في داكوتا الجنوبية عام 1990؟,3.7,٣.٧,augmented,3.7 لكل 1000 نسمة,True,5.856
54,two_col_63807.png,ما هو معدل الطلاق لكل ألف نسمة في داكوتا الجنوبية عام 2019؟,2.6,٢.٦,augmented,2.6 لكل ألف نسمة,True,2.639
55,two_col_40873.png,في أي عام عجزت شركة صنكور للطاقة عن تحقيق ربح سنوي؟,2015,٢٠١٥,augmented,"2015, 2016, 2019",True,0.847
56,two_col_40873.png,ما هو صافي خسارة شركة صنكور إنيرجي بالدولار الكندي في عام 2020؟,4304,٤٣٠٤,augmented,"$-4,319",False,1.481
57,two_col_83032.png,ما هو أكثر معلم سياحي مدفوع الزيارة في جنوب غرب إنجلترا عام 2019؟,Stonehenge,ستونهاج,augmented,Stonehenge 1 604 248,True,1.027
58,two_col_83032.png,كم عدد الأشخاص الذين زاروا ستونهنج في عام 2019؟,1604248,١٦٠٤٢٤٨,augmented,1 604 248,False,1.421
59,two_col_4424.png,كم عدد طلبات اللجوء التي قُدمت في السويد عام 2015؟,162915,١٦٢٩١٥,augmented,162 915 طلب لجوء,False,1.477
60,two_col_63501.png,ما هي قيمة ودائع العملاء في سانتاندر عام 2004؟,283212,٢٨٣٢١٢,augmented,$800 مليون يورو,False,1.015
61,two_col_63501.png,متى سُجِّل أعلى قيمة لإيداعات العملاء في سانتاندر؟,2004,٢٠٠٤,augmented,2020، €900 مليون,False,0.735
62,two_col_2853.png,كم أنفقت شركة رويال نيدرنغ شيل على البحث والتطوير في سنتها المالية لعام 2020؟,907,٩٠٧,augmented,$907 مليون,True,0.804
63,two_col_41724.png,ما هو مقدار إيرادات سلع المستهلكين للاتصالات في أوروبا الغربية في الربع الأول من عام 2020؟,13.98,١٣.٩٨,augmented,14.16 مليار يورو,False,1.41
64,two_col_104369.png,ما هي نسبة فائض ميزانية لوكسمبورغ من الناتج المحلي الإجمالي للوكسمبورغ في عام 2019؟,2.43,٢.٤٣,augmented,1.92%,False,1.305
65,two_col_82420.png,ما هي قيمة صناعة الرعاية في كندا عام 2016؟,1.96,١.٩٦,augmented,$1.96 مليار,True,1.188
66,two_col_82420.png,ما هي قيمة صناعة الرعاية في عام 2014؟,1.66,١.٦٦,augmented,$1.39 مليار كندي,False,0.807
67,two_col_100617.png,ما هو نصيب الفرد من الأعمال في جزيرة الأمير إدوارد في ديسمبر 2019؟,50.8,٥٠.٨,augmented,"50.8 الأعمال لكل 1,000 نسمة",True,1.064
68,two_col_95.png,ما هي اللعبة الثانية الأعلى إيرادات في الولايات المتحدة في عام 2021؟,Candy Crush Saga,كاندي كراش ساجا,augmented,Candy Crush Saga,True,1.095
69,two_col_95.png,ما هو تطبيق ألعاب الآيفون الأعلى إيرادات في الولايات المتحدة في مارس 2021؟,Roblox,روبلوكس,augmented,Roblox,True,1.112
70,two_col_95.png,كم حققت لعبة كاندي كراش ساجا من المال يوميًا؟,2026652,٢٠٢٦٦٥٢,augmented,"$2,026,632",True,0.933
71,two_col_6175.png,ما كان إنتاج القمح في الأريزونا لكل فدان في عام 2020؟,99,٩٩,augmented,99 بوشل لكل فدان,True,1.073
72,two_col_61753.png,بالإضافة إلى SmileDirectClub، ما هي العلامة التجارية للأزياء عبر الإنترنت التي تصدرت تشوي أمامها؟,Stitch Fix,ستيتش فيكس,augmented,Dollar Shave Club,False,1.079
73,two_col_61753.png,ما هي العلامة التجارية للعناية الشخصية التي تصدرت تشوي أمامها؟,SmileDirectClub,SmileDirectClub,augmented,Chewy,False,0.887
74,two_col_61753.png,كم عدد الزوار الفريدين الذين يصلون إلى تشيوي كل شهر؟,14.3,١٤.٣,augmented,14.3 مليون زائر فريد.,True,1.042
75,two_col_61753.png,ما هي العلامة التجارية الأكثر شعبية للبيع المباشر للمستهلك في الولايات المتحدة؟,Chewy,مطاطي,augmented,"Chewy 14.3, SmileDirectClub 6.8, Stitch Fix 4.1, Dollar Shave Club 3.8, 23andMe 2.5, BarkBox 2.5, Purple 1.6, Harry's 1.4, ThirdLove 1.3, Warby Parker 1.3",True,1.675
76,two_col_24018.png,ما هي نسبة الإشغال للأسرة في مرافق التمريض الماهرة في عام 2014؟,87.1,٨٧.١,augmented,87.1%,True,0.769
77,two_col_24018.png,ما هي نسبة الإشغال للأسرة في مرافق التمريض الماهرة في عام 2018؟,85.1,٨٥.١,augmented,84.5%,True,1.025
78,two_col_5731.png,ما كانت حصة جوجل كرومكاست في السوق عام 2014؟,14,١٤,augmented,14%,True,0.925
79,two_col_62357.png,من يمتلك الرقم القياسي لأكبر عدد من التدخلات في كأس العالم؟,Thierry Dusautoir,تييري دوسوتوار,augmented,Thierry Dusautoir 188,True,1.227
80,two_col_62357.png,أي لاعب رغبي فرنسي قام بأكبر عدد من التدخلات في كأس العالم؟,Julien Bonnaire,جوليان بونير,augmented,Thierry Dusautoir 188,False,1.097
81,two_col_83324.png,ما هو إجمالي دين الحكومة الفنلندية من عام 2008 إلى عام 2018؟,135.8,١٣٥.٨,augmented,"إجمالي دين الحكومة الفنلندية من عام 2008 إلى عام 2018 هو: 63.3, 75.5, 88.2, 95.5, 107.7, 114.8, 123.7, 133.2, 136.2, 137.5, 135.8.",True,1.386
82,two_col_61492.png,كم عدد زوار متنزه بوسطن الوطني التاريخي في عام 2019؟,3.2,٣.٢,augmented,3.2 مليون,True,0.768
83,two_col_104619.png,ما هي النسبة المئوية من سكان الولايات المتحدة الذين كانوا أطفالاً في عام 2019؟,22.3,٢٢.٣,augmented,22.3%,True,1.247
84,two_col_100282.png,كم عدد الشركات التي صنعت أجهزة الكمبيوتر والمعدات الطرفية في جمهورية التشيك عام 2017؟,250,٢٥٠,augmented,250 عدد الشركات التي صنعت أجهزة الكمبيوتر والمعدات الطرفية في جمهورية التشيك عام 2017.,True,1.281
85,two_col_2751.png,ما هي العلامة التجارية الماليزية الثانية الأكثر قيمة؟,Maybank,مايبنك,augmented,"Maybank, 3 979",True,1.247
87,two_col_2751.png,ما هي قيمة علامة بترونياس التجارية بالدولار الأمريكي في عام 2020؟,15215,١٥٢١٥,augmented,$15 215 مليون,False,0.87
88,multi_col_20217.png,ما هو إجمالي الإيرادات للسكك الحديدية الوطنية من رسوم الركاب في عام 2019/20؟,10208,١٠٢٠٨,augmented,"£9,000 مليون جنيه إسترليني",False,0.743
89,two_col_62923.png,كم عدد الزيجات التي سُجلت في إيطاليا عام 2010؟,217700,٢١٧٧٠٠,augmented,217700,True,0.807
90,two_col_21251.png,ما هو فريق كرة القدم في أمريكا اللاتينية الذي كان لديه متوسط العمر الأقدم؟,Costa Rica,كوستاريكا,augmented,الأرجنتين 29.6 سنوات,False,1.328
91,two_col_447.png,ما هو أكبر حديقة مدينة في الولايات المتحدة؟,Chugach State Park,منتزه تشوجات سيتي,augmented,"Chugach State Park 464,518",True,1.196
92,two_col_41603.png,ما هي قيمة مبيعات التجزئة للجبن في المملكة المتحدة عام 2013؟,6562.8,٦٥٦٢.٨,augmented,6 426.5 مليون دولار أمريكي,False,2.312
93,two_col_103497.png,من هو قائد المسيرة المهنية لفريق سان فرانسيسكو 49رز؟,Jerry Rice,جيري رايس,augmented,جيري رايس,True,0.777
94,two_col_1306.png,ما هي العلامة التجارية التي احتلت المركز الثاني في سوق زيوت التشحيم السريعة في الولايات المتحدة؟,Valvoline,فالفولين,augmented,Valvoline 22%,True,0.78
95,two_col_1306.png,ما هي العلامة التجارية الرائدة في سوق زيوت المحركات في فاست لوبز لعام 2018؟,Pennzoil,بينزوويل,augmented,Pennzoil 39%,True,0.861
96,two_col_22926.png,ما هو معدل الخصوبة في إندونيسيا عام 2019؟,2.29,٢.٢٩,augmented,2.29 عدد الأطفال المولودين لكل امرأة.,True,1.113
97,multi_col_100501.png,ما هي النسبة المئوية لحصة السوق التي شكلتها الأصول التكليفية التقديرية في هولندا؟,31,٣١,augmented,31%,True,0.76
98,two_col_4682.png,كم عدد ناقلات النفط الخام الكبيرة جداً حتى أبريل 2020؟,810,٨١٠,augmented,810 ناقلات النفط الخام الكبيرة جداً.,True,1.474
99,two_col_82551.png,"كم عدد المشاهدات التي حققها مقطع ""ذا روك"" الترويجي لهاتف آيفون 7 من آبل؟",25.4,٢٥.٤,augmented,25.4 مليون,True,0.999
100,two_col_82551.png,كم عدد المشاهدات التي حققها إعلان ديور لميس ديور؟,43,٤٣,augmented,110.7 مليون,False,1.206
101,multi_col_60782.png,كم عدد متابعي فريق مينيسوتا فايكنجز لكرة القدم على فيسبوك في فبراير 2021؟,2.11,٢.١١,augmented,1.6 مليون,False,0.789
102,two_col_674.png,ما هي شركة النقل الجوي التي كانت الرائدة في قطاع الطيران في الهند اعتبارًا من عام 2019؟,IndiGo,إنديغو,augmented,IndiGo 43%,True,1.211
103,two_col_101324.png,كم عدد فروع لا-زي-بوي كومفورت ستوديو التي كانت تديرها لا-زي-بوي اعتبارًا من عام 2020؟,555,٥٥٥,augmented,555 فروع,True,1.077
104,two_col_63045.png,ما هو معدل وفيات الرضع في بوروندي عام 2019؟,39.9,٣٩.٩,augmented,39.9 لكل 1000 ولادة حية,True,5.295
105,two_col_41504.png,كم عدد الاشتراكات الهاتفية المسجلة لكل 100 شخص في الكونغو بين عامي 2000 و 2019؟,42.77,٤٢.٧٧,augmented,50.3 اشتراك لكل 100 شخص في 2015.,False,1.614
106,two_col_41504.png,بين أي عام كان عدد الاشتراكات الخلوية المتنقلة لكل 100 نسمة في جمهورية الكونغو الديمقراطية؟,2000,٢٠٠٠,augmented,2000-2019,True,1.158
107,two_col_22453.png,"في أي عام تم الإبلاغ لأول مرة عن إيرادات ""كينه + ناجل"" العالمية؟",2006,٢٠٠٦,augmented,2006,True,1.138
108,two_col_22453.png,في أي عام انتهى إيراد كونه وناجل العالمي؟,2020,٢٠٢٠,augmented,2019,False,1.054
109,two_col_22453.png,ما هو إجمالي إيرادات كونه وناجل العالمية بالفرنك السويسري في السنة المالية 2020؟,23812,٢٣٨١٢,augmented,25 295 فرنك سويسري,False,1.47
110,two_col_5444.png,كم عدد أرطال البضائع التي استوردتها اسكتلندا من دول آسيا والمحيط الهادئ في عام 2018؟,5623,٥٦٢٣,augmented,5 623 مليون جنيه إسترليني,False,1.287
111,two_col_101661.png,ما هو إجمالي إنفاق الأسر على الكهرباء في المملكة المتحدة عام 2019؟,19287,١٩٢٨٧,augmented,19 287 مليون جنيه إسترليني,False,1.369
112,two_col_103326.png,كم عدد الأشخاص الذين توفوا بين سن 85 و 89 في عام 2020؟,9871,٩٨٧١,augmented,"8,854",False,0.795
113,two_col_149.png,ما هي أكثر فئة تطبيقات iOS شعبية؟,Games,ألعاب,augmented,الألعاب 21.53%,True,0.689
114,two_col_103255.png,ما هو مؤشر تكلفة الطاقة لتصنيع المنتجات المعدنية المصنعة في عام 2018؟,108.87,١٠٨.٨٧,augmented,100,False,0.974
115,two_col_82034.png,ما هو حجم الإيرادات التي حققتها أوبل/فوكسهول في عام 2018؟,18.31,١٨.٣١,augmented,18.31 مليار يورو,True,0.94
116,multi_col_20793.png,ما هو ثاني أكثر مصدر إخباري سياسي موثوق به بين الديمقراطيين؟,NBC News,أخبار إن بي سي,augmented,CNN,False,0.775
117,multi_col_20793.png,ما هو المصدر الإخباري السياسي الأكثر ثقة بين الديمقراطيين؟,CNN,سي إن إن,augmented,"NPR, PBS, BBC, ABC, NBC News, CBS News, New York Times",False,0.84
118,two_col_83485.png,منذ أي عام تذبذب إجمالي حجم مبيعات تجارة التجزئة في هولندا بشكل كبير؟,2005,٢٠٠٥,augmented,2008، 2009، 2012، 2013,False,0.968
119,two_col_104827.png,من كان أفضل لاعب في نيجيريا في كأس العالم FIFA 2018؟,Wilfred Ndidi,ويلفريد نديدي,augmented,ويلفريد نديدي,True,1.233
120,two_col_104827.png,ما هي القيمة السوقية لـ نديدي؟,25,٢٥,augmented,25 مليون يورو,True,1.057
121,two_col_875.png,ما هو فائض تجارة السلع في الصين عام 2015؟,593.9,٥٩٣.٩,augmented,593.9 مليار دولار أمريكي,True,1.137
122,two_col_875.png,ما هو فائض تجارة السلع في الصين عام 2019؟,421.93,٤٢١.٩٣,augmented,$421.93 مليار,True,0.837
123,multi_col_1241.png,كم كانت قيمة العلامة التجارية لـ EDP في عام 2019؟,2683,٢٦٨٣,augmented,"$2,769 مليون دولار",False,0.85
124,two_col_5167.png,كم عدد متاجر H&M التي أُغلقت في الولايات المتحدة عام 2020؟,20,٢٠,augmented,10 متاجر,False,1.446
125,multi_col_100201.png,كم بلغ حجم الأموال التي دخلت صناعة سباقات الخيل البريطانية من قطاع يوم السباق في عام 2012؟,138,١٣٨,augmented,369 مليون جنيه إسترليني,False,2.283
126,two_col_2111.png,كم عدد الأشخاص الذين أُعدموا في إيران عام 2020؟,246,٢٤٦,augmented,246,True,1.173
127,two_col_4690.png,كم عدد النسخ التي باعها لوموند في عام 2018؟,302624,٣٠٢٦٢٤,augmented,"400,000 نسخ",False,1.179
128,two_col_21521.png,كم عدد السياح الذين وصلوا إلى بلغاريا في عام 2018؟,7.8,٧.٨,augmented,7.8 مليون,True,0.683
129,two_col_83145.png,ما هو إيراد شركة CE في الربع الأول من عام 2020؟,5.69,٥.٦٩,augmented,$5.69 billion,True,1.196
130,two_col_83145.png,ما هو مقدار الإيرادات من الإلكترونيات الاستهلاكية في أوروبا الغربية في الربع الرابع من عام 2015؟,10.15,١٠.١٥,augmented,$10.15 billion,True,1.003
131,multi_col_137.png,كم يبلغ دخل الرجال في الخمسينات من العمر سنوياً؟,36983,٣٦٩٨٣,augmented,34 567 GBP,False,0.948
132,two_col_21786.png,ما كان متوسط سعر التذكرة لمباريات فريق ديترويت لايونز في عام 2020؟,91.89,٩١.٨٩,augmented,$91.89,True,1.111
133,two_col_104505.png,ما هو المبلغ التقديري لخدمة الدين الخارجي في دول أمريكا اللاتينية ومنطقة الكاريبي بحلول عام 2020؟,591.4,٥٩١.٤,augmented,591.4 مليار دولار أمريكي,True,0.885
134,two_col_104505.png,ما هو إجمالي مدفوعات خدمة الدين الخارجي في عام 2010؟,298.93,٢٩٨.٩٣,augmented,298.93 مليار دولار أمريكي,True,1.414
135,two_col_104474.png,ما هو معدل مشاركة القوى العاملة للرجال في سنغافورة عام 2019؟,75.4,٧٥.٤,augmented,76.6%,True,1.138
136,two_col_4288.png,كم بلغت قيمة صناعة العافية العالمية بالدولار في عام 2017؟,4220.2,٤٢٢٠.٢,augmented,$4 220.2 مليار,False,1.572
137,two_col_100265.png,أين كان يعيش حوالي 10.5 مليون من المتدينين في عام 2010؟,New York-Northern New Jersey-Long Island,نيويورك - شمال نيوجيرسي - لانغ آيلاند,augmented,New York-Northern New Jersey-Long Island,True,0.895
138,two_col_100265.png,كم عدد المتدينين الذين عاشوا في نيويورك-شمال نيوجيرسي-جزيرة لونغ آيلاند في عام 2010؟,10505858,١٠٥٠٥٨٥٨,augmented,10 505 858,False,1.422
139,two_col_80689.png,ما هو مقدار الذهب الذي طالبه قطاع التكنولوجيا العالمي في عام 2011؟,23.1,٢٣.١,augmented,23.1 مليار دولار أمريكي,True,1.209
140,two_col_61441.png,ما هو صافي الدخل من الفوائد لمجموعة باركليز البريطانية في عام 2014؟,10086,١٠٠٨٦,augmented,12 201 مليون GBP,False,0.881
141,two_col_61441.png,ما هو صافي دخل الفوائد للمجموعة العالمية لـ باركليز في عام 2020؟,8122,٨١٢٢,augmented,8 122 مليون GBP,False,1.232
142,two_col_102647.png,ما هي نسبة الذين تتراوح أعمارهم بين 35 و 44 عامًا واشتروا الغداء في العمل؟,72,٧٢,augmented,72%,True,0.781
143,two_col_481.png,كم عدد الهواتف الذكية التي تم شحنها في عام 2020؟,1280,١٢٨٠,augmented,"1,380 مليون وحدة",False,0.933
144,two_col_481.png,ما هي إجمالي شحنات الوحدات من الهواتف الذكية من عام 2009 إلى عام 2016؟,1465.5,١٤٦٥.٥,augmented,"إجمالي شحنات الوحدات من الهواتف الذكية من عام 2009 إلى عام 2016 هو 1,437.7 مليون وحدة.",False,1.02
145,two_col_103911.png,كم عدد أخصائيي العلاج الطبيعي الذين كانوا يعملون في النمسا عام 2018؟,3890,٣٨٩٠,augmented,890 أخصائي علاج طبيعي.,False,1.229
146,two_col_103974.png,كم رطل من الموز تم استيراده إلى الولايات المتحدة في عام 2020؟,10292.47,١٠٢٩٢.٤٧,augmented,303.560 مليون رطل,False,1.098
147,two_col_43697.png,ما هو معدل وفيات الرضع في جورجيا عام 2019؟,8.5,٨.٥,augmented,8.5 وفاة لكل 1000 ولادة,True,1.377
148,two_col_42527.png,كم عدد سلاسل البيع بالتجزئة التي كانت موجودة في النرويج عام 2016؟,150,١٥٠,augmented,150 سلاسل بيع بالتجزئة,True,1.164
149,two_col_42527.png,كم عدد سلاسل البيع بالتجزئة التي مثلتها الإلكترونيات الاستهلاكية في عام 2016؟,17,١٧,augmented,22,False,0.702
150,two_col_42527.png,كم عدد سلاسل متاجر التجزئة في مجال الأزياء والملابس في النرويج عام 2016؟,22,٢٢,augmented,35 سلاسل متاجر,False,1.034
151,two_col_42527.png,كم عدد فروع متاجر الألعاب والألعاب بالتجزئة التي كانت في النرويج في عام 2016؟,16,١٦,augmented,14 فرعاً,False,0.862
152,two_col_104094.png,كم عدد الإندونيسيين الذين يعيشون في ماليزيا؟,1225156,١٢٢٥١٥٦,augmented,1 225 156,False,0.979
153,two_col_42213.png,ما هو مستوى المؤشر في عام 2000؟,1.29,١.٢٩,augmented,1.29,True,0.846
154,two_col_102537.png,كم عدد الكرونات السويدية التي استُثمرت في الأوراق المالية المتعلقة بالديون في عام 2019؟,938537,٩٣٨٥٣٧,augmented,938 537 مليون كرونة سويدية,False,0.916
155,two_col_102537.png,ما هي القيمة الإجمالية لحصص الأسهم في حقوق الملكية وصناديق الاستثمار التي امتلكها صناديق الاستثمار في عام 2019؟,3789770,٣٧٨٩٧٧٠,augmented,3 789 770 مليون كرونة سويدية,False,1.555
156,two_col_43061.png,من كان يحتل المرتبة الرابعة بحصة سوقية بلغت 5.1 في عام 2019؟,Liberty Mutual,ليبرتي ميوتشوال,augmented,Progressive Corp.,False,0.915
157,two_col_22406.png,ما هي حصة المتسوقين الذكور عبر الإنترنت في عام 2018؟,12,١٢,augmented,25%,False,4.012
158,two_col_60540.png,كم كانت قيمة سوق الأدوية الجنيسة في تركيا عام 2012؟,4.1,٤.١,augmented,4.4 مليون يورو,False,0.952
159,two_col_80848.png,ما هو حجم السوق العالمي لشاشات المايكرو-LED المتوقع أن يصل إليه بحلول عام 2027؟,71.8,٧١.٨,augmented,71.8 مليار دولار أمريكي,True,1.059
160,two_col_1502.png,ما هو استهلاك الأسمنت في الهند عام 2018؟,272,٢٧٢,augmented,296 مليون طن,False,0.964
161,two_col_80485.png,متى هبط 63 ألف طائرة في مطار شانغي بسنغافورة؟,2020,٢٠٢٠,augmented,في عام 2020.,True,1.199
