id,imgname,query,ground_truth,type,model_answer,evaluation_passed,run_time
32,two_col_5054.png,How much of eBay's revenue was generated through transactions in the most recent quarter?,2707,augmented,"2,500",False,1.136
33,two_col_100037.png,Who has played the most games in Los Angeles Dodgers franchise history?,Zack Wheat,augmented,"1,800",False,1.438
34,two_col_21207.png,What was the number of mobile-only users in the fourth quarter of 2016?,823,augmented,1149,False,1.138
35,two_col_21207.png,How many Facebook users accessed the social media site exclusively via mobile device every month as of the fourth quarter of 2016?,823,augmented,1149,False,1.579
36,two_col_6090.png,How many channel views did Dove have during the survey period?,145.69,augmented,168.81,False,1.132
37,two_col_6090.png,What beauty brand had 145.69 million channel views during the survey period?,Dove,augmented,168.81,False,1.156
38,two_col_40773.png,What is Peloton's market cap?,28649,augmented,45,False,1.237
39,two_col_40773.png,What is Wayfair's market cap?,27760,augmented,25,False,1.197
40,two_col_4501.png,How much was the third-party logistics market in the United States in dollars?,252.5,augmented,951.6,False,1.118
41,two_col_22437.png,How much did Stephen King earn a year earlier?,27,augmented,27,True,1.07
42,two_col_82263.png,What was the total chicken egg production in France in 2008?,15.3,augmented,16.1,False,1.046
43,two_col_82263.png,What was the total chicken egg production in France in 2013?,16.1,augmented,16.1,True,1.101
44,two_col_3113.png,"Along with New York and California, what state had the largest number of dentists working in 2019?",Texas,augmented,30 773,False,1.325
45,two_col_40246.png,Since what year has the share of people living in extreme poverty in rural China been decreasing?,2000,augmented,0.6,False,1.129
46,two_col_40246.png,When did the Chinese government announce that all residents in China had been relieved from extreme poverty?,2020,augmented,0.6,False,1.058
47,two_col_4730.png,What was the GCSE pass rate in the UK in 2020?,76.3,augmented,76.3,True,1.197
48,two_col_81596.png,What was Papa John's Pizza's EquiTrend score in 2012?,64.15,augmented,64.15,True,1.046
49,two_col_24500.png,"What was the total revenue of BDO for the fiscal year ending September 30, 2020?",10.3,augmented,10.3,True,1.104
50,two_col_22729.png,What was Intel's DCG revenue in the first quarter of 2021?,5.6,augmented,5.6,True,2.818
51,two_col_100622.png,What percentage of Indonesia's GDP did Indonesia's gross savings amount to in 2018?,31.99,augmented,31.63%,True,1.452
52,two_col_40777.png,What was Ide-Cel's net present value as of 2020?,6.2,augmented,6.2,True,1.221
53,two_col_63807.png,What was South Dakota's divorce rate in 1990?,3.7,augmented,2.6,False,1.101
54,two_col_63807.png,What was the divorce rate per thousand inhabitants in South Dakota in 2019?,2.6,augmented,2.6,True,1.359
55,two_col_40873.png,In what year was Suncor Energy unable to generate an annual profit?,2015,augmented,-4319,False,1.041
56,two_col_40873.png,What was Suncor Energy's net loss in Canadian dollars in 2020?,4304,augmented,-4319,False,1.036
57,two_col_83032.png,What was the most visited paid attraction in South West England in 2019?,Stonehenge,augmented,1 604 248,False,1.173
58,two_col_83032.png,How many people visited Stonehenge in 2019?,1604248,augmented,160428,False,3.098
59,two_col_4424.png,How many asylum applications were made in Sweden in 2015?,162915,augmented,162915,True,2.014
60,two_col_63501.png,What was the value of customer deposits in Santander in 2004?,283212,augmented,900000,False,1.1
61,two_col_63501.png,When was the highest value recorded for customer deposits in Santander?,2004,augmented,900000,False,1.114
62,two_col_2853.png,How much money did Royal Dutch Shell spend on research and development in its 2020 fiscal year?,907,augmented,907,True,1.271
63,two_col_41724.png,What was the amount of telecommunications consumer goods revenues in Western Europe in the first quarter of 2020?,13.98,augmented,19.55,False,1.335
64,two_col_104369.png,What percentage of Luxembourg's GDP was Luxembourg's budget surplus in 2019?,2.43,augmented,3.07%,False,1.093
65,two_col_82420.png,What was the sponsorship industry worth in Canada in 2016?,1.96,augmented,2.25,False,1.152
66,two_col_82420.png,What was the sponsorship industry valued at in 2014?,1.66,augmented,1.96,False,2.525
67,two_col_100617.png,"What was Prince Edward Island's business per 1,000 residents in December 2019?",50.8,augmented,50.8,True,1.512
68,two_col_95.png,What was the second highest grossing game in the U.S. in 2021?,Candy Crush Saga,augmented,"3,093.504",False,1.315
69,two_col_95.png,What was the top grossing iPhone gaming app in the U.S. in March 2021?,Roblox,augmented,Roblox,True,1.027
70,two_col_95.png,How much money did Candy Crush Saga make per day?,2026652,augmented,"3,093.504",False,1.074
71,two_col_6175.png,What was Arizona's wheat yield per acre in 2020?,99,augmented,99,True,1.148
72,two_col_61753.png,"Along with SmileDirectClub, what online fashion brand did Chewy rank ahead of?",Stitch Fix,augmented,14.3,False,1.613
73,two_col_61753.png,What personal care brand did Chewy rank ahead of?,SmileDirectClub,augmented,14.3,False,1.109
74,two_col_61753.png,How many unique visitors does Chewy get each month?,14.3,augmented,14.3,True,1.145
75,two_col_61753.png,What is the most popular D2C brand in the US?,Chewy,augmented,14.3,False,1.054
76,two_col_24018.png,What was the occupancy percentage for beds in skilled nursing facilities in 2014?,87.1,augmented,84.5%,True,1.061
77,two_col_24018.png,What was the occupancy percentage for beds in skilled nursing facilities in 2018?,85.1,augmented,84.5%,True,1.12
78,two_col_5731.png,What was the market share of Google's Chromecast in 2014?,14,augmented,43%,False,1.056
79,two_col_62357.png,Who holds the record for most tackles made at the RWC?,Thierry Dusautoir,augmented,188,False,1.467
80,two_col_62357.png,Which French rugby player made the most tackles at the RWC?,Julien Bonnaire,augmented,188,False,1.215
81,two_col_83324.png,What was the total amount of the Finnish government debt from 2008 to 2018?,135.8,augmented,135.8,True,1.153
82,two_col_61492.png,How many visitors to Boston National Historical Park were there in 2019?,3.2,augmented,0.28,False,1.224
83,two_col_104619.png,What percentage of the population of the United States was children in 2019?,22.3,augmented,22.3%,True,1.088
84,two_col_100282.png,How many enterprises made computers and peripheral equipment in the Czech Republic in 2017?,250,augmented,250,True,1.053
85,two_col_2751.png,What is the second most valuable Malaysian brand?,Maybank,augmented,1515,False,2.675
87,two_col_2751.png,What was Petronas' brand value in US dollars in 2020?,15215,augmented,"15,215",True,1.09
88,multi_col_20217.png,What was the total revenue for national rail from passenger fares in 2019/20?,10208,augmented,9400,False,2.944
89,two_col_62923.png,How many marriages were registered in Italy in 2010?,217700,augmented,184.088,False,1.122
90,two_col_21251.png,Which Latin American soccer team had the oldest average age?,Costa Rica,augmented,29.8,False,1.177
91,two_col_447.png,What is the largest city park in the US?,Chugach State Park,augmented,464318,False,1.056
92,two_col_41603.png,What was the retail sales value of cheese in the UK in 2013?,6562.8,augmented,7.99,False,1.127
93,two_col_103497.png,Who is the career receiving leader of the San Francisco 49ers?,Jerry Rice,augmented,"19,247",False,3.675
94,two_col_1306.png,What brand was in second place in the United States fast lubes market?,Valvoline,augmented,39%,False,1.124
95,two_col_1306.png,What was the 2018 market leader among motor oil brands in fast lubes?,Pennzoil,augmented,39%,False,1.111
96,two_col_22926.png,What was the fertility rate in Indonesia in 2019?,2.29,augmented,2.29,True,2.841
97,multi_col_100501.png,What percentage of the market share did discretionary mandate assets account for in the Netherlands?,31,augmented,66%,False,2.624
98,two_col_4682.png,How many very large crude carriers were there as of April 2020?,810,augmented,810,True,1.085
99,two_col_82551.png,How many views did The Rock's trailer for Apple's iPhone 7 get?,25.4,augmented,150.3,False,1.032
100,two_col_82551.png,How many views did Dior's ad for Miss Dior generate?,43,augmented,150.3,False,1.128
101,multi_col_60782.png,How many Facebook followers did the Minnesota Vikings football team have in February 2021?,2.11,augmented,1.3,False,1.146
102,two_col_674.png,What passenger carrier was the leader in India's aviation segment as of 2019?,IndiGo,augmented,43%,False,1.203
103,two_col_101324.png,How many La-Z-Boy Comfort Studio locations did La-Z-Boy operate as of 2020?,555,augmented,555,True,1.099
104,two_col_63045.png,What was the infant mortality rate in Burundi in 2019?,39.9,augmented,39.9,True,1.201
105,two_col_41504.png,How many mobile subscriptions were registered for every 100 people in the Congo between 2000 and 2019?,42.77,augmented,43.77,True,1.135
106,two_col_41504.png,Between what year was the number of mobile cellular subscriptions per 100 inhabitants in the Democratic Republic of the Congo?,2000,augmented,43.77,False,1.143
107,two_col_22453.png,In what year was Kuehne + Nagel's worldwide revenue first reported?,2006,augmented,2019,False,1.203
108,two_col_22453.png,In what year did Kuehne + Nagel's worldwide revenue end?,2020,augmented,2019,False,1.14
109,two_col_22453.png,What was Kuehne + Nagel's worldwide revenue in Swiss francs in the fiscal year of 2020?,23812,augmented,"23,812",True,1.091
110,two_col_5444.png,How many pounds of goods did Scotland import from Asia & Oceanic countries in 2018?,5623,augmented,1186,False,3.82
111,two_col_101661.png,What was the total household expenditure on electricity in the UK in 2019?,19287,augmented,"19,287",True,1.093
112,two_col_103326.png,How many people died between the ages of 85 and 89 in 2020?,9871,augmented,307,False,1.245
113,two_col_149.png,What was the most popular iOS app category?,Games,augmented,21.53,False,3.071
114,two_col_103255.png,What was the energy cost index for fabricated metal product manufacturing in 2018?,108.87,augmented,110,True,1.04
115,two_col_82034.png,How much revenue did Opel/Vauxhall generate in 2018?,18.31,augmented,18.31,True,1.166
116,multi_col_20793.png,What was the second most trusted political news source among Democrats?,NBC News,augmented,43,False,1.265
117,multi_col_20793.png,What was the most widely trusted political news source among Democrats?,CNN,augmented,77,False,1.648
118,two_col_83485.png,Since what year has the combined sales turnover of the retail trade in the Netherlands fluctuated significantly?,2005,augmented,5.8%,False,1.183
119,two_col_104827.png,Who was Nigeria's most valuable player at the 2018 FIFA World Cup?,Wilfred Ndidi,augmented,25,False,1.317
120,two_col_104827.png,What was Ndidi's market value?,25,augmented,25,True,1.205
121,two_col_875.png,What was China's merchandise trade surplus in 2015?,593.9,augmented,593.9,True,1.143
122,two_col_875.png,What was China's merchandise trade surplus in 2019?,421.93,augmented,593.9,False,1.126
123,multi_col_1241.png,How much was EDP worth in brand value in 2019?,2683,augmented,2363,False,1.206
124,two_col_5167.png,How many H&M stores were closed in the United States in 2020?,20,augmented,187,False,1.16
125,multi_col_100201.png,How much money came into the British horse racing industry from the raceday segment in 2012?,138,augmented,416,False,1.218
126,two_col_2111.png,How many people were executed in Iran in 2020?,246,augmented,1000,False,1.147
127,two_col_4690.png,How many copies did Le Monde sell in 2018?,302624,augmented,320000,False,1.086
128,two_col_21521.png,How many tourists arrived in Bulgaria in 2018?,7.8,augmented,7.8,True,1.095
129,two_col_83145.png,What was the revenue of CE in the first quarter of 2020?,5.69,augmented,5.69,True,1.176
130,two_col_83145.png,What was the amount of revenues from consumer electronics in Western Europe in the fourth quarter of 2015?,10.15,augmented,5.69,False,3.065
131,multi_col_137.png,How much do men in their 50s earn a year?,36983,augmented,"31,667",False,1.085
132,two_col_21786.png,What was the average ticket price for Detroit Lions games in 2020?,91.89,augmented,92.88,True,1.146
133,two_col_104505.png,What is the estimated amount of the external debt service in Latin American and Caribbean countries by 2020?,591.4,augmented,591.4,True,1.111
134,two_col_104505.png,What was the total amount of foreign debt services in 2010?,298.93,augmented,591.4,False,1.116
135,two_col_104474.png,What was the labor force participation rate for men in Singapore in 2019?,75.4,augmented,76.5%,True,1.091
136,two_col_4288.png,What was the global wellness industry worth in dollars in 2017?,4220.2,augmented,4220.2,True,1.147
137,two_col_100265.png,Where were about 10.5 million religious adherents living in 2010?,New York-Northern New Jersey-Long Island,augmented,"10,505,858",False,1.174
138,two_col_100265.png,How many religious adherents lived in New York-Northern New Jersey-Long Island in 2010?,10505858,augmented,105058,False,1.479
139,two_col_80689.png,How much gold was demanded by the global technology sector in 2011?,23.1,augmented,12.3,False,1.084
140,two_col_61441.png,What was the net interest income of the British Barclays group in 2014?,10086,augmented,"8,122",False,1.053
141,two_col_61441.png,What was the global group net interest income of the Barclays group in 2020?,8122,augmented,"8,122",True,1.218
142,two_col_102647.png,What percentage of 35-44 year olds bought lunch at work?,72,augmented,55%,False,1.064
143,two_col_481.png,How many smartphones were shipped in 2020?,1280,augmented,1430,False,1.19
144,two_col_481.png,What was the total unit shipments of smartphones from 2009 to 2016?,1465.5,augmented,1430,True,1.164
145,two_col_103911.png,How many physiotherapists were employed in Austria in 2018?,3890,augmented,"3,905",True,1.153
146,two_col_103974.png,How many pounds of bananas were imported to the United States in 2020?,10292.47,augmented,524.8,False,1.17
147,two_col_43697.png,What was the infant mortality rate in Georgia in 2019?,8.5,augmented,8.5,True,1.111
148,two_col_42527.png,How many retail chains were there in Norway in 2016?,150,augmented,22,False,3.226
149,two_col_42527.png,How many retail chains did consumer electronics account for in 2016?,17,augmented,22,False,1.345
150,two_col_42527.png,How many retail chains were there in fashion and clothing in Norway in 2016?,22,augmented,22,True,1.178
151,two_col_42527.png,How many chains did toys and games retail have in Norway in 2016?,16,augmented,150,False,1.126
152,two_col_104094.png,How many Indonesians live in Malaysia?,1225156,augmented,"1,225,156",True,1.111
153,two_col_42213.png,What was the index score in 2000?,1.29,augmented,3.45,False,1.066
154,two_col_102537.png,How many Swedish kronor were invested in debt securities in 2019?,938537,augmented,136605,False,1.066
155,two_col_102537.png,What was the total value of equity and investment fund shares owned by investment funds in 2019?,3789770,augmented,4 798 770,False,1.065
156,two_col_43061.png,Who was ranked fourth with a 5.1 percent market share in 2019?,Liberty Mutual,augmented,9.3,False,1.065
157,two_col_22406.png,What was the share of male online shoppers in 2018?,12,augmented,25%,False,1.123
158,two_col_60540.png,How much was Turkey's generics market worth in 2012?,4.1,augmented,15.2,False,1.171
159,two_col_80848.png,What is the global market for micro-LED displays expected to reach by the year 2027?,71.8,augmented,71.8,True,1.026
160,two_col_1502.png,What was the consumption of cement in India in 2018?,272,augmented,328,False,1.065
161,two_col_80485.png,When did 63 thousand aircraft land in Singaporean Changi Airport?,2020,augmented,"62,721",False,1.109
162,two_col_80485.png,How many aircraft landed in Singaporean Changi Airport in 2020?,62721,augmented,6271,False,1.054
163,two_col_60069.png,"How many dollars did the finance, insurance, real estate, rental, and leasing industry add to the GDP of Oregon in 2012?",43.92,augmented,43.92,True,1.181
164,two_col_104221.png,In what year did the population of Burkina Faso begin to increase?,2016,augmented,24.84,False,1.062
165,two_col_104221.png,What was the population of Burkina Faso in 2018?,19.75,augmented,24.84,False,1.147
166,two_col_41776.png,How many monobrand retail stores did Brunello Cucinelli have in 2019?,106,augmented,106,True,1.019
167,two_col_40422.png,How much revenue did Becton Dickinson & Co. generate in 2019?,12.99,augmented,30.55,False,1.103
168,multi_col_40373.png,What was the median wealth in the Senate in 2018?,1.76,augmented,1.76,True,1.113
169,two_col_42150.png,What was the youth unemployment rate in Senegal in 2020?,8.61,augmented,8.61%,True,1.089
170,multi_col_109.png,How much was Sam's Club's net sales in 2021?,63.91,augmented,630,False,1.098
171,multi_col_109.png,"How much did Walmart International's net sales amount to in the fiscal year ended January 31, 2021?",121.36,augmented,520,False,1.354
172,two_col_80893.png,How many deals did PWC and KPMG have in 2020?,15,augmented,16,False,1.088
173,two_col_80893.png,How many deals did Davy advise on in 2020?,16,augmented,16,True,1.044
174,two_col_80893.png,Who was the leading financial advisor to merger and acquisition transactions in Ireland in 2020?,Davy,augmented,16,False,1.025
175,two_col_82658.png,What was the most prescribed laxative in England in 2020?,Macrogol 3350,augmented,6 601 027,False,1.068
176,two_col_82658.png,How many items of Macrogol 3350 were dispensed in 2020?,6601027,augmented,"6,601,027",True,1.103
177,two_col_21832.png,What percentage of gross domestic product did military expenditure in the United States amount to in 2019?,3.41,augmented,3.41%,True,1.455
178,two_col_22483.png,How much did Spotify pay in royalty fees in 2015?,1633.29,augmented,602.92,False,1.053
179,two_col_2270.png,How many doctoral degrees were earned by American Indian or Alaskan Native students in 2018/19?,720,augmented,720,True,1.012
180,multi_col_619.png,What was the average retail price for one dozen eggs in Canada in February 2021?,3.62,augmented,3.66,True,7.295
181,two_col_80994.png,What was the total income of the Medicare program in dollars 50 years later?,794.8,augmented,798.4,True,1.207
182,two_col_80994.png,What was the total income of the Medicare program in 1970?,8.2,augmented,794.8,False,1.11
183,two_col_3543.png,How many brand sponsored influencer posts were there on Instagram in 2018?,3.7,augmented,6.12,False,1.294
184,two_col_3543.png,What is the projected amount of sponsored content on Instagram in 2019?,4.95,augmented,6.12,False,1.097
185,two_col_83175.png,"How many Costco Gold Star members were there as of August 30, 2020?",47.4,augmented,46.8,True,1.057
186,two_col_42240.png,When did Finland's GDP reach the pre-financial crisis level?,2011,augmented,2018,False,1.246
187,two_col_80709.png,What was the deposit interest rate by banks in Singapore in 2019?,0.22,augmented,0.22%,True,1.117
188,two_col_1438.png,What country had the highest test rate for the coronavirus?,Denmark,augmented,1483.97,False,1.286
189,two_col_102329.png,In what oblast did nearly 35 percent of the population receive the same status between June 2018 and June 2019?,Magadan Oblast,augmented,45.2,False,1.104
190,two_col_102329.png,Where was the highest share of the middle class among federal subjects observed?,Yamalo-Nenets Autonomous Okrug,augmented,45.2,False,1.099
191,two_col_60868.png,What was the length of state highways across Jharkhand in 2017?,1296,augmented,"1,500",False,1.16
192,two_col_21313.png,What was the forecast increase in wages and salaries in 2018?,4.1,augmented,3.4%,False,1.032
193,two_col_101109.png,"In 2021, how much is the Department of Homeland Security expected to spend?",122.71,augmented,125,True,1.046
194,two_col_101109.png,How much money did the Department of Homeland Security spend in 2020?,91.97,augmented,125,False,1.067
195,two_col_81497.png,What percentage of GDP did the French state spend in 2019?,55.4,augmented,61.8%,False,1.187
196,two_col_63474.png,What was Sweden's real estate price index in 2009?,246,augmented,388,False,1.153
197,two_col_40345.png,How much money did the Democratic Party spend during the 2016 election cycle?,1230253581,augmented,834258832,False,1.047
198,two_col_82536.png,What was the average number of business trips taken by adults in the U.S. in March 2007?,5.6,augmented,6.3,False,1.09
199,two_col_929.png,What was the population of Russia in 2019?,145.71,augmented,145.71,True,1.113
200,two_col_41064.png,How many people watched the last broadcast of the Eurovision Song Contest?,3.04,augmented,3.04,True,1.116
201,two_col_41064.png,How many people watched the Eurovision Song Contest in 2019?,2.6,augmented,3.04,False,1.354
202,two_col_41064.png,When did the number of viewers of the Eurovision Song Contest increase to?,2021,augmented,3.04,False,2.554
203,multi_col_40965.png,In what year did political changes affect the appetite for long-term specialty commercial property investments on the European market?,2016,augmented,56%,False,1.085
204,two_col_623.png,What was Japan's gross domestic product in 2019?,5148.78,augmented,"6,517.46",False,1.292
205,two_col_104538.png,What percentage of Canadians cited the lack of a regular schedule as one of the reasons for the increase in alcohol consumption?,51,augmented,51%,True,1.067
206,two_col_62179.png,Who was Norway's most valuable football player in 2020?,Sander Berge,augmented,20,False,2.507
207,two_col_62179.png,What was Alexander S rloth's market value?,13,augmented,20,False,1.037
208,two_col_62179.png,What was Sander Berge's market value in 2020?,20,augmented,20,True,1.058
209,two_col_62179.png,What was the market value of Joshua King?,16,augmented,20,False,1.121
210,multi_col_40806.png,What percentage of mobile devices did low-end phones account for in 2010?,76.6,augmented,76.6%,True,1.122
211,two_col_22559.png,What percentage of Vietnam's gross domestic product did government expenditure amount to in 2019?,22.84,augmented,20.38%,False,1.111
212,two_col_103133.png,Which state was the most popular winter domestic destination for travelers in 2014?,Florida,augmented,58%,False,1.118
213,two_col_80474.png,What was the most pirated movie in the third quarter of 2016?,Deadpool,augmented,4.2%,False,1.064
214,two_col_80474.png,What percentage of total piracy activity did Deadpool account for in the third quarter of 2016?,4.2,augmented,4.2%,True,1.032
215,multi_col_346.png,How much did Liverpool FC earn from broadcasting in 2018/2019?,299.3,augmented,324.3,False,1.371
216,multi_col_346.png,What was Liverpool FC's commercial revenue stream in 2018/2019?,210.9,augmented,324.3,False,1.343
217,multi_col_60806.png,"What was the export value of fish, crustaceans, shellfish and other fishery products from Canada in March 2021?",260,augmented,275,False,1.294
218,two_col_41124.png,What was the average value of in-store convenience store transactions in dollars in 2019?,9.02,augmented,31.82,False,1.12
219,two_col_41124.png,What was the average value of motor fuel convenience stores in dollars per transaction in 2019?,31.82,augmented,31.82,True,1.217
220,two_col_81378.png,What was the revenue from network infrastructure in Germany in 2013?,18.8,augmented,30.1,False,1.108
221,multi_col_80840.png,How many metric tons were produced in inland aquaculture in 2018?,51.3,augmented,51.3,True,1.431
222,multi_col_80840.png,How many metric tons were produced in marine aquaculture in 2018?,30.8,augmented,51.3,False,1.274
223,two_col_22434.png,What was the sales volume of vending machines in 1999?,36.6,augmented,42.2,False,1.495
224,two_col_61201.png,What is Portugal's expected outbound travel spending in 2028?,5.7,augmented,5.7,True,1.075
225,two_col_61201.png,What is the estimated value of Portugal's outbound travel spending in 2018?,4.9,augmented,5.7,False,1.095
226,two_col_20979.png,How many followers did Michael Kors have on Twitter as of March 2021?,3.4,augmented,18.15,False,1.089
227,two_col_20979.png,How many followers did Michael Kors have on Facebook as of March 2021?,18.15,augmented,18.15,True,1.096
228,two_col_24171.png,Which city in Canada gets 43.8 centimeters of snow each year from 1971 to 2000?,Victoria,augmented,151.8,False,1.445
229,two_col_21486.png,How much money did Royal Dutch Shell pay in dividends in 2020?,7.3,augmented,15.7,False,1.061
230,two_col_21486.png,How much did Royal Dutch Shell pay in dividends in 2018?,15.7,augmented,15.7,True,1.051
231,two_col_60443.png,What was the most common form of salary plus production bonus incentives?,RVU based,augmented,73%,False,1.024
232,two_col_60443.png,What percentage of all salary plus production bonus incentives offered to physicians were based on RVU?,73,augmented,73%,True,1.063
233,two_col_62661.png,How many dollars did Delaware generate from sports betting in March 2021?,0.97,augmented,5.9,False,1.096
234,two_col_43964.png,How much money did Johnson & Johnson generate in 2017?,76450,augmented,"28,216",False,1.135
235,two_col_104266.png,Who is the career rushing leader of the Cleveland Browns?,Jim Brown,augmented,Jim Brown,True,1.2
236,two_col_104077.png,What was the population of Djibouti in 2018?,1.05,augmented,1.31,False,1.289
237,two_col_40272.png,"How many people died in Yukon between July 1, 2019 and June 30, 2020?",250,augmented,250,True,1.12
238,two_col_41042.png,"In what year did PCs, laptops and tablet computers see a slight decrease in the penetration of devices able to connect to the internet?",2020,augmented,81%,False,1.063
239,two_col_21174.png,What was Amazon's net income in 2020?,7222,augmented,7000,True,1.016
240,two_col_80078.png,What country was the primary exporter of silicon to the United States?,Russia,augmented,38%,False,1.384
241,two_col_80078.png,What percentage of ferrosilicon imports did Russia account for?,37,augmented,38%,True,1.063
242,two_col_61191.png,What is the global demand-supply shortfall of rough diamonds predicted to be by 2050?,278,augmented,278,True,1.043
243,two_col_21418.png,How many goals has Tuncay anl scored?,22,augmented,51,False,3.007
244,two_col_21418.png,How many goals has Hakan 14k14r scored for Turkey's national football team?,51,augmented,51,True,1.175
246,two_col_376.png,How much did personal income increase to in 2020?,19679.72,augmented,"25,000",False,1.144
247,two_col_1605.png,How many games did the latest World Cup in Russia feature?,64,augmented,64,True,1.153
248,multi_col_60593.png,How many civilians were killed by U.S. air strikes in Pakistan as of June 2?,0,augmented,801,False,1.073
249,two_col_996.png,What was the inflation rate in France in 2020?,0.53,augmented,6.57,False,1.193
250,two_col_63826.png,Which hotel had the fastest Wi-Fi in Las Vegas as of August 2017?,Plaza Hotel & Casino,augmented,38.7,False,1.265
251,multi_col_40539.png,How much revenue did Interventional Cardiology products generate in the United States in 2020?,2281,augmented,"2,299",True,1.107
252,multi_col_40539.png,Which product category was the top selling during the entire period?,Interventional Cardiology,augmented,Cardiac Rhythm Management,False,1.202
253,two_col_63080.png,How many Toyota cars were registered in Finland in 2019?,15183,augmented,15183,True,1.132
254,two_col_63080.png,In what year did Toyota's sales increase?,2015,augmented,15183,False,1.132
255,two_col_43229.png,What percentage of consumers rated The North Face's footwear as extremely positive?,71,augmented,71%,True,1.048
256,two_col_24183.png,How many Belgians were unmarried in 2020?,5616311,augmented,5616311,True,1.038
257,two_col_906.png,What percentage of the population of the UK was white in 2011?,87.2,augmented,87.2%,True,1.237
258,two_col_188.png,What was the U.S. GDP in dollars in 2020?,20934.9,augmented,2020,False,1.088
259,two_col_21219.png,What was the total sales of sleeping bags in the United States in 2010?,191.76,augmented,210.38,False,1.453
260,multi_col_21089.png,What was Twitter's advertising revenue in the first quarter of 2021?,899,augmented,884.55,True,1.277
261,multi_col_21089.png,What accounts for the vast majority of Twitter's revenues?,Advertising,augmented,84.55,False,1.109
262,multi_col_80552.png,What was the average spend per tablet e-retail transaction during the last measured period?,98,augmented,98,True,1.112
263,two_col_41928.png,What was the unemployment rate in Missouri in 2020?,6.1,augmented,6.1%,True,1.085
264,two_col_41928.png,What was Missouri's unemployment rate in 2010?,3.3,augmented,6.1%,False,1.283
265,two_col_41928.png,What was Missouri's highest unemployment rate in 2010?,9.5,augmented,6.2%,False,1.134
266,two_col_22849.png,In what year did Portugal's population reach 10.29 million?,2020,augmented,10.15,False,1.134
267,two_col_22849.png,What was the population of Portugal in 2020?,10.2,augmented,10.15,True,1.134
269,two_col_2757.png,What was the most common medium and heavy commercial vehicle on the road in the UK in the third quarter of 2020?,Fiat Ducato,augmented,"13,056",False,1.309
