id,question,arabic_question,translation_time_sec
26,"The ladybird would like to sit on his flower. The flower has five petals and the stem has three leaves. On which flower should the ladybird sit?
<image1>",الكَرَكَوَة ترغب في الجلوس على زهرتها. الزهرة تحتوي على خمس ورقات والقمة تحتوي على ثلاث ورقات. على أي زهرة يجب أن تجلس الكَرَكَوَة؟,17.03
27,"Theresa moves a pencil along the line. She starts at the arrow shown. In which order will she go past the shapes?
<image1>",تتحرك تيريزا قلمًا على الخط. تبدأ تيريزا في السهم المُظهر. في أي ترتيب ستُمر تيريزا بالأشكال؟,8.64
28,"There are more grey squares than white. How many more?
<image1>",هناك أكثر عددًا من المربعات الرمادية من المربعات البيضاء. كم عدد أكثر؟,19.07
29,"A big square is made from 25 small squares put together. A few of the small squares have been lost. How many have been lost?
<image1>",يتم إنشاؤه من 25 مربعًا صغيرًا مُركَّبًا. فقدت بضعة من المربعات الصغيرة. كم عدد المربعات الصغيرة التي فقدت؟,9.12
30,"Put the animals in order of size. Begin with the smallest. Which animal will be in the middle?
<image1>",أرتّب الحيوانات حسب الحجم، ابدأ بالحيوان الأصغر. أي حيوان سيكون في المنتصف؟,8.39
31,"How many ducks weigh the same as a crocodile?
<image1>
<image2>",كم عدد الدجاج التي تزن نفس وزن الكروcodile؟,34.07
32,"The kangaroo is inside how many circles?
<image1>",كم عدد الدوائر التي يقع الكانغورو داخلها؟,10.08
33,"When the ant <image1> walks from home <image2> along the arrows $\rightarrow 3, \uparrow 3, \rightarrow 3, \uparrow 1$, he gets to the ladybird <image3>.
Which animal does the ant <image1> get to when he walks from home <image2> along the following arrows: $\rightarrow 2, \downarrow 2, \rightarrow 3, \uparrow 3, \rightarrow 2, \uparrow 2$?
<image6>
<image7>",عندما يمشي العقرب <image1> من المنزل <image2> على طول الأسهم → 3، ↑ 3، → 3، ↑ 1، فإنه يصل إلى الجرادة <image3>. ما هو الحيوان الذي يصل إليه العقرب <image1> عندما يمشي من المنزل <image2> على طول الأسهم التالية: → 2، ↓ 2، → 3، ↑ 3، → 2، ↑ 2؟,17.02
34,"Max has cut a rectangle into two pieces. One piece looks like:
<image1>
What does the other piece look like?
<image2>",قَطَّعَ ماكس مستطيلًا إلى قطعتين. قطعة منها تبدو كالتالي: <image1> ما الشكل الذي تبدو عليه القطعة الأخرى؟ <image2>,11.76
35,"Seven sticks lay on top of each other. Stick 2 lays right at the bottom. Stick 6 lays right on top. Which stick lays exactly in the middle?
<image1>",سبعة قضبان كانت مرتبة فوق بعضها البعض. القضيب 2 يقع مباشرة في القاع. القضيب 6 يقع مباشرة في الأعلى. أي قضيب يقع في المنتصف بالضبط؟,16.03
36,"The rabbit family Hoppel eat cabbages and carrots. Each day they eat either 10 carrots or 2 cabbages. In the whole of last week they ate 6 cabbages. How many carrots did the rabbit family eat last week?
<image1>",كم عدد الجزر التي أكلتها عائلة القطة هوبيل في الأسبوع الماضي؟,7.07
37,"A square is cut into four pieces. Which shape can you not make with these four pieces?
<image1>
<image2>",يُقسَّم مربع إلى أربع قطع. ما الشكل الذي لا يمكن صنعه باستخدام هذه الأربعة قطع؟,8.92
38,"Each of the digits 2, 3, 4 and 5 will be placed in a square. Then there will be two numbers, which will be added together. What is the biggest number that they could make?
<image1>",تُوضع كل من الأرقام 2، 3، 4 و5 في مربع. سيتم إنشاء عددين سيتم إضافتهما معًا. ما هو أكبر عدد يمكنهم إنشاؤه؟,8.22
39,"Ingrid has 4 red, 3 blue, 2 green and 1 yellow cube. She uses them to build the following object:
<image1>
Cubes with the same colour don't touch each other. Which colour is the cube with the question mark?",إنغريد لديها 4 مكعبات حمراء، و3 أزرق، و2 أخضر، و1 أصفر. تستخدمها لبناء الجسم التالي: <صورة1> لا تماسك بين المكعبات ذات اللون نفسه. ما اللون الذي يحمله المكعب الذي يحمل علامة الاستفهام؟,12.57
40,"Which shape cannot be seen in every picture?
<image1>",ما الشكل الذي لا يمكن رؤيته في كل صورة؟,5.02
41,"How many triangles can you find in the picture?
<image1>",كم عدد المثلثات التي يمكنك العثور عليها في الصورة؟,6.29
42,"Which part of the house is missing?
<image1>
<image2>",أي جزء من المنزل مفقود؟,4.39
43,"How many dots do all ladybirds have together?
<image1>",كم عدد النقاط التي تمتلكها جميع الحشرات الحمراء مجتمعة؟,14.02
44,"Florian has 10 equally long metal strips with equally many holes.
<image1>
He bolts the metal strips together in pairs. Now he has five long strips (see the diagram).
<image2>
Which of the long strips is the shortest?",لوريان لديه 10 ألواح معدنية من نفس الطول وعدد الثقوب متساوٍ. يصلح الألواح المعدنية معًا في أزواج. الآن لديه خمس ألواح طويلة (انظر إلى المخطط). أي من الألواح الطويلة هي الأقصر؟,11.59
45,"Which of the kangaroo cards shown below can be turned around so that it then looks the same as the card shown on the right?
<image1>
<image2>",أي من كروت الكنجارو المُوضَّحة أدناه يمكن تحويلها بحيث تبدو كما تبدو البطاقة المُوضَّحة على اليمين؟,15.19
46,"What do you see if you look at the tower, which is made up of two building blocks, exactly from above?
<image1>
<image2>",ماذا ترى إذا نظرت إلى البرج، والذي يتكون من قطعتين من كتل البناء، من الأعلى بدقة؟,7.36
47,"How many numbers are outside the square?
<image1>",كم عدد الأرقام خارج المربع؟,4.35
48,"Michael has two building blocks. Each building block is made up of two cubes glued together. Which figure can he not make using the blocks?
<image1>
<image2>",ميلكيل يملك كتلتين مبنية. كل كتلة مبنية مكونة من مكعبين ملتصقين معًا. ما هو الشكل الذي لا يمكنه صنعه باستخدام الكتل؟,9.77
49,"Every one of these six building blocks consists of 5 little cubes. The little cubes are either white or grey. Cubes of equal colour don't touch each other. How many little white cubes are there in total?
<image1>",كل واحدة من هذه الستة كتل البناء تتكون من 5 كتل صغيرة. الكتل الصغيرة إما بيضاء أو رمادية. الكتل ذات اللون نفسه لا تماسك. كم عدد الكتل الصغيرة البيضاء في المجمل؟,11.5
50,"Which piece is missing?
<image1>
<image2>",ما القطعة المفقودة؟,5.77
51,"How many ropes can you see in this picture?
<image1>",كم عدد السلاسل التي تستطيع رؤيتها في هذه الصورة؟,7.29
52,"Which point in the labyrinth can we get to, starting at point $O$?
<image1>",إلى أي نقطة في المأكول يمكننا الوصول إليها عندما نبدأ من النقطة $O$؟,18.62
53,"Max has 10 dice. Which one of the following solids can he build with them?
<image1>",ماكس يملك 10 مكعبات. أي من الأشكال الصلبة التالية يمكنه بناءها باستخدامها؟,10.79
54,"A hen lays white and brown eggs. Lisa takes six of them and puts them in a box as shown. The brown eggs are not allowed to touch each other. What is the maximum number of brown eggs Lisa can place in the box?
<image1>",ما هو العدد الأقصى من البيض البني الذي يمكن لليزا وضعه في الصندوق؟,37.95
55,"Gerda walks along the road and writes down the letters she can see on her right hand side. Which word is formed while Gerda walks from point 1 to point 2?
<image1>",تمشي جيردا على طول الطريق وتكتب الحروف التي يمكنها رؤيتها على الجانب الأيمن من جسمها. أي كلمة تتشكل بينما تمشي جيردا من نقطة 1 إلى نقطة 2؟,9.36
56,"Konrad has some pieces of cardboard which all look like this:
<image1>
Which of the shapes below can he not make out of these pieces?
<image2>",لدي كونراد بعض قطع الورق المقوى التي تبدو جميعها مثل هذا: <image1> أي من الأشكال التالية لا يمكنه صنعها من هذه القطع؟ <image2>,13.57
57,"Five sparrows are sitting on a rope (see picture). Some of them are looking to the left, some of them are looking to the right. Every sparrow whistles as many times as the number of sparrows he can see sitting in front of him. For example, the third sparrow whistles exactly twice. How often do all sparrows whistle altogether?
<image1>",خمسة فراشات تجلس على حبل (انظر الصورة). بعضها تنظر إلى اليسار، وبعضها ينظر إلى اليمين. كل فراشة تصدر صوتاً عدد مرات يساوي عدد الفراشات التي يمكنها رؤيتها أمامها. على سبيل المثال، تصدر الفراشة الثالثة صوتاً مرتين. كم مرة تصدر جميع الفراشات الصوت معاً؟,55.69
58,"<image1>
In the picture above five ladybirds can be seen. Each one is sitting on a certain flower. A ladybird is only allowed to sit on a flower if the following conditions are met:
1) The difference between the number of points on each wing is equal to the number of leaves on the stem.
2) The number of points on the wings of the ladybird is equal to the number of petals on the flower. Which of the following flowers is without a ladybird?
<image2>","في الصورة أعلاه يمكن رؤية خمسة كرَكَوْت. كل واحد منها يجلس على زهرة معينة. يُسمح للكرَكَوْت بالجلوس على زهرة فقط إذا كانت تحقق الشروط التالية:
1) الفرق بين عدد النقاط على كل جناح يساوي عدد الأوراق على الساق.
2) عدد النقاط على جناحي الكَرَكَوْت يساوي عدد الأوراق على الزهرة. أي من الزهور التالية لا يحتوي على كَرَكَوْت؟",20.12
59,"<image1>
In the picture above we see a cube in two different positions.
The six sides of the cube look like this:
<image2>
Which side is opposite to <image3>?
<image4>","في الصورة أعلاه نرى مكعبًا في مواقع مختلفة.
الجوانب الستة للمكعب تبدو كالتالي:
أي جانب هو المقابل لـ <image3>؟
<image4>",9.05
60,"Ellen wants to decorate the butterfly Which butterfly can she make?
<image1>
using these 6 stickers
<image2>
<image3>",تريد إيلين تزيين النحلة. أي نحلة يمكنها صنعها باستخدام هذه الـ6 ملصقات؟,16.34
61,"Into how many pieces will the string be cut?
<image1>",كم عدد القطع التي تُقطع الحبل؟,11.44
62,"How many blocks are missing in this igloo?
<image1>",كم عدد الكتل المفقودة في هذا الإيغلو؟,6.96
63,"This picture shows a bracelet with pearls.
<image1>
Which of the bands below shows the same bracelet as above?
<image2>","تُظهر هذه الصورة سوارًا مُزَينًا بالنَقْل.
<image1>
أي من الأساور التالية يُظهر نفس السوار الموجود أعلاه؟
<image2>",9.9
64,"Four of the numbers 1,3,4,5 and 7 are written into the boxes so that the calculation is correct.
Which number was not used?
<image1>","أربعة من الأرقام 1,3,4,5 و7 تُكتَب في الصناديق بحيث تكون الحساب صحيحًا. أي عدد لم يتم استخدامه؟",17.11
65,"Jim and Ben are sitting in a ferris wheel (see picture on the right). The ferris wheel is turning. Now Ben is in the position where Jim was beforehand. Where is Jim now?
<image1>
<image2>",جيم وبن يجلسان على معلج (انظر الصورة على اليمين). معلجهم يدور. الآن بن في الموقع الذي كان جيم فيه سابقاً. أين جيم الآن؟,13.93
66,"Alfred turns his building block 10 times. The first three times can be seen in the picture.
What is the final position of the building block?
<image1>
<image2>","ألفرد يدور كتلة البناء 10 مرات. يمكن رؤية المرات الثلاثة الأولى في الصورة.
ما هي الموضع النهائي لكتلة البناء؟
<image1>
<image2>",11.19
67,"In which picture are there half as many circles as triangles and twice as many squares as triangles?
<image1>",في أي من الصور عدد الدوائر هو نصف عدد المثلثات وعدد المربعات هو ضعف عدد المثلثات؟,9.45
68,"Old McDonald has a horse, two cows and three pigs.
<image1>
How many more cows does he need, so that exactly half of all his animals are cows?",لدي السيد ماك دونالد حصان، واثنان من البقر وثلاثة من الخنازير. كم عدد البقر الإضافية التي يحتاجها حتى يصبح عدد البقر نصف جميع الحيوانات لديه؟,8.89
69,"Lisa has several sheets of construction paper like this
<image1>
and
<image2>
She wants to make 7 identical crowns:
<image3>
For that she cuts out the necessary parts.
What is the minimum number of sheets of construction paper that she has to cut up?",ما هو أقل عدد من أوراق الورق الملونة التي يجب أن تقطعها لين؟,19.11
70,"Simon has two identical tiles, whose front look like this: The back is white.
<image1>
Which pattern can he make with those two tiles?
<image2>","سيمون لديه قطعتين متطابقتين، الوجه الأمامي لهما يبدو كما يلي: الوجه الآخر أبيض.
<image1>
ما هو النمط الذي يمكنه صنعه باستخدام هذه القطعتين؟
<image2>",14.53
71,"Each one of the four keys locks exactly one padlock. Every letter on a padlock stands for exactly one digit. Same letters mean same digits.
Which letters must be written on the fourth padlock?
<image1>",ما هي الحروف التي يجب كتابتها على القفل الرابع؟,14.13
72,"Alice draws lines between the beetles. She starts with the beetle with the fewest points. Then she continues drawing to the beetle with one more point. Which figure is formed?
<image1>
<image2>",تُخطِّئ أليكس خطوطًا بين الحشرات. تبدأ بحشرة تمتلك أقل عدد من النقاط. ثم تستمر في الرسم نحو حشرة تمتلك نقطة إضافية. ما الشكل الذي يتم تشكيله؟,11.02
73,"The same amount of kangaroos should be in both parks. How many kangaroos have to be moved from the left park to the right park for that to happen?
<image1>",يجب أن يكون نفس العدد من الكاجورو في كلا الحدائق. كم عدد الكاجورو التي يجب أن تُنقل من الحديقة اليسرى إلى الحديقة اليمنى لتحقيق ذلك؟,11.29
74,"Which beetle has to fly away so that the remaining beetles have 20 dots altogether?
<image1>",أي حشرة يجب أن تطير بعيدًا بحيث يكون المتبقي من الحشرات يمتلكون 20 نقطة إجمالًا؟,13.03
75,"Peter has drawn this pattern:
<image1>
He draws exactly the same pattern once more.
Which point is on his drawing?","بيتر رسم هذا النمط:
<image1>
يرسم بيتر نفس النمط مرة أخرى.
أي نقطة على رسمه؟",8.6
76,"Theodor has built this tower made up of discs. He looks at the tower from above. How many discs does he see?
<image1>",قام تيودور ببناء هذه البرج المكون من أقراص. ينظر تيودور إلى البرج من الأعلى. كم عدد الأقراص التي يراها تيودور؟,13.1
77,"This diagram shows two see-through sheets. You place the sheets on top of each other.Which pattern do you get?
<image1>
<image2>",يظهر هذا المخطط ورقتين شفافتين. تضع الورقتين فوق بعضهما. ما الأنماط التي تظهر عند وضع الورقتين فوق بعضهما؟,16.08
78,"In order to get to his bone, the dog has to follow the black line. In total he turns 3-times to the right and 2-times to the left.
Which path does he take?
<image1>",للوصول إلى عظامه، يجب على الكلب أن يتبع الخط الأسود. إجمالاً، يتحول ثلاث مرات إلى اليمين ومرتين إلى اليسار. ما المسار الذي يأخذه؟,31.34
79,"Lisa needs exactly 3 pieces to complete her jigsaw.
Which of the 4 pieces is left over?
<image1>
<image2>",ليزا تحتاج إلى ثلاث قطع بالضبط لإكمال بازلها. أي من القطع الأربعة بقت؟,21.2
80,"Charles cuts a rope into 3 equally long pieces. Then he makes one knot in one of the pieces, 2 in the next and in the third piece 3 knots. Then he lays the three pieces down in a random order. Which picture does he see?
<image1>",يقطع تشارلز سلسلة إلى 3 أجزاء متساوية الطول. ثم يصنع عقدة واحدة في أحد الأجزاء، وعقدتين في الجزء التالي، وثلاثة عقد في الجزء الثالث. ثم يضع الثلاثة أجزاء في ترتيب عشوائي. ما الصورة التي يراها؟,25.61
81,"How many of the hands pictured show a right hand?
<image1>",كم من اليدين المُصوَّرة تُظهر اليد اليمنى؟,6.73
82,"The number of spots on the fly agarics (toadstools) shows how many dwarfs fit under it. We can see one side of the fungi. The other side has the same amount of spots. When it rains 36 dwarfs are trying to hide under the fungi. How many dwarfs get wet?
<image1>",عدد البقع على الغطاسية (الطفيليات) يُظهر عدد الأبالسة التي يمكن أن تتناثر تحتها. يمكننا رؤية جانب واحد من الطفيليات. الجانب الآخر يحتوي على نفس عدد البقع. عندما يُ下雨 36 أبالسة تحاول إخفاء نفسها تحت الطفيليات. كم عدد الأبالسة التي تُبلل؟,27.5
83,"Susi makes this pattern using ice-lolly sticks. Each stick is $5 \mathrm{~cm}$ long and $1 \mathrm{~cm}$ wide. How long is Susi's pattern?
<image1>",كم طول نمط سوزي؟,10.72
84,"The road from Anna's to Mary's house is $16 \mathrm{~km}$ long. The road from Mary's to John's house is $20 \mathrm{~km}$ long. The road from the crossing to Mary's house is $9 \mathrm{~km}$ long. How long is the road from Anna's to John's house?
<image1>",الطريق من منزل أننا إلى منزل ماري هو 16 كيلومترًا. الطريق من منزل ماري إلى منزل جون هو 20 كيلومترًا. الطريق من التقاطع إلى منزل ماري هو 9 كيلومترًا. كم يبلغ طول الطريق من منزل أننا إلى منزل جون؟,21.27
85,"Which of these clouds contain only numbers that are smaller than 7 ?
<image1>",أي من هذه السحب تحتوي فقط على أعداد أقل من 7؟,8.35
86,"Which of the 5 pictures shows a part of this chain?
<image1>
<image2>",أي من الصور الخمسة يُظهر جزءًا من هذه السلسلة؟,8.05
87,Mother kangaroo and her son Max together weigh $60 \mathrm{~kg}$ (kilograms). The mother on her own weighs $52 \mathrm{~kg}$. How heavy is Max? <image1>,الكانغورو الأم وابنها ماكس يبلغان معاً وزن 60 كجم. والكانغورو الأم بلا ابنها تبلغ وزنها 52 كجم. ما هو وزن ماكس؟,13.88
88,"There are 12 children in front of a zoo. Susi is the 7th from the front and Kim the $2 \mathrm{nd}$ from the back. <image1>
How many children are there between Susi and Kim?",كم عدد الأطفال بين سوسي وكيم؟,12.5
89,"Jörg is sorting his socks. Two socks with the same number are one pair.
<image1>
How many pairs can he find?",JORGE يُرتِّب قُطَّانَهُ. قطعتان ذات العدد نفسه هما زوج واحد. <image1> كم زوجًا يمكنه أن يجد؟,15.36
90,"Five equally big square pieces of card are placed on a table on top of each other. The picture on the side is created this way. The cards are collected up from top to bottom. In which order are they collected?
<image1>",خمس قطع مربعة من الورق متساوية في الحجم مُوضعَة على الطاولة فوق بعضها. الصورة الجانبية تم إنشاؤها بهذه الطريقة. تم جمع الورق من الأعلى إلى الأسفل. في أي ترتيب تم جمعها؟,11.68
91,The floor of a room is covered with equally big rectangular tiles (see picture). How long is the room? <image1>,ال пол الغرفة مغطى ببلاط مستطيل متساوية الحجم (انظر الصورة). كم طول الغرفة؟ <image1>,16.36
92,"The picture shows a mouse and a piece of cheese. The mouse is only allowed to move to the neighbouring fields in the direction of the arrows. How many paths are there from the mouse to the cheese?
<image1>",الصورة تُظهر فأرًا وقطعة جبن. يُسمح له بالتحرك فقط إلى الحقول المجاورة في اتجاه الأسهم. كم عدد المسارات من الفأر إلى القطعة؟,10.0
93,"Which of the figures can be cut into these 3 pieces?
<image1>
<image2>",أي من الأشكال يمكن تقسيمها إلى هذه 3 قطع؟,11.25
94,"The giants Tim and Tom build a sandcastle and decorate it with a flag. They insert half the flagpole into the highest point of the sandcastle. The highest point of the flagpole is now $16 \mathrm{~m}$ above the floor, the lowest $6 \mathrm{~m}$ (see diagram). How high is the sandcastle? <image1>","To solve this problem, we need to carefully interpret the given information and apply logical reasoning.

---

### **Understanding the Problem**

We are told:

- A **flagpole** is inserted into the **highest point** of a **sandcastle**.
- **Half** of the flagpole is **inside** the sandcastle.
- The **highest point** of the flagpole is **16 meters** above the **floor**.
- The **lowest point** of the flagpole is **6 meters** above the **floor**.

We are to find the **height of the sandcastle**.

---

### **Step 1: Determine the Total Length of the Flagpole**

The flagpole extends from the **lowest point** (6 meters) to the **highest point** (16 meters). Therefore, the **total length** of the flagpole is:

$$
\text{Length of flagpole} = 16 - 6 = 10 \text{ meters}
$$

---

### **Step 2: Determine the Portion Inside the Sandcastle**

We are told that **half** of the flagpole is **inside** the sandcastle. So:

$$
\text{Length inside sandcastle} = \frac{10}{2} = 5 \text{ meters}
$$

---

### **Step 3: Determine the Height of the Sandcastle**

The **base** of the flagpole is at the **top** of the sandcastle. Since the **length inside** the sandcastle is 5 meters, and the **lowest point** of the flagpole is 6 meters above the floor, the **top of the sandcastle** must be at:

$$
\text{Height of sandcastle} = 6 + 5 = 11 \text{ meters}
$$

---

### **Final Answer**

$$
\boxed{11}
$$

The height of the sandcastle is **11 meters**.",103.56
95,"There are white, grey and black squares. Three children use these to make this pattern.
<image1>
First Anni replaces all black squares with white squares.
Then Bob replaces all grey squares with black squares.
Finally Chris replaces all white squares with grey squares.
Which picture have the three children now created?
<image2>",هناك مربعات بيضاء، رمادية وأسود. ثلاثة أطفال يستخدمون هذه لإنشاء هذا النمط. أولاً، يحلّي أنني جميع المربعات السوداء بالمربعات البيضاء. ثم يحلّي بوب جميع المربعات الرمادية بالمربعات السوداء. أخيراً، يحلّي كريس جميع المربعات البيضاء بالمربعات الرمادية. ما الصورة التي أنشأوها الآن؟,12.85
96,"Each figure is made up of 4 equally big cubes and coloured in. Which figure needs the least amount of colour?
<image1>",كل شكل يتكون من 4 مكعبات متساوية الحجم وتُلوَّن. أي شكل يحتاج إلى أقل كمية من اللون؟,11.77
97,"Four strips of paper are used to make a pattern (see picture).
<image1>
What do you see when you look at it from behind?
<image2>",أربعة شرائح من الورق تُستخدم لصنع نمط (انظر الصورة). ما الذي تراه عند النظر إليه من الخلف؟,13.34
98,"The kangaroo goes up three steps each time the rabbit goes down two steps. When the kangaroo is on step 9, on which step will the rabbit be?
<image1>",عندما يكون الكanguaroo على الدرجة 9، ستكون الدرجة التي يكون عليها الأرنب هي 6.,63.71
99,"Julia has 5 pieces of plastic and has stacked these pieces on a table, as shown beside. What was the second piece she put on the table?
<image1>
<image2>",جوليا لديها 5 قطع من البلاستيك ووضعت هذه القطع على طاولة، كما هو موضح في الصورة المجاورة. ما كانت القطعة الثانية التي وضعتها على الطاولة؟,11.6
100,"Marco's father took a picture of his son in front of the car shown beside. Which of the drawings below could represent this picture?
<image1>
<image2>",والد ماركو أня صورة ابنه أمام السيارة المُشار إليها بجانب. أي من الرسومات أدناه يمكن أن يمثل هذه الصورة؟,16.32
101,"Every night the wizard Tilim makes the weather forecast for the king. When Tilim gets it right he gets 3 gold coins, but when he makes a mistake, he pays a fine of 2 gold coins. After making the prediction for 5 days, Tilim did the math and discovered that he neither won nor lost coins. How many times did he get the weather forecast right in those 5 days?
<image1>",كم مرة أخطأ فيها التيليم في توقع الطقس خلال هذه الأيام الخمسة؟,8.55
102,"A magician takes animals out of his hat always in the same order, as shown below.
<image1>
The pattern of the figure is repeated every five animals. What will be the fourteenth animal he will pull out of his hat?
<image2>",ما هو الحيوان الرابع عشر الذي سيقوم بالساحر بسحبه من قبضته؟,8.41
103,"Ana has the cards shown on the left. She chooses several of them to assemble the tower shown on the right. Which cards did she not use?
<image1>
<image2>
<image3>",لديها البطاقات المُوضَّحة على اليسار. تختار بعضها لتجميع البرج المُوضَّح على اليمين. أي البطاقات لم تستخدمها؟,19.94
104,"Maria made a block using white cubes and colored cubes in equal amounts. How many of the white cubes cannot be seen in the picture?
<image1>",كم من المكعبات البيضاء لا يمكن رؤيتها في الصورة؟,8.3
105,"Ana draws some shapes on a sheet. Her drawing has fewer squares than triangles. What could be her drawing?
<image1>",تُرسِّم أنَّا بعض الأشكال على ورقة. رسمها تحتوي على عدد أقل من المربعات من المثلثات. ما يمكن أن يكون رسمها؟,10.8
106,"Which of the tiles below is NOT part of the wall next door?
<image1>
<image2>",أي من البلاط أدناه ليس جزءًا من الجدار المجاور؟,7.33
107,"A village of 12 houses has four straight streets and four circular streets. The map shows 11 houses. In each straight street there are three houses and in each circular street there are also three houses. Where should the 12th house be placed on this map?
<image1>",قرية تحتوي على 12 منزلًا تضم أربعة شوارع مستقيمة وأربعة شوارع دائرية. تُظهر الخريطة 11 منزلًا. تحتوي كل شارع مستقيم على ثلاث منازل وتحتوي كل شارع دائري أيضًا على ثلاث منازل. أين يجب أن يُوضع المنزل الثاني عشر على هذه الخريطة؟,19.29
108,"Five blocks are built with equal cubes glued face to face. In which of them was the smallest number of cubes used?
<image1>",تم بناء خمس كتل باستخدام مكعبات متساوية ملصَّقة بوجهاتها معا. في أي من هذه الكتل استُخدم أقل عدد من المكعبات؟,10.41
