id,question,arabic_question,translation_time_sec
44,"Florian has 10 equally long metal strips with equally many holes.
<image1>
He bolts the metal strips together in pairs. Now he has five long strips (see the diagram).
<image2>
Which of the long strips is the shortest?",يمتلك فلوريان 10 شرائط معدنية متساوية الطول وبها عدد متساوٍ من الثقوب. يربط الشرائط المعدنية معًا في أزواج. الآن لديه خمسة شرائط طويلة (انظر الرسم التخطيطي). أي من الشرائط الطويلة هو الأقصر؟,25.76
45,"Which of the kangaroo cards shown below can be turned around so that it then looks the same as the card shown on the right?
<image1>
<image2>",أي من بطاقات الكنغر المعروضة أدناه يمكن قلبها بحيث تبدو مطابقة للبطاقة المعروضة على اليمين؟,3.57
46,"What do you see if you look at the tower, which is made up of two building blocks, exactly from above?
<image1>
<image2>","ماذا ترى إذا نظرت إلى البرج، المكون من كتلتين بنائيتين، من الأعلى تمامًا؟",3.5
47,"How many numbers are outside the square?
<image1>",كم عدد الأرقام خارج المربع؟,2.86
48,"Michael has two building blocks. Each building block is made up of two cubes glued together. Which figure can he not make using the blocks?
<image1>
<image2>",يمتلك مايكل قطعتي بناء. تتكون كل قطعة بناء من مكعبين ملتصقين ببعضهما. أي شكل لا يمكنه تشكيله باستخدام هذه القطع؟,23.68
49,"Every one of these six building blocks consists of 5 little cubes. The little cubes are either white or grey. Cubes of equal colour don't touch each other. How many little white cubes are there in total?
<image1>",يتكون كل من كتل البناء الست هذه من 5 مكعبات صغيرة. إما أن تكون المكعبات الصغيرة بيضاء أو رمادية. لا تلامس المكعبات ذات اللون المتساوي بعضها البعض. ما هو العدد الإجمالي للمكعبات البيضاء الصغيرة؟,4.67
50,"Which piece is missing?
<image1>
<image2>",أي قطعة مفقودة؟,2.63
51,"How many ropes can you see in this picture?
<image1>",كم عدد الحبال التي يمكنك رؤيتها في هذه الصورة؟,2.92
52,"Which point in the labyrinth can we get to, starting at point $O$?
<image1>","ما هي النقطة في المتاهة التي يمكننا الوصول إليها، بدءاً من النقطة $O$؟",3.41
53,"Max has 10 dice. Which one of the following solids can he build with them?
<image1>",لدى ماكس 10 نرد. أي من المجسمات التالية يمكنه بناؤه بها؟,15.1
54,"A hen lays white and brown eggs. Lisa takes six of them and puts them in a box as shown. The brown eggs are not allowed to touch each other. What is the maximum number of brown eggs Lisa can place in the box?
<image1>",تضع الدجاجة بيضاً أبيض وبني. أخذت ليزا ستة منها ووضعتها في صندوق كما هو موضح. لا يُسمح للبيض البني بأن يلامس بعضه البعض. ما هو الحد الأقصى لعدد البيض البني الذي يمكن لليزا وضعه في الصندوق؟,5.02
55,"Gerda walks along the road and writes down the letters she can see on her right hand side. Which word is formed while Gerda walks from point 1 to point 2?
<image1>",تسير جيردا على طول الطريق وتكتب الحروف التي تراها على يمينها. ما الكلمة التي تتكون بينما تسير جيردا من النقطة 1 إلى النقطة 2؟,20.06
56,"Konrad has some pieces of cardboard which all look like this:
<image1>
Which of the shapes below can he not make out of these pieces?
<image2>","لدى كونراد بعض قطع الكرتون التي تبدو جميعها هكذا:
<image1>
أي من الأشكال أدناه لا يمكنه صنعها من هذه القطع؟
<image2>",4.2
57,"Five sparrows are sitting on a rope (see picture). Some of them are looking to the left, some of them are looking to the right. Every sparrow whistles as many times as the number of sparrows he can see sitting in front of him. For example, the third sparrow whistles exactly twice. How often do all sparrows whistle altogether?
<image1>","تجلس خمسة عصافير على حبل (انظر الصورة). بعضها ينظر إلى اليسار، وبعضها ينظر إلى اليمين. يصفر كل عصفور عدد المرات التي يساوي عدد العصافير التي يستطيع رؤيتها جالسة أمامه. على سبيل المثال، يصفر العصفور الثالث مرتين بالضبط. فكم مرة تصفر جميع العصافير معًا؟",24.73
58,"<image1>
In the picture above five ladybirds can be seen. Each one is sitting on a certain flower. A ladybird is only allowed to sit on a flower if the following conditions are met:
1) The difference between the number of points on each wing is equal to the number of leaves on the stem.
2) The number of points on the wings of the ladybird is equal to the number of petals on the flower. Which of the following flowers is without a ladybird?
<image2>","في الصورة أعلاه، يمكن رؤية خمس خنافس. تجلس كل خنفساء على زهرة معينة. لا يُسمح لخنفساء بالجلوس على زهرة إلا إذا تحققت الشروط التالية:
1) الفرق بين عدد النقاط على كل جناح يساوي عدد الأوراق على الساق.
2) عدد النقاط على أجنحة الخنفساء يساوي عدد البتلات على الزهرة. أي من الزهور التالية لا يوجد عليه خنفساء؟",24.52
59,"<image1>
In the picture above we see a cube in two different positions.
The six sides of the cube look like this:
<image2>
Which side is opposite to <image3>?
<image4>","في الصورة أعلاه، نرى مكعبًا في موقعين مختلفين.
تبدو أوجه المكعب الستة كالتالي:
أي وجه مقابل لـ [الصورة 3]؟
[الصورة 4]",21.11
60,"Ellen wants to decorate the butterfly Which butterfly can she make?
<image1>
using these 6 stickers
<image2>
<image3>","تريد إيلين تزيين الفراشة، أي فراشة يمكنها صنعها؟
<image1>
باستخدام هذه الملصقات الـ 6
<image2>
<image3>",4.26
61,"Into how many pieces will the string be cut?
<image1>",إلى كم قطعة سيتم تقطيع الخيط؟,2.88
62,"How many blocks are missing in this igloo?
<image1>",كم عدد الكتل المفقودة في هذا الكوخ الثلجي؟,3.15
63,"This picture shows a bracelet with pearls.
<image1>
Which of the bands below shows the same bracelet as above?
<image2>","تُظهر هذه الصورة سوارًا باللؤلؤ.
<image1>
أي من الأساور أدناه يُظهر نفس السوار الموجود أعلاه؟
<image2>",3.93
64,"Four of the numbers 1,3,4,5 and 7 are written into the boxes so that the calculation is correct.
Which number was not used?
<image1>","كُتب أربعة من الأرقام 1، 3، 4، 5، و 7 في المربعات بحيث تكون العملية الحسابية صحيحة. أي رقم لم يُستخدم؟",19.45
65,"Jim and Ben are sitting in a ferris wheel (see picture on the right). The ferris wheel is turning. Now Ben is in the position where Jim was beforehand. Where is Jim now?
<image1>
<image2>",يجلس جيم وبن في عجلة فيريس (انظر الصورة على اليمين). عجلة فيريس تدور. الآن بن في الموضع الذي كان فيه جيم سابقاً. أين جيم الآن؟,20.66
66,"Alfred turns his building block 10 times. The first three times can be seen in the picture.
What is the final position of the building block?
<image1>
<image2>",يدير ألفريد مكعب البناء الخاص به 10 مرات. يمكن رؤية المرات الثلاث الأولى في الصورة. ما هو الموقع النهائي لمكعب البناء؟,15.95
67,"In which picture are there half as many circles as triangles and twice as many squares as triangles?
<image1>",في أي صورة عدد الدوائر نصف عدد المثلثات وعدد المربعات ضعف عدد المثلثات؟,3.19
68,"Old McDonald has a horse, two cows and three pigs.
<image1>
How many more cows does he need, so that exactly half of all his animals are cows?","يمتلك ""أولد ماكدونالد"" حصاناً وبقرتين وثلاثة خنازير. كم بقرة يحتاج ليصبح نصف جميع حيواناته بقرات بالضبط؟",21.73
69,"Lisa has several sheets of construction paper like this
<image1>
and
<image2>
She wants to make 7 identical crowns:
<image3>
For that she cuts out the necessary parts.
What is the minimum number of sheets of construction paper that she has to cut up?","لدى ليزا عدة أوراق من ورق الكرتون كهذه <image1> و <image2>. وترغب في صنع 7 تيجان متطابقة: <image3>. ولهذا الغرض، تقص الأجزاء اللازمة. ما هو الحد الأدنى لعدد أوراق الكرتون التي يجب أن تقصها؟",24.3
70,"Simon has two identical tiles, whose front look like this: The back is white.
<image1>
Which pattern can he make with those two tiles?
<image2>","يمتلك سيمون بلاطتين متطابقتين، يظهر وجههما بهذا الشكل: أما الخلف فهو أبيض. <image1> ما النمط الذي يمكنه تكوينه باستخدام هاتين البلاطتين؟ <image2>",19.66
71,"Each one of the four keys locks exactly one padlock. Every letter on a padlock stands for exactly one digit. Same letters mean same digits.
Which letters must be written on the fourth padlock?
<image1>",يُغلق كل مفتاح من المفاتيح الأربعة قفلاً واحداً بالضبط. يمثل كل حرف على القفل رقماً واحداً بالضبط. الحروف المتشابهة تعني الأرقام المتشابهة. ما هي الحروف التي يجب كتابتها على القفل الرابع؟,22.08
72,"Alice draws lines between the beetles. She starts with the beetle with the fewest points. Then she continues drawing to the beetle with one more point. Which figure is formed?
<image1>
<image2>",ترسم أليس خطوطًا بين الخنافس. تبدأ بالخنفساء الأقل عددًا من النقاط. ثم تواصل الرسم حتى تصل إلى الخنفساء التي يزيد عدد نقاطها بواحد. ما الشكل الذي يتكون؟,4.26
73,"The same amount of kangaroos should be in both parks. How many kangaroos have to be moved from the left park to the right park for that to happen?
<image1>",يجب أن يكون عدد الكنغر في كلا المنتزهين متساويًا. كم عدد الكنغر الذي يجب نقله من المنتزه الأيسر إلى المنتزه الأيمن لحدوث ذلك؟,4.01
74,"Which beetle has to fly away so that the remaining beetles have 20 dots altogether?
<image1>",أي خنفساء يجب أن تطير بعيدًا لكي يتبقى للخنفساء المتبقية 20 نقطة إجمالاً؟,3.75
75,"Peter has drawn this pattern:
<image1>
He draws exactly the same pattern once more.
Which point is on his drawing?","رسم بيتر هذا النمط:
<image1>
يرسم نفس النمط تمامًا مرة أخرى.
أي نقطة تقع على رسمه؟",17.58
76,"Theodor has built this tower made up of discs. He looks at the tower from above. How many discs does he see?
<image1>",بنى ثيودور هذا البرج المكون من أقراص. ينظر إلى البرج من الأعلى. كم قرصًا يرى؟,3.57
77,"This diagram shows two see-through sheets. You place the sheets on top of each other.Which pattern do you get?
<image1>
<image2>",يُظهر هذا الرسم التخطيطي ورقتين شفافة. تضع الورقتين فوق بعضهما البعض. ما النمط الذي ستحصل عليه؟,3.57
78,"In order to get to his bone, the dog has to follow the black line. In total he turns 3-times to the right and 2-times to the left.
Which path does he take?
<image1>","للوصول إلى عظمه، يجب على الكلب أن يتبع الخط الأسود. في المجموع، يلتف 3 مرات إلى اليمين و 2 مرات إلى اليسار. أي مسار يسلك؟",23.37
79,"Lisa needs exactly 3 pieces to complete her jigsaw.
Which of the 4 pieces is left over?
<image1>
<image2>","تحتاج ليزا إلى 3 قطع بالضبط لإكمال أحجية الصور المقطوعة الخاصة بها.
أي من القطع الأربع متبقية؟
<image1>
<image2>",4
80,"Charles cuts a rope into 3 equally long pieces. Then he makes one knot in one of the pieces, 2 in the next and in the third piece 3 knots. Then he lays the three pieces down in a random order. Which picture does he see?
<image1>","يقطع تشارل حبلًا إلى 3 قطع متساوية الطول. ثم يضع عقدة واحدة في إحدى القطع، و 2 عقدة في القطعة التالية، و 3 عقد في القطعة الثالثة. بعد ذلك، يضع القطع الثلاثة بترتيب عشوائي. أي صورة يرى؟",22.14
81,"How many of the hands pictured show a right hand?
<image1>",كم عدد الأيدي المصورة التي تظهر يدًا يمنى؟,2.96
82,"The number of spots on the fly agarics (toadstools) shows how many dwarfs fit under it. We can see one side of the fungi. The other side has the same amount of spots. When it rains 36 dwarfs are trying to hide under the fungi. How many dwarfs get wet?
<image1>","يوضح عدد البقع على فطر الأمانيتا (فطر الضفادع) عدد الأقزام الذين يمكن أن يتسع لهم تحته. يمكننا رؤية جانب واحد من الفطريات، والجانب الآخر يحتوي على نفس عدد البقع. عندما تمطر، يحاول 36 قزماً الاختباء تحت الفطريات. فكم عدد الأقزام الذين يبتلون؟",25.24
83,"Susi makes this pattern using ice-lolly sticks. Each stick is $5 \mathrm{~cm}$ long and $1 \mathrm{~cm}$ wide. How long is Susi's pattern?
<image1>",تصنع سوسي هذا النمط باستخدام أعواد المصاصات. يبلغ طول كل عود 5 سم وعرضه 1 سم. ما هو طول نمط سوسي؟,19.99
84,"The road from Anna's to Mary's house is $16 \mathrm{~km}$ long. The road from Mary's to John's house is $20 \mathrm{~km}$ long. The road from the crossing to Mary's house is $9 \mathrm{~km}$ long. How long is the road from Anna's to John's house?
<image1>",يبلغ طول الطريق من منزل آنا إلى منزل ماري 16 كم. ويبلغ طول الطريق من منزل ماري إلى منزل جون 20 كم. ويبلغ طول الطريق من المعبر إلى منزل ماري 9 كم. ما طول الطريق من منزل آنا إلى منزل جون؟,20.96
85,"Which of these clouds contain only numbers that are smaller than 7 ?
<image1>",أي من هذه السحب تحتوي على أرقام أصغر من 7 فقط؟,3.07
86,"Which of the 5 pictures shows a part of this chain?
<image1>
<image2>",أي من الصور الخمس تظهر جزءًا من هذه السلسلة؟,2.98
87,Mother kangaroo and her son Max together weigh $60 \mathrm{~kg}$ (kilograms). The mother on her own weighs $52 \mathrm{~kg}$. How heavy is Max? <image1>,يزن الكنغر الأم وابنها ماكس معًا 60 كجم. تزن الأم وحدها 52 كجم. فكم يزن ماكس؟,25.44
88,"There are 12 children in front of a zoo. Susi is the 7th from the front and Kim the $2 \mathrm{nd}$ from the back. <image1>
How many children are there between Susi and Kim?","يوجد 12 طفلاً أمام حديقة الحيوان. سوسي هي السابعة من الأمام، وكيم هي الثانية من الخلف. كم عدد الأطفال الذين يفصلون بين سوسي وكيم؟",17.28
89,"Jörg is sorting his socks. Two socks with the same number are one pair.
<image1>
How many pairs can he find?","يورغ يرتب جواربه. جواران لهما نفس الرقم يمثلان زوجًا واحدًا.
<image1>
كم عدد الأزواج التي يمكنه العثور عليها؟",17.97
90,"Five equally big square pieces of card are placed on a table on top of each other. The picture on the side is created this way. The cards are collected up from top to bottom. In which order are they collected?
<image1>",وُضعت خمس قطع مربعة متساوية الحجم من الكرتون على طاولة فوق بعضها البعض. تُصنع الصورة الموجودة على الجانب بهذه الطريقة. تُجمع البطاقات من الأعلى إلى الأسفل. بأي ترتيب يتم جمعها؟,20.9
91,The floor of a room is covered with equally big rectangular tiles (see picture). How long is the room? <image1>,أرضية غرفة مكسوة ببلاطات مستطيلة متساوية الحجم (انظر الصورة). ما طول الغرفة؟,16.02
92,"The picture shows a mouse and a piece of cheese. The mouse is only allowed to move to the neighbouring fields in the direction of the arrows. How many paths are there from the mouse to the cheese?
<image1>",تُظهر الصورة فأرًا وقطعة جبن. يُسمح للفأر بالتحرك إلى الحقول المجاورة فقط في اتجاه الأسهم. كم عدد المسارات من الفأر إلى الجبن؟,4.19
93,"Which of the figures can be cut into these 3 pieces?
<image1>
<image2>",أي من الأشكال يمكن قصه إلى هذه القطع الثلاث؟,2.92
94,"The giants Tim and Tom build a sandcastle and decorate it with a flag. They insert half the flagpole into the highest point of the sandcastle. The highest point of the flagpole is now $16 \mathrm{~m}$ above the floor, the lowest $6 \mathrm{~m}$ (see diagram). How high is the sandcastle? <image1>","بنى العملاقان تيم وتوم قلعة رملية وزينوها بعلم. وقد غرسا نصف سارية العلم في أعلى نقطة من القلعة الرملية. أعلى نقطة في سارية العلم الآن تبعد 16 م عن الأرضية، وأدناها 6 م (انظر الشكل). ما هو ارتفاع القلعة الرملية؟",23.54
95,"There are white, grey and black squares. Three children use these to make this pattern.
<image1>
First Anni replaces all black squares with white squares.
Then Bob replaces all grey squares with black squares.
Finally Chris replaces all white squares with grey squares.
Which picture have the three children now created?
<image2>","يوجد مربعات بيضاء ورمادية وسوداء. يستخدم ثلاثة أطفال هذه المربعات لتكوين هذا النمط.
<image1>
أولاً، تستبدل آني جميع المربعات السوداء بمربعات بيضاء.
ثم يستبدل بوب جميع المربعات الرمادية بمربعات سوداء.
أخيراً، يستبدل كريس جميع المربعات البيضاء بمربعات رمادية.
أي صورة أنشأ الأطفال الثلاثة الآن؟
<image2>",24.98
96,"Each figure is made up of 4 equally big cubes and coloured in. Which figure needs the least amount of colour?
<image1>",يتكون كل شكل من 4 مكعبات متساوية الحجم ومُلوَّنة. أي شكل يحتاج إلى أقل كمية من اللون؟,3.66
97,"Four strips of paper are used to make a pattern (see picture).
<image1>
What do you see when you look at it from behind?
<image2>","تُستخدم أربع شرائط من الورق لعمل نمط (انظر الصورة).
<image1>
ماذا ترى عندما تنظر إليه من الخلف؟
<image2>",4
98,"The kangaroo goes up three steps each time the rabbit goes down two steps. When the kangaroo is on step 9, on which step will the rabbit be?
<image1>","يصعد الكنغر ثلاث درجات في كل مرة ينزل فيها الأرنب درجتين. عندما يكون الكنغر في الدرجة 9، ففي أي درجة سيكون الأرنب؟",18.66
99,"Julia has 5 pieces of plastic and has stacked these pieces on a table, as shown beside. What was the second piece she put on the table?
<image1>
<image2>","لدى جوليا 5 قطع بلاستيكية وقد وضعت هذه القطع مكدسة على طاولة، كما هو موضح بجانبها. ما هي القطعة الثانية التي وضعتها على الطاولة؟",15.98
100,"Marco's father took a picture of his son in front of the car shown beside. Which of the drawings below could represent this picture?
<image1>
<image2>",التقط والد ماركو صورة لابنه أمام السيارة الموضحة بجانبه. أي من الرسومات التالية يمكن أن يمثل هذه الصورة؟,3.55
101,"Every night the wizard Tilim makes the weather forecast for the king. When Tilim gets it right he gets 3 gold coins, but when he makes a mistake, he pays a fine of 2 gold coins. After making the prediction for 5 days, Tilim did the math and discovered that he neither won nor lost coins. How many times did he get the weather forecast right in those 5 days?
<image1>","كل ليلة، يتنبأ الساحر تيليم بالطقس للملك. عندما ينجح تيليم، يحصل على 3 قطع ذهبية، ولكن عندما يخطئ، يدفع غرامة قدرها قطعتان ذهبيتان. بعد تقديم التنبؤ لمدة 5 أيام، قام تيليم بالحسابات واكتشف أنه لم يربح ولا يخسر أي عملات. كم مرة أصاب تيليم التنبؤ بالطقس في تلك الأيام الخمسة؟",28.92
102,"A magician takes animals out of his hat always in the same order, as shown below.
<image1>
The pattern of the figure is repeated every five animals. What will be the fourteenth animal he will pull out of his hat?
<image2>","يُخرج ساحر الحيوانات من قبعته دائمًا بنفس الترتيب، كما هو موضح أدناه. يتكرر نمط الشكل كل خمسة حيوانات. فما هو الحيوان الرابع عشر الذي سيخرجه من قبعته؟",19.26
103,"Ana has the cards shown on the left. She chooses several of them to assemble the tower shown on the right. Which cards did she not use?
<image1>
<image2>
<image3>",لدى آنا البطاقات الموضحة على اليسار. تختار عدة منها لتجميع البرج الموضح على اليمين. ما هي البطاقات التي لم تستخدمها؟,21.14
104,"Maria made a block using white cubes and colored cubes in equal amounts. How many of the white cubes cannot be seen in the picture?
<image1>",صنعت ماريا كتلة باستخدام مكعبات بيضاء ومكعبات ملونة بكميات متساوية. كم عدد المكعبات البيضاء التي لا يمكن رؤيتها في الصورة؟,3.92
