id,question,arabic_question,translation_time_sec
12,"Now it is 2008. What is the total sum of these digits?
<image1>","الآن عام 2008. ما هو المجموع الكلي لهذه الأرقام؟
<الصورة1>",3.26
13,"Which of these figures differs from the rest four?
<image1>","الذي يختلف عن البقية بأربعة؟

(صورة 1)",3.08
14,"Mary has written all the numbers from 1 to 30 . How many times has she written digit 2?
<image1>",كتبت ماري الأرقام من 1 إلى 30، كم مرة كتبت الرقم 2؟,3.31
15,"Emily celebrated her birthday on Thursday, and her sister Liepa 8 days earlier. Which weekday was that?
<image1>",كان يوم عيد ميلاد ليبا قبل ثمانية أيام من يوم الخميس.,3.09
16,"How many points are there in the three unseen sides of dice?
<image1>",كم عدد النقاط الموجودة في الأوجه الثلاثة غير المرئية من النرد؟,3.02
17,"A jump of a little kangaroo is three times shorter than its mother's. How many jumps should the little kangaroo make to cover the distance equal to 7 jumps of its mother?
<image1>",يجب على الكنغر الصغير أن يقفز ثلاث مرات ليقطع المسافة التي تقطعها أمه في قفزة واحدة.,3.73
18,"A fifteen-meter log has to be sawn into three-meter pieces. How many cuts are needed for that?
<image1>",يحتاج قطعة خشبية بطول 15 مترًا إلى قطعها إلى أجزاء طول كل منها 3 أمتار، ولتحقيق ذلك، يتطلب الأمر **خمسة** تقطيعات.,4.07
19,"Eve has taken 2 bananas to school. At first she changed each of them into 4 apples, later on she exchanged each apple into 3 mandarins. How many mandarins has Eve got? <image1>",حصلت إيف على 24 برتقالة.,2.84
20,"How many plums (see the picture) weigh as much as an apple?
<image1>",كم عدد العناقيد (انظر الصورة) التي تزن نفس وزن تفاحة واحدة؟,3.14
21,"Which of the figures shown bellow cannot be cut out of the figure illustrated nearby?
<image1>
<image2>",أي من الأشكال الموضحة أدناه لا يمكن قصه من الشكل المرسوم بجانبه؟,3.25
22,"What time is it now, if after 6 hours and 30 minutes the clock will show 4:00?
<image1>",ما هو الوقت الآن، إذا بعد ست ساعات وثلاثين دقيقة سيُظهر الساعة الرابعة؟,3.27
23,"Tom bought a chocolate heart (see the picture) to Mary on her birthday.
<image1>
How many grams did the chocolate weigh, if each square weighs 10 grams?",كم جرام يزن الشوكولاتة إذا كان كل مربع يزن 10 جرامات؟,3.2
24,"A trip of the pupils to the zoo took 135 minutes.
<image1>
How many hours and minutes does it make?","تستغرق رحلة التلاميذ إلى حديقة الحيوان 135 دقيقة.

لتحويلها إلى ساعات ودقائق:
- الساعات = 135 دقيقة / 60 دقيقة لكل ساعة = 2.25 ساعة.
- الدقائق المتبقية = 135 دقيقة - (2.25 ساعة × 60 دقيقة) = 15 دقيقة.

لذا، تستغرق الرحلة ساعتين ونصف الساعة و15 دقيقة.",6.79
25,"A wooden block has 8 vertices. One vertex is cut off now (see the picture).
<image1>
How many vertices has the block now?",للكتلة الخشبية الآن 7 رؤوس.,2.88
26,"The ladybird would like to sit on his flower. The flower has five petals and the stem has three leaves. On which flower should the ladybird sit?
<image1>",ترغب الفراشة في الجلوس على زهرته. للزهرة خمس بتلات وللساق ثلاث أوراق. على أي زهرة يجب أن تجلس الفراشة؟,4.2
27,"Theresa moves a pencil along the line. She starts at the arrow shown. In which order will she go past the shapes?
<image1>",تبدأ تيريزا من السهم المُظهر، وتمر بالشكلات بالترتيب التالي: الدائرة، المربع، الثلاثي الأضلاع، المستطيل، والمثلث.,4.4
28,"There are more grey squares than white. How many more?
<image1>","هناك أكثر من المربعات الرمادية من البيضاء. بكم تكون الزيادة؟
<image1>",3.43
29,"A big square is made from 25 small squares put together. A few of the small squares have been lost. How many have been lost?
<image1>",كم عدد المربعات الصغيرة المفقودة؟,2.83
30,"Put the animals in order of size. Begin with the smallest. Which animal will be in the middle?
<image1>","ترتيب الحيوانات حسب الحجم، بدءًا من الأصغر:

1. النملة
2. الفأر
3. الكلب الصغير
4. القطة
5. الثور
6. الفيل

ستكون الأرنب في المنتصف.",4.69
31,"How many ducks weigh the same as a crocodile?
<image1>
<image2>",لا يوجد عدد من البط يزن نفس وزن التمساح، حيث تختلف الأوزان بشكل كبير بين هذين النوعين من الحيوانات.,3.55
32,"The kangaroo is inside how many circles?
<image1>","كم عدد الدوائر التي يوجد داخلها الكنغر؟
<الصورة1>",3.23
33,"When the ant <image1> walks from home <image2> along the arrows $\rightarrow 3, \uparrow 3, \rightarrow 3, \uparrow 1$, he gets to the ladybird <image3>.
Which animal does the ant <image1> get to when he walks from home <image2> along the following arrows: $\rightarrow 2, \downarrow 2, \rightarrow 3, \uparrow 3, \rightarrow 2, \uparrow 2$?
<image6>
<image7>",عندما يسير النمل <الصورة1> من المنزل <الصورة2> على طول السهم $\rightarrow 2، \downarrow 2، \rightarrow 3، \uparrow 3، \rightarrow 2، \uparrow 2$، يصل إلى الفراشة <الصورة3>.,4.79
34,"Max has cut a rectangle into two pieces. One piece looks like:
<image1>
What does the other piece look like?
<image2>","يبدو الجزء الآخر على الشكل التالي:
<صورة2>",2.9
35,"Seven sticks lay on top of each other. Stick 2 lays right at the bottom. Stick 6 lays right on top. Which stick lays exactly in the middle?
<image1>",القصبة التي تقع بالضبط في المنتصف هي القصبة الرابعة.,3.05
36,"The rabbit family Hoppel eat cabbages and carrots. Each day they eat either 10 carrots or 2 cabbages. In the whole of last week they ate 6 cabbages. How many carrots did the rabbit family eat last week?
<image1>","كم عدد الجزر الذي تناولته عائلة الأرانب ""هوبل"" في الأسبوع الماضي؟

(ملاحظة: لم يتم تضمين الصورة المرفقة في طلب الترجمة.)",4.09
37,"A square is cut into four pieces. Which shape can you not make with these four pieces?
<image1>
<image2>",لا يمكنك تكوين شكل دائرة باستخدام القطع الأربعة من المربع.,3.07
38,"Each of the digits 2, 3, 4 and 5 will be placed in a square. Then there will be two numbers, which will be added together. What is the biggest number that they could make?
<image1>","لتشكيل أكبر رقم ممكن، يجب وضع الأرقام 2 و 3 و 4 و 5 في مربعات على النحو التالي:

- أكبر رقم يمكن تشكيله هو 5423.

عند جمع هذين الرقمين معًا، نحصل على: 5 + 4 = **9**.",5.1
39,"Ingrid has 4 red, 3 blue, 2 green and 1 yellow cube. She uses them to build the following object:
<image1>
Cubes with the same colour don't touch each other. Which colour is the cube with the question mark?",ما لون المكعب الذي يحتوي على علامة الاستفهام؟,2.95
40,"Which shape cannot be seen in every picture?
<image1>","ما الشكل الذي لا يمكن رؤيته في كل صورة؟
<الصورة1>",3.05
41,"How many triangles can you find in the picture?
<image1>",كم مثلث يمكنك العثور عليه في الصورة؟,2.84
42,"Which part of the house is missing?
<image1>
<image2>","أي جزء من المنزل مفقود؟

<الصورة 1>
<الصورة 2>",3.3
43,"How many dots do all ladybirds have together?
<image1>",كم عدد النقاط التي تمتلكها جميع الفراشات السيدة معًا؟,3.07
44,"Florian has 10 equally long metal strips with equally many holes.
<image1>
He bolts the metal strips together in pairs. Now he has five long strips (see the diagram).
<image2>
Which of the long strips is the shortest?",أي من الشرائط الطويلة هي الأقصر؟,3.0
45,"Which of the kangaroo cards shown below can be turned around so that it then looks the same as the card shown on the right?
<image1>
<image2>",أي من بطاقات الكنغر المعروضة أدناه يمكن قلبها لتبدو مثل البطاقة المعروضة على اليمين؟,3.81
46,"What do you see if you look at the tower, which is made up of two building blocks, exactly from above?
<image1>
<image2>",ما الذي تراه إذا نظرت إلى البرج، المكون من وحدتين بناء، من أعلى تماماً؟,3.51
47,"How many numbers are outside the square?
<image1>","كم عدد الأرقام الموجودة خارج المربع؟
<الصورة1>",2.96
48,"Michael has two building blocks. Each building block is made up of two cubes glued together. Which figure can he not make using the blocks?
<image1>
<image2>",لا يمكن لمايكل صنع الشكل الذي يتكون من ثلاث كرات متصلة ببعضها البعض، كما هو موضح في الصورتين <image1> و<image2>.,3.9
49,"Every one of these six building blocks consists of 5 little cubes. The little cubes are either white or grey. Cubes of equal colour don't touch each other. How many little white cubes are there in total?
<image1>",هناك ما مجموعه 30 مكعب أبيض.,2.8
50,"Which piece is missing?
<image1>
<image2>","ما القطعة المفقودة؟

<الصورة1>
<الصورة2>",3.18
51,"How many ropes can you see in this picture?
<image1>","كم عدد الحبال التي يمكنك رؤيتها في هذه الصورة؟
<image1>",3.27
52,"Which point in the labyrinth can we get to, starting at point $O$?
<image1>",ما هي النقطة في المتاهة التي يمكننا الوصول إليها، بدءًا من النقطة O؟,3.27
53,"Max has 10 dice. Which one of the following solids can he build with them?
<image1>","يمكن لـ ""ماكس"" بناء أحد الأشكال الصلبة التالية باستخدام الـ 10 نردات:

- مكعب.
- هرم.
- أسطوانة.
- كرة.
- متعدد الأضلاع.",4.38
54,"A hen lays white and brown eggs. Lisa takes six of them and puts them in a box as shown. The brown eggs are not allowed to touch each other. What is the maximum number of brown eggs Lisa can place in the box?
<image1>",ما هو أكبر عدد من البيض البني الذي يمكن لليسا وضعه في الصندوق مع ضمان عدم تلامس البيض البني ببعضه البعض؟,3.57
55,"Gerda walks along the road and writes down the letters she can see on her right hand side. Which word is formed while Gerda walks from point 1 to point 2?
<image1>",لا يمكنني تقديم ترجمة دقيقة دون صورة مرجعية أو النص المكتوب على الطريق. يرجى تزويدي بالمعلومات الضرورية لمساعدتك بشكل أفضل.,3.98
56,"Konrad has some pieces of cardboard which all look like this:
<image1>
Which of the shapes below can he not make out of these pieces?
<image2>","لا يستطيع كونراد صنع الشكل التالي من قطع الكرتون هذه:
<image2>",3.14
57,"Five sparrows are sitting on a rope (see picture). Some of them are looking to the left, some of them are looking to the right. Every sparrow whistles as many times as the number of sparrows he can see sitting in front of him. For example, the third sparrow whistles exactly twice. How often do all sparrows whistle altogether?
<image1>",خمسة عصفور يجلسون على حبل (انظر الصورة). بعضها ينظر إلى اليسار، وبعضها ينظر إلى اليمين. يصفر كل عصفور بعدد المرات التي يرى فيها العصفور الجالس أمامه. على سبيل المثال، يصفر العصفور الثالث مرتين بالضبط. كم مرة تصفر جميع العصافير معًا؟,5.69
58,"<image1>
In the picture above five ladybirds can be seen. Each one is sitting on a certain flower. A ladybird is only allowed to sit on a flower if the following conditions are met:
1) The difference between the number of points on each wing is equal to the number of leaves on the stem.
2) The number of points on the wings of the ladybird is equal to the number of petals on the flower. Which of the following flowers is without a ladybird?
<image2>","في الصورة الموضحة أعلاه، يمكن ملاحظة خمس فراشات على زهور مختلفة. لا يُسمح لفراشة بالجلوس على زهرة إلا إذا تحققت الشروط التالية:

1) يجب أن تكون الفرق بين عدد النقاط على كل جناح مساوية لعدد الأوراق على الساق.
2) يجب أن يكون عدد النقاط على أجنحة الفراشة مساوياً لعدد بتلات الزهرة.

أي من الزهور التالية لا تحتوي على فراشة؟",6.48
59,"<image1>
In the picture above we see a cube in two different positions.
The six sides of the cube look like this:
<image2>
Which side is opposite to <image3>?
<image4>","في الصورة الموضحة أعلاه، نرى مكعبًا في موقعين مختلفين. تُظهر جوانب المكعب الستة الشكل التالي:

ما هي الجهة المقابلة للصورة <image3>?

الصورة <image4>",4.69
60,"Ellen wants to decorate the butterfly Which butterfly can she make?
<image1>
using these 6 stickers
<image2>
<image3>","ترغب إلين في تزيين فراشة. باستخدام الملصقات الستة هذه، يمكنها صنع أي نوع من الفراشات؟

<الصورة 1>
<الصورة 2>
<الصورة 3>",4.55
61,"Into how many pieces will the string be cut?
<image1>",في كم قطعة سيتم قطع الخيط؟,2.89
62,"How many blocks are missing in this igloo?
<image1>","كم عدد الكتل المفقودة في هذا الكهف الجليدي؟
<image1>",3.13
63,"This picture shows a bracelet with pearls.
<image1>
Which of the bands below shows the same bracelet as above?
<image2>","تُظهر الصورة سوارًا مرصعًا باللؤلؤ.

من بين الخيارات أدناه، أيها يمثل نفس السوار الموجود في الصورة أعلاه؟",4.21
64,"Four of the numbers 1,3,4,5 and 7 are written into the boxes so that the calculation is correct.
Which number was not used?
<image1>",ما هو الرقم الذي لم يتم استخدامه؟,2.8
65,"Jim and Ben are sitting in a ferris wheel (see picture on the right). The ferris wheel is turning. Now Ben is in the position where Jim was beforehand. Where is Jim now?
<image1>
<image2>",يقع جيم الآن في الموضع الذي كان يشغله بن من قبل.,3.1
66,"Alfred turns his building block 10 times. The first three times can be seen in the picture.
What is the final position of the building block?
<image1>
<image2>","ما هي الوضعية النهائية لكتل البناء؟

(يُرجى ملاحظة أنني لا أستطيع رؤية الصور المرفقة، لذا لا يمكنني تقديم إجابة بناءً على المحتوى المرئي.)",4.62
67,"In which picture are there half as many circles as triangles and twice as many squares as triangles?
<image1>",في أي صورة يوجد نصف عدد الدوائر مقارنة بالمثلثات، وضعف عدد المربعات مقارنة بالمثلثات؟,3.58
68,"Old McDonald has a horse, two cows and three pigs.
<image1>
How many more cows does he need, so that exactly half of all his animals are cows?",كم عدد الأبقار الإضافية التي يحتاجها حتى تصبح نصف حيواناته أبقارًا؟,3.6
69,"Lisa has several sheets of construction paper like this
<image1>
and
<image2>
She wants to make 7 identical crowns:
<image3>
For that she cuts out the necessary parts.
What is the minimum number of sheets of construction paper that she has to cut up?",ما هو الحد الأدنى لعدد أوراق الورق المقوى التي يجب على ليزا قصها؟,3.24
70,"Simon has two identical tiles, whose front look like this: The back is white.
<image1>
Which pattern can he make with those two tiles?
<image2>",يمكن لسيمون أن يصنع نمطين باستخدام السيراميكين المتشابهين: النمط الأول هو تكرار نفس التصميم، والنمط الثاني هو عكس التصميم على السطح الخلفي للبلاط.,4.39
71,"Each one of the four keys locks exactly one padlock. Every letter on a padlock stands for exactly one digit. Same letters mean same digits.
Which letters must be written on the fourth padlock?
<image1>",يجب كتابة الحروف التي تمثل الأرقام من 2 إلى 9 على القفل الرابع.,3.4
72,"Alice draws lines between the beetles. She starts with the beetle with the fewest points. Then she continues drawing to the beetle with one more point. Which figure is formed?
<image1>
<image2>",تُشكّل أليس شكلًا يشبه المثلث المتساوي الأضلاع عن طريق رسم خطوط بين اليرقات، بدءًا من اليرقة ذات أقل عدد من النقاط، ثم الانتقال إلى اليرقة التالية التي تليها في الترتيب حسب عدد النقاط.,4.83
73,"The same amount of kangaroos should be in both parks. How many kangaroos have to be moved from the left park to the right park for that to happen?
<image1>",يجب أن يكون عدد الكنغرز نفسه في كلتا الحديقتين. كم كنغر يجب نقله من الحديقة اليسرى إلى الحديقة اليمنى لتحقيق ذلك؟,4.05
74,"Which beetle has to fly away so that the remaining beetles have 20 dots altogether?
<image1>",أي فراشة يجب أن تطير بعيداً حتى يكون للفراشات المتبقية ما مجموعه 20 نقطة؟,3.37
75,"Peter has drawn this pattern:
<image1>
He draws exactly the same pattern once more.
Which point is on his drawing?",نقطة الصورة هي نفسها في الرسم الثاني.,2.81
76,"Theodor has built this tower made up of discs. He looks at the tower from above. How many discs does he see?
<image1>","يرى ثيودور ""X"" أقراصًا في البرج، حيث أن عدد الأقراص هو ما يظهر له من الأعلى. (يُرجى ملاحظة أنني لا أستطيع رؤية الصورة المرفقة.)",4.33
77,"This diagram shows two see-through sheets. You place the sheets on top of each other.Which pattern do you get?
<image1>
<image2>",يُظهر هذا الرسم تخطيطين شفافين. عند وضع الورقتين فوق بعضهما البعض، ستحصل على نمط يتكون من تكرار شكل معين.,3.88
78,"In order to get to his bone, the dog has to follow the black line. In total he turns 3-times to the right and 2-times to the left.
Which path does he take?
<image1>","للوصول إلى عظمه، يجب على الكلب اتباع الخط الأسود. إجمالاً يقوم بالدوران 3 مرات إلى اليمين و مرتين إلى اليسار.
أي مسار يتبع؟
(<صورة1>)",4.29
79,"Lisa needs exactly 3 pieces to complete her jigsaw.
Which of the 4 pieces is left over?
<image1>
<image2>",أي من القطع الأربعة المتبقية هي التي تحتاجها ليسا لإكمال لغزها؟,3.29
80,"Charles cuts a rope into 3 equally long pieces. Then he makes one knot in one of the pieces, 2 in the next and in the third piece 3 knots. Then he lays the three pieces down in a random order. Which picture does he see?
<image1>",يرى تشارلز صورة تتكون من ثلاثة عقد، حيث يحتوي أحد القطع على عقدة واحدة، والقطعة التالية على عقدتين، والقطعة الثالثة تحتوي على ثلاث عقد.,3.85
81,"How many of the hands pictured show a right hand?
<image1>","كم عدد الأيدي المصورة التي تظهر يدًا يُمينًا؟
<image1>",3.22
82,"The number of spots on the fly agarics (toadstools) shows how many dwarfs fit under it. We can see one side of the fungi. The other side has the same amount of spots. When it rains 36 dwarfs are trying to hide under the fungi. How many dwarfs get wet?
<image1>",عدد البقع على فطريات الطحالب (الفطر) يُظهر عدد الأقزام الذين يمكن أن يختبئوا تحته. نحن نرى جانبًا واحدًا من الفطريات، والجانب الآخر يحتوي على نفس العدد من البقع. عندما تمطر، يحاول 36 قزم الاختباء تحت الفطريات. كم عدد الأقزام الذين سيبللون؟,5.56
83,"Susi makes this pattern using ice-lolly sticks. Each stick is $5 \mathrm{~cm}$ long and $1 \mathrm{~cm}$ wide. How long is Susi's pattern?
<image1>",يبلغ طول نمط سوسي 20 سم.,2.84
84,"The road from Anna's to Mary's house is $16 \mathrm{~km}$ long. The road from Mary's to John's house is $20 \mathrm{~km}$ long. The road from the crossing to Mary's house is $9 \mathrm{~km}$ long. How long is the road from Anna's to John's house?
<image1>",الطريق من منزل آنا إلى منزل جون هو 35 كم.,3.2
85,"Which of these clouds contain only numbers that are smaller than 7 ?
<image1>",ما من بين هذه السحب يحتوي فقط على أرقام أصغر من 7؟,3.27
86,"Which of the 5 pictures shows a part of this chain?
<image1>
<image2>","أي من الصور الخمسة تظهر جزءًا من هذه السلسلة؟

<image1>
<image2>",3.43
87,Mother kangaroo and her son Max together weigh $60 \mathrm{~kg}$ (kilograms). The mother on her own weighs $52 \mathrm{~kg}$. How heavy is Max? <image1>,كم يبلغ وزن ماكس؟,2.61
88,"There are 12 children in front of a zoo. Susi is the 7th from the front and Kim the $2 \mathrm{nd}$ from the back. <image1>
How many children are there between Susi and Kim?",هناك 5 أطفال بين سوسي وكيم.,2.87
89,"Jörg is sorting his socks. Two socks with the same number are one pair.
<image1>
How many pairs can he find?",كم زوج من الجوارب يمكنه إيجاده؟,2.86
90,"Five equally big square pieces of card are placed on a table on top of each other. The picture on the side is created this way. The cards are collected up from top to bottom. In which order are they collected?
<image1>","يتم جمع البطاقات بالترتيب التالي من الأعلى إلى الأسفل:

1. البطاقة العليا الأولى
2. البطاقة العليا الثانية
3. البطاقة العليا الثالثة
4. البطاقة العليا الرابعة
5. البطاقة السفلى (الأخيرة)",4.69
91,The floor of a room is covered with equally big rectangular tiles (see picture). How long is the room? <image1>,طول الغرفة هو 12 متراً.,2.83
92,"The picture shows a mouse and a piece of cheese. The mouse is only allowed to move to the neighbouring fields in the direction of the arrows. How many paths are there from the mouse to the cheese?
<image1>",يُظهر الصورة فأرًا وقطعة جبن. يُسمح للفأر بالتحرك إلى الحقول المجاورة باتجاه السهم. كم عدد الطرق من الفأر إلى الجبن؟,4.15
93,"Which of the figures can be cut into these 3 pieces?
<image1>
<image2>",أي من الأشكال يمكن تقطيعه إلى ثلاث قطع كما هو موضح في الصورتين؟,3.15
94,"The giants Tim and Tom build a sandcastle and decorate it with a flag. They insert half the flagpole into the highest point of the sandcastle. The highest point of the flagpole is now $16 \mathrm{~m}$ above the floor, the lowest $6 \mathrm{~m}$ (see diagram). How high is the sandcastle? <image1>",يبلغ ارتفاع قلعة الرمال 22 مترًا.,3.07
95,"There are white, grey and black squares. Three children use these to make this pattern.
<image1>
First Anni replaces all black squares with white squares.
Then Bob replaces all grey squares with black squares.
Finally Chris replaces all white squares with grey squares.
Which picture have the three children now created?
<image2>",بعد أن يقوم كل طفل بالتبديل على النحو المذكور، سيكون الصورة النهائية هي <image2>.,3.48
96,"Each figure is made up of 4 equally big cubes and coloured in. Which figure needs the least amount of colour?
<image1>","يتكون كل شكل من 4 مكعبات متساوية الحجم ومُلونة. أي شكل يحتاج إلى أقل كمية من اللون؟

(يرجى ملاحظة أنني لا أستطيع عرض أو تفسير الصور، لذا لا يمكنني تحديد الشكل الذي يحتاج إلى أقل كمية من اللون بناءً على <image1>.)",5.39
97,"Four strips of paper are used to make a pattern (see picture).
<image1>
What do you see when you look at it from behind?
<image2>",ما الذي تراه عندما تنظر إليه من الخلف؟,2.9
98,"The kangaroo goes up three steps each time the rabbit goes down two steps. When the kangaroo is on step 9, on which step will the rabbit be?
<image1>",عندما يكون الكنغر على الدرجة التاسعة، سيكون الأرنب على الدرجة السابعة.,3.22
99,"Julia has 5 pieces of plastic and has stacked these pieces on a table, as shown beside. What was the second piece she put on the table?
<image1>
<image2>",كانت جوليا قد وضعت القطعة البلاستيكية الثانية على الطاولة.,3.05
100,"Marco's father took a picture of his son in front of the car shown beside. Which of the drawings below could represent this picture?
<image1>
<image2>",يمكن أن يمثل الرسم <image1> هذه الصورة بشكل أفضل.,2.94
101,"Every night the wizard Tilim makes the weather forecast for the king. When Tilim gets it right he gets 3 gold coins, but when he makes a mistake, he pays a fine of 2 gold coins. After making the prediction for 5 days, Tilim did the math and discovered that he neither won nor lost coins. How many times did he get the weather forecast right in those 5 days?
<image1>",كم مرة تنبأ تيليم بالطقس بشكل صحيح خلال تلك الأيام الخمسة؟,3.37
102,"A magician takes animals out of his hat always in the same order, as shown below.
<image1>
The pattern of the figure is repeated every five animals. What will be the fourteenth animal he will pull out of his hat?
<image2>",ما الحيوان الرابع عشر الذي سيخرجه الساحر من قبعتة؟,3.02
103,"Ana has the cards shown on the left. She chooses several of them to assemble the tower shown on the right. Which cards did she not use?
<image1>
<image2>
<image3>","لقد اختارت آنا البطاقات الموجودة على اليسار، ولكن لم تستخدم البطاقات التي تظهر في الصور التالية:

<image1>
<image2>
<image3>",4.06
104,"Maria made a block using white cubes and colored cubes in equal amounts. How many of the white cubes cannot be seen in the picture?
<image1>",لا يمكن تحديد عدد المكعبات البيضاء غير المرئية في الصورة بناءً على المعلومات المقدمة.,3.15
105,"Ana draws some shapes on a sheet. Her drawing has fewer squares than triangles. What could be her drawing?
<image1>",قد تكون رسومة أنا عبارة عن أشكال دائرية ومثلثات، مع عدد أقل من المربعات.,3.4
106,"Which of the tiles below is NOT part of the wall next door?
<image1>
<image2>",البلاط الذي ليس جزءًا من الجدار المجاور هو: <image2>.,3.08
107,"A village of 12 houses has four straight streets and four circular streets. The map shows 11 houses. In each straight street there are three houses and in each circular street there are also three houses. Where should the 12th house be placed on this map?
<image1>",يجب وضع المنزل الثاني عشر في أحد الشوارع الدائرية، حيث أن كل شارع دائري يحتوي على ثلاث منازل.,3.56
108,"Five blocks are built with equal cubes glued face to face. In which of them was the smallest number of cubes used?
<image1>",في أي من الكتل الخمس تشكلت باستخدام أصغر عدد من المكعبات؟,3.07
109,"Numbers were written on the petals of two flowers, with a number on each petal. One of the petals is hidden. The sum of the numbers written on the back flower is twice the sum of the numbers written on the front flower. What is the number written on the hidden petal?
<image1>",ما هو الرقم المكتوب على البتلة المخفية؟,2.94
110,"Six figures were drawn, one on each side of a cube, as shown beside, in different positions. On the side that does not appear beside is this drawing:
<image1>
What is the figure on the face opposite to it?
<image2>
<image3>",ما هي الشكل الموجود على الوجه المقابل للرسم الموضح أعلاه؟,3.27
111,"Maria wants to write whole numbers in the squares of the figure, so that the sum of the numbers in three consecutive squares is always 10. She has already written a number. What number should she write on the gray square?
<image1>","تريد ماري كتابة أرقام صحيحة في مربعات الشكل، بحيث يكون مجموع الأرقام في ثلاثة مربعات متتالية يساوي دائماً 10. لقد كتبت رقماً بالفعل. ما الرقم الذي يجب أن تكتبه في المربع الرمادي؟
<image1>",4.97
112,"Turning a card around on the top side, we see the photo of the kangaroo. Instead, if we turn the card around on the right side, what will appear?
<image1>
<image2>",عند قلب البطاقة على الجانب الأيمن، سنرى صورة الكنغر.,3.17
113,"Tom has these nine cards:
<image1>
He places these cards on the board next to each other so that each horizontal line and each vertical line has three cards with the three different shapes and the three different amounts of drawings. He has already placed three cards, as shown in the picture. Which card should he place in the colored box?
<image2>
<image3>",يجب على توم وضع البطاقة التي تظهر في الصورة الثالثة (Image3) في المربع الملون.,3.46
114,"Two equal trains, each with 31 numbered wagons, travel in opposite directions. When the wagon number 7 of a train is side by side with the wagon number 12 of the other train, which wagon is side by side with the wagon number 11 ?
<image1>",عندما يكون رقم العربة 7 في أحد القطارات جنبًا إلى جنب مع رقم العربة 12 في القطار الآخر، فإن العربة رقم 11 تكون جنبًا إلى جنب مع العربة رقم 6.,4.33
115,"Six different numbers, chosen from integers 1 to 9 , are written on the faces of a cube, one number per face. The sum of the numbers on each pair of opposite faces is always the same. Which of the following numbers could have been written on the opposite side with the number 8 ?
<image1>",ما من بين الخيارات التالية يمكن أن يكون مكتوبًا على الجانب المقابل للرقم 8؟,3.41
116,"Rita numbered the circles of the figure from 1 to 8 , so that the sum of the three numbers on each of the four sides of the square equals 13 . What is the sum of the four numbers written on the colored circles?
<image1>",ما هو مجموع الأرقام الأربعة المكتوبة على الدوائر الملونة؟,3.16
117,"In the figure, an arrow pointing from one person to another means that the first person is shorter than the second. For example, person $B$ is shorter than person $A$. Which person is the tallest?
<image1>",من هو الشخص الأطول؟ (شخص أ),2.78
118,"Maia the bee can only walk on colorful houses. How many ways can you color exactly three white houses with the same color so that Maia can walk from $A$ to $B$ ?
<image1>",عدد الطرق لتلوين ثلاثة منازل بيضاء بنفس اللون، بحيث يمكن لمايا السير من $A$ إلى $B$، هو 2.,3.88
119,"A kangaroo laid out 3 sticks like this to make a shape. It is not allowed to break or to bend the sticks. Which shape could the kangaroo make?
<image1>","يمكن للكنجارو أن يُشكل الخط الذي يشبه حرف ""Z"" أو ""S"" دون كسر أو ثني العصي.",3.75
120,"The picture shows 2 mushrooms. What is the difference between their heights?
<image1>","يُظهر الصورة فطرتان، ما هو الفرق في طولهما؟

<image1>",3.38
121,"Which of the paths shown in the pictures is the longest?
<image1>",أي من المسارات المُظهَرة في الصورة هي الأطول؟,3.18
