id,level,subject,image,question,ground_truth,model_answer,evaluation_passed,run_time,ComplexEval
23,1,combinatorial geometry,images/23.jpg,"اشترى توم قلب شوكولاتة (انظر الصورة) لماري في عيد ميلادها.
كم يزن الشوكولاتة بالجرام، إذا كان وزن كل مربع 10 جرامات؟",140,70 جراماً,False,0.9,False
24,2,arithmetic,images/24.jpg,"استغرقت رحلة التلاميذ إلى حديقة الحيوان 135 دقيقة.
<image1>
كم ساعة ودقيقة يمثل ذلك؟",B,2 ساعة و15 دقيقة.,False,1.19,False
25,1,solid geometry,images/25.jpg,تحتوي كتلة خشبية على 8 رؤوس. قُطعت الآن رأس واحد (انظر الصورة). كم عدد الرؤوس التي تحتويها الكتلة الآن؟,10,7,False,1.138,False
26,1,counting,images/26.jpg,تود الدعسوقة أن تجلس على زهرتها. الزهرة بها خمس بتلات والساق بها ثلاث أوراق. على أي زهرة يجب أن تجلس الدعسوقة؟,B,C,False,1.054,False
27,5,topology,images/27.jpg,تحرك ثيريزا قلم رصاص على طول الخط. تبدأ من السهم الموضح. بأي ترتيب ستمر بالأشكال؟,A,الدائرة، المربع، مثلث.,False,1.83,False
28,1,counting,images/28.jpg,يوجد مربعات رمادية أكثر من البيضاء. فبكم؟,9,3,False,0.639,False
29,1,counting,images/29.jpg,تكوّن مربع كبير من 25 مربعًا صغيرًا مُتراصّة. فُقد عدد قليل من المربعات الصغيرة. فكم عدد المربعات المفقودة؟,10,5,False,0.997,False
30,1,metric geometry - area,images/30.jpg,رتب الحيوانات حسب الحجم. ابدأ بالأصغر. أي حيوان سيكون في المنتصف؟,2,"1, 5, 2, 4, 3

الحيوان في المنتصف هو: 2",True,2.882,False
31,2,arithmetic,images/31.jpg,كم عدد البط الذي يزن مثل التمساح؟,B,C,False,1.407,False
32,1,counting,images/32.jpg,في كم دائرة الكنغر؟,3,3,True,1.294,True
33,2,analytic geometry,images/33.jpg,"عندما يسير النمل <image1> من المنزل <image2> على طول الأسهم $\rightarrow 3, \uparrow 3, \rightarrow 3, \uparrow 1$، يصل إلى الدعسوقة <image3>.
أي حيوان يصل إليه النمل <image1> عندما يسير من المنزل <image2> على طول الأسهم التالية: $\rightarrow 2, \downarrow 2, \rightarrow 3, \uparrow 3, \rightarrow 2, \uparrow 2$؟
<image6>
<image7>",A,A,True,1.369,True
34,1,combinatorial geometry,images/34.jpg,قسّم ماكس مستطيلاً إلى قطعتين. تبدو إحدى القطع كالتالي: <image1>. كيف تبدو القطعة الأخرى؟ <image2>.,E,C,False,1.265,False
35,2,descriptive geometry,images/35.jpg,تستلقي سبع عصي فوق بعضها. العصا رقم 2 تقع في الأسفل تماماً. والعصا رقم 6 تقع في الأعلى تماماً. أي عصا تقع بالضبط في المنتصف؟,3,4,False,1.59,False
36,2,arithmetic,images/36.jpg,تأكل عائلة الأرانب هوبل الكرنب والجزر. كل يوم يأكلون إما 10 جزر أو 2 كرنب. في الأسبوع الماضي بأكمله، أكلوا 6 كرنب. كم عدد الجزر الذي أكلته عائلة الأرانب الأسبوع الماضي؟,40,60,False,1.448,False
37,1,combinatorial geometry,images/37.jpg,يتم قص مربع إلى أربع قطع. أي شكل لا يمكنك صنعه بهذه القطع الأربع؟,D,A,False,1.162,False
38,2,arithmetic,images/38.jpg,سيتم وضع كل من الأرقام 2 و 3 و 4 و 5 في مربع. بعد ذلك، سيتم جمع عددين. ما هو أكبر عدد يمكن أن يشكلوه؟,95,9,False,1.062,False
39,3,logic,images/39.jpg,لدى إنغريد 4 مكعبات حمراء، و 3 زرقاء، و 2 خضراء، و 1 صفراء. تستخدمها لبناء الشكل التالي: <image1>. لا تلامس المكعبات ذات اللون نفسه بعضها البعض. ما هو لون المكعب الذي يحمل علامة الاستفهام؟,A,الأخضر,False,1.625,False
40,1,combinatorial geometry,images/40.jpg,أي شكل لا يمكن رؤيته في كل صورة؟,D,D,True,1.865,True
41,1,counting,images/41.jpg,كم عدد المثلثات التي يمكنك العثور عليها في الصورة؟,5,6,False,0.97,False
42,1,combinatorial geometry,images/42.jpg,أي جزء من المنزل مفقود؟,E,C,False,1.906,False
43,1,counting,images/43.jpg,كم عدد النقاط التي يمتلكها جميع الدعسوقات معًا؟,19,20,False,0.875,False
44,1,counting,images/44.jpg,يمتلك فلوريان 10 شرائط معدنية متساوية الطول وبها عدد متساوٍ من الثقوب. يربط الشرائط المعدنية معًا في أزواج. الآن لديه خمسة شرائط طويلة (انظر الرسم التخطيطي). أي من الشرائط الطويلة هو الأقصر؟,B,C,False,1.965,False
45,2,transformation geometry,images/45.jpg,أي من بطاقات الكنغر المعروضة أدناه يمكن قلبها بحيث تبدو مطابقة للبطاقة المعروضة على اليمين؟,E,C,False,1.83,False
46,2,descriptive geometry,images/46.jpg,ماذا ترى إذا نظرت إلى البرج، المكون من كتلتين بنائيتين، من الأعلى تمامًا؟,A,A,True,1.481,True
47,1,counting,images/47.jpg,كم عدد الأرقام خارج المربع؟,2,3,False,1.372,False
48,1,combinatorial geometry,images/48.jpg,يمتلك مايكل قطعتي بناء. تتكون كل قطعة بناء من مكعبين ملتصقين ببعضهما. أي شكل لا يمكنه تشكيله باستخدام هذه القطع؟,B,C,False,1.437,False
49,1,solid geometry,images/49.jpg,يتكون كل من كتل البناء الست هذه من 5 مكعبات صغيرة. إما أن تكون المكعبات الصغيرة بيضاء أو رمادية. لا تلامس المكعبات ذات اللون المتساوي بعضها البعض. ما هو العدد الإجمالي للمكعبات البيضاء الصغيرة؟,12,15,False,1.367,False
50,2,transformation geometry,images/50.jpg,أي قطعة مفقودة؟,A,C,False,1.79,False
51,5,topology,images/51.jpg,كم عدد الحبال التي يمكنك رؤيتها في هذه الصورة؟,3,5,False,1.129,False
52,1,graph theory,images/52.jpg,ما هي النقطة في المتاهة التي يمكننا الوصول إليها، بدءاً من النقطة $O$؟,C,C,True,1.305,True
53,1,combinatorial geometry,images/53.jpg,لدى ماكس 10 نرد. أي من المجسمات التالية يمكنه بناؤه بها؟,A,B,False,1.594,False
54,1,combinatorics,images/54.jpg,تضع الدجاجة بيضاً أبيض وبني. أخذت ليزا ستة منها ووضعتها في صندوق كما هو موضح. لا يُسمح للبيض البني بأن يلامس بعضه البعض. ما هو الحد الأقصى لعدد البيض البني الذي يمكن لليزا وضعه في الصندوق؟,3,3,True,1.052,True
55,1,combinatorics,images/55.jpg,تسير جيردا على طول الطريق وتكتب الحروف التي تراها على يمينها. ما الكلمة التي تتكون بينما تسير جيردا من النقطة 1 إلى النقطة 2؟,A,N O R A G,True,1.082,True
56,1,combinatorial geometry,images/56.jpg,"لدى كونراد بعض قطع الكرتون التي تبدو جميعها هكذا:
<image1>
أي من الأشكال أدناه لا يمكنه صنعها من هذه القطع؟
<image2>",D,C,False,1.224,False
57,2,arithmetic,images/57.jpg,تجلس خمسة عصافير على حبل (انظر الصورة). بعضها ينظر إلى اليسار، وبعضها ينظر إلى اليمين. يصفر كل عصفور عدد المرات التي يساوي عدد العصافير التي يستطيع رؤيتها جالسة أمامه. على سبيل المثال، يصفر العصفور الثالث مرتين بالضبط. فكم مرة تصفر جميع العصافير معًا؟,10,10,True,0.852,True
58,3,logic,images/58.jpg,"في الصورة أعلاه، يمكن رؤية خمس خنافس. تجلس كل خنفساء على زهرة معينة. لا يُسمح لخنفساء بالجلوس على زهرة إلا إذا تحققت الشروط التالية:
1) الفرق بين عدد النقاط على كل جناح يساوي عدد الأوراق على الساق.
2) عدد النقاط على أجنحة الخنفساء يساوي عدد البتلات على الزهرة. أي من الزهور التالية لا يوجد عليه خنفساء؟",E,C,False,2.226,False
59,1,solid geometry,images/59.jpg,"في الصورة أعلاه، نرى مكعبًا في موقعين مختلفين.
تبدو أوجه المكعب الستة كالتالي:
أي وجه مقابل لـ [الصورة 3]؟
[الصورة 4]",C,C,True,1.156,True
60,1,combinatorial geometry,images/60.jpg,"تريد إيلين تزيين الفراشة، أي فراشة يمكنها صنعها؟
<image1>
باستخدام هذه الملصقات الـ 6
<image2>
<image3>",A,C,False,2.271,False
61,1,counting,images/61.jpg,إلى كم قطعة سيتم تقطيع الخيط؟,9,قطعتان.,False,1.4,False
62,1,counting,images/62.jpg,كم عدد الكتل المفقودة في هذا الكوخ الثلجي؟,10,4,False,1.178,False
63,5,topology,images/63.jpg,"تُظهر هذه الصورة سوارًا باللؤلؤ.
<image1>
أي من الأساور أدناه يُظهر نفس السوار الموجود أعلاه؟
<image2>",E,C,False,1.35,False
64,2,arithmetic,images/64.jpg,كُتب أربعة من الأرقام 1، 3، 4، 5، و 7 في المربعات بحيث تكون العملية الحسابية صحيحة. أي رقم لم يُستخدم؟,4,2,False,0.947,False
65,2,transformation geometry,images/65.jpg,يجلس جيم وبن في عجلة فيريس (انظر الصورة على اليمين). عجلة فيريس تدور. الآن بن في الموضع الذي كان فيه جيم سابقاً. أين جيم الآن؟,C,C,True,2.02,True
66,2,transformation geometry,images/66.jpg,يدير ألفريد مكعب البناء الخاص به 10 مرات. يمكن رؤية المرات الثلاث الأولى في الصورة. ما هو الموقع النهائي لمكعب البناء؟,D,C,False,2.026,False
67,1,counting,images/67.jpg,في أي صورة عدد الدوائر نصف عدد المثلثات وعدد المربعات ضعف عدد المثلثات؟,E,C,False,1.349,False
68,2,arithmetic,images/68.jpg,"يمتلك ""أولد ماكدونالد"" حصاناً وبقرتين وثلاثة خنازير. كم بقرة يحتاج ليصبح نصف جميع حيواناته بقرات بالضبط؟",2,1,False,1.339,False
69,2,arithmetic,images/69.jpg,لدى ليزا عدة أوراق من ورق الكرتون كهذه <image1> و <image2>. وترغب في صنع 7 تيجان متطابقة: <image3>. ولهذا الغرض، تقص الأجزاء اللازمة. ما هو الحد الأدنى لعدد أوراق الكرتون التي يجب أن تقصها؟,9,3,False,1.169,False
70,2,descriptive geometry,images/70.jpg,يمتلك سيمون بلاطتين متطابقتين، يظهر وجههما بهذا الشكل: أما الخلف فهو أبيض. <image1> ما النمط الذي يمكنه تكوينه باستخدام هاتين البلاطتين؟ <image2>,A,C,False,2.674,False
71,3,logic,images/71.jpg,يُغلق كل مفتاح من المفاتيح الأربعة قفلاً واحداً بالضبط. يمثل كل حرف على القفل رقماً واحداً بالضبط. الحروف المتشابهة تعني الأرقام المتشابهة. ما هي الحروف التي يجب كتابتها على القفل الرابع؟,D,DGA,True,1.026,False
72,1,counting,images/72.jpg,ترسم أليس خطوطًا بين الخنافس. تبدأ بالخنفساء الأقل عددًا من النقاط. ثم تواصل الرسم حتى تصل إلى الخنفساء التي يزيد عدد نقاطها بواحد. ما الشكل الذي يتكون؟,D,A,False,2.257,False
73,2,arithmetic,images/73.jpg,يجب أن يكون عدد الكنغر في كلا المنتزهين متساويًا. كم عدد الكنغر الذي يجب نقله من المنتزه الأيسر إلى المنتزه الأيمن لحدوث ذلك؟,5,6,False,0.998,False
74,2,arithmetic,images/74.jpg,أي خنفساء يجب أن تطير بعيدًا لكي يتبقى للخنفساء المتبقية 20 نقطة إجمالاً؟,B,C,False,0.844,False
75,1,combinatorial geometry,images/75.jpg,"رسم بيتر هذا النمط:
<image1>
يرسم نفس النمط تمامًا مرة أخرى.
أي نقطة تقع على رسمه؟",D,C,False,2.456,False
76,2,descriptive geometry,images/76.jpg,بنى ثيودور هذا البرج المكون من أقراص. ينظر إلى البرج من الأعلى. كم قرصًا يرى؟,3,4,False,0.926,False
77,1,combinatorial geometry,images/77.jpg,يُظهر هذا الرسم التخطيطي ورقتين شفافة. تضع الورقتين فوق بعضهما البعض. ما النمط الذي ستحصل عليه؟,D,C,False,2.284,False
78,1,counting,images/78.jpg,للوصول إلى عظمه، يجب على الكلب أن يتبع الخط الأسود. في المجموع، يلتف 3 مرات إلى اليمين و 2 مرات إلى اليسار. أي مسار يسلك؟,E,C,False,1.56,False
79,1,combinatorial geometry,images/79.jpg,"تحتاج ليزا إلى 3 قطع بالضبط لإكمال أحجية الصور المقطوعة الخاصة بها.
أي من القطع الأربع متبقية؟
<image1>
<image2>",A,C,False,1.15,False
80,1,metric geometry - length,images/80.jpg,يقطع تشارل حبلًا إلى 3 قطع متساوية الطول. ثم يضع عقدة واحدة في إحدى القطع، و 2 عقدة في القطعة التالية، و 3 عقد في القطعة الثالثة. بعد ذلك، يضع القطع الثلاثة بترتيب عشوائي. أي صورة يرى؟,B,C,False,1.315,False
81,1,counting,images/81.jpg,كم عدد الأيدي المصورة التي تظهر يدًا يمنى؟,5,5,True,1.267,True
82,2,arithmetic,images/82.jpg,يوضح عدد البقع على فطر الأمانيتا (فطر الضفادع) عدد الأقزام الذين يمكن أن يتسع لهم تحته. يمكننا رؤية جانب واحد من الفطريات، والجانب الآخر يحتوي على نفس عدد البقع. عندما تمطر، يحاول 36 قزماً الاختباء تحت الفطريات. فكم عدد الأقزام الذين يبتلون؟,6,24,False,0.671,False
83,1,combinatorial geometry,images/83.jpg,تصنع سوسي هذا النمط باستخدام أعواد المصاصات. يبلغ طول كل عود 5 سم وعرضه 1 سم. ما هو طول نمط سوسي؟,B,20 cm,False,1.351,False
84,2,arithmetic,images/84.jpg,يبلغ طول الطريق من منزل آنا إلى منزل ماري 16 كم. ويبلغ طول الطريق من منزل ماري إلى منزل جون 20 كم. ويبلغ طول الطريق من المعبر إلى منزل ماري 9 كم. ما طول الطريق من منزل آنا إلى منزل جون؟,E,36 كم,False,1.834,False
85,2,arithmetic,images/85.jpg,أي من هذه السحب تحتوي على أرقام أصغر من 7 فقط؟,D,D,True,1.312,True
86,1,combinatorial geometry,images/86.jpg,أي من الصور الخمس تظهر جزءًا من هذه السلسلة؟,C,C,True,1.876,True
87,2,arithmetic,images/87.jpg,يزن الكنغر الأم وابنها ماكس معًا 60 كجم. تزن الأم وحدها 52 كجم. فكم يزن ماكس؟,B,ماكس يزن 8 كجم.,False,1.369,False
88,2,arithmetic,images/88.jpg,يوجد 12 طفلاً أمام حديقة الحيوان. سوسي هي السابعة من الأمام، وكيم هي الثانية من الخلف. كم عدد الأطفال الذين يفصلون بين سوسي وكيم؟,3,4,False,0.961,False
89,1,counting,images/89.jpg,"يورغ يرتب جواربه. جواران لهما نفس الرقم يمثلان زوجًا واحدًا.
<image1>
كم عدد الأزواج التي يمكنه العثور عليها؟",5,3,False,1.441,False
90,2,descriptive geometry,images/90.jpg,وُضعت خمس قطع مربعة متساوية الحجم من الكرتون على طاولة فوق بعضها البعض. تُصنع الصورة الموجودة على الجانب بهذه الطريقة. تُجمع البطاقات من الأعلى إلى الأسفل. بأي ترتيب يتم جمعها؟,E,"2, 5, 1, 3, 4",False,0.752,False
91,1,combinatorial geometry,images/91.jpg,أرضية غرفة مكسوة ببلاطات مستطيلة متساوية الحجم (انظر الصورة). ما طول الغرفة؟,E,3 m,False,1.11,False
92,1,combinatorics,images/92.jpg,تُظهر الصورة فأرًا وقطعة جبن. يُسمح للفأر بالتحرك إلى الحقول المجاورة فقط في اتجاه الأسهم. كم عدد المسارات من الفأر إلى الجبن؟,6,2,False,1.034,False
93,1,combinatorial geometry,images/93.jpg,أي من الأشكال يمكن قصه إلى هذه القطع الثلاث؟,C,C,True,1.346,True
94,1,metric geometry - length,images/94.jpg,بنى العملاقان تيم وتوم قلعة رملية وزينوها بعلم. وقد غرسا نصف سارية العلم في أعلى نقطة من القلعة الرملية. أعلى نقطة في سارية العلم الآن تبعد 16 م عن الأرضية، وأدناها 6 م (انظر الشكل). ما هو ارتفاع القلعة الرملية؟,A,ارتفاع القلعة الرملية هو 10 م.,False,1.517,False
95,1,combinatorial geometry,images/95.jpg,"يوجد مربعات بيضاء ورمادية وسوداء. يستخدم ثلاثة أطفال هذه المربعات لتكوين هذا النمط.
<image1>
أولاً، تستبدل آني جميع المربعات السوداء بمربعات بيضاء.
ثم يستبدل بوب جميع المربعات الرمادية بمربعات سوداء.
أخيراً، يستبدل كريس جميع المربعات البيضاء بمربعات رمادية.
أي صورة أنشأ الأطفال الثلاثة الآن؟
<image2>",A,(C),False,1.424,False
96,1,solid geometry,images/96.jpg,يتكون كل شكل من 4 مكعبات متساوية الحجم ومُلوَّنة. أي شكل يحتاج إلى أقل كمية من اللون؟,B,B,True,2.31,True
97,2,descriptive geometry,images/97.jpg,"تُستخدم أربع شرائط من الورق لعمل نمط (انظر الصورة).
<image1>
ماذا ترى عندما تنظر إليه من الخلف؟
<image2>",D,C,False,1.461,False
98,2,arithmetic,images/98.jpg,يصعد الكنغر ثلاث درجات في كل مرة ينزل فيها الأرنب درجتين. عندما يكون الكنغر في الدرجة 9، ففي أي درجة سيكون الأرنب؟,4,الدرجة 6.,False,1.342,False
99,2,descriptive geometry,images/99.jpg,لدى جوليا 5 قطع بلاستيكية وقد وضعت هذه القطع مكدسة على طاولة، كما هو موضح بجانبها. ما هي القطعة الثانية التي وضعتها على الطاولة؟,C,E,False,1.286,False
100,2,descriptive geometry,images/100.jpg,التقط والد ماركو صورة لابنه أمام السيارة الموضحة بجانبه. أي من الرسومات التالية يمكن أن يمثل هذه الصورة؟,E,B,False,1.442,False
101,3,logic,images/101.jpg,كل ليلة، يتنبأ الساحر تيليم بالطقس للملك. عندما ينجح تيليم، يحصل على 3 قطع ذهبية، ولكن عندما يخطئ، يدفع غرامة قدرها قطعتان ذهبيتان. بعد تقديم التنبؤ لمدة 5 أيام، قام تيليم بالحسابات واكتشف أنه لم يربح ولا يخسر أي عملات. كم مرة أصاب تيليم التنبؤ بالطقس في تلك الأيام الخمسة؟,2,تيليم أصاب 2 مرة.,True,1.893,False
102,1,combinatorics,images/102.jpg,يُخرج ساحر الحيوانات من قبعته دائمًا بنفس الترتيب، كما هو موضح أدناه. يتكرر نمط الشكل كل خمسة حيوانات. فما هو الحيوان الرابع عشر الذي سيخرجه من قبعته؟,A,C,False,1.191,False
103,1,combinatorial geometry,images/103.jpg,لدى آنا البطاقات الموضحة على اليسار. تختار عدة منها لتجميع البرج الموضح على اليمين. ما هي البطاقات التي لم تستخدمها؟,C,C,True,1.443,True
104,1,solid geometry,images/104.jpg,صنعت ماريا كتلة باستخدام مكعبات بيضاء ومكعبات ملونة بكميات متساوية. كم عدد المكعبات البيضاء التي لا يمكن رؤيتها في الصورة؟,2,4,False,0.669,False
105,1,counting,images/105.jpg,رسمت أنا بعض الأشكال على ورقة. ويحتوي رسمها على عدد من المربعات أقل من عدد المثلثات. ما الذي يمكن أن يكون رسمها؟,D,C,False,1.5,False
106,1,combinatorial geometry,images/106.jpg,أي من البلاطات أدناه ليست جزءًا من الجدار المجاور؟,E,C,False,1.471,False
107,3,logic,images/107.jpg,قرية بها 12 منزلًا، وتحتوي على أربعة شوارع مستقيمة وأربعة شوارع دائرية. تُظهر الخريطة 11 منزلًا. في كل شارع مستقيم يوجد ثلاثة منازل، وفي كل شارع دائري يوجد أيضًا ثلاثة منازل. أين يجب وضع المنزل الثاني عشر على هذه الخريطة؟,D,E,False,1.13,False
108,1,solid geometry,images/108.jpg,تُبنى خمس كتل بمكعبات متساوية ملصقة وجهًا لوجه. في أي منها استُخدم أقل عدد من المكعبات؟,A,C,False,1.962,False
109,2,arithmetic,images/109.jpg,كُتبت أرقام على بتلات زهرتين، ورقم على كل بتلة. إحدى البتلات مخفية. مجموع الأرقام المكتوبة على الزهرة الخلفية هو ضعف مجموع الأرقام المكتوبة على الزهرة الأمامية. ما هو الرقم المكتوب على البتلة المخفية؟,30,4,False,1.27,False
110,2,descriptive geometry,images/110.jpg,"رُسِمَت ستة أشكال، شكل واحد على كل وجه من أوجه المكعب، كما هو موضح بجانبه، وفي مواضع مختلفة. على الوجه الذي لا يظهر بجانبه هذا الرسم:
<image1>
ما هو الشكل الموجود على الوجه المقابل له؟
<image2>
<image3>",B,C,False,1.532,False
111,3,logic,images/111.jpg,تريد ماريا كتابة أعداد صحيحة في مربعات الشكل، بحيث يكون مجموع الأرقام في ثلاث مربعات متتالية دائمًا 10. لقد كتبت رقمًا بالفعل. ما هو الرقم الذي يجب أن تكتبه في المربع الرمادي؟,2,8,False,0.731,False
112,2,transformation geometry,images/112.jpg,عند قلب البطاقة من الجانب العلوي، نرى صورة الكنغر. ولكن، إذا قلبنا البطاقة من الجانب الأيمن، فماذا سيظهر؟,D,D,True,2.193,True
113,3,logic,images/113.jpg,"يمتلك توم هذه البطاقات التسع:
<image1>
يضع هذه البطاقات على اللوحة بجانب بعضها البعض بحيث يحتوي كل صف أفقي وكل عمود رأسي على ثلاث بطاقات بأشكال مختلفة وثلاث كميات مختلفة من الرسومات. لقد وضع بالفعل ثلاث بطاقات، كما هو موضح في الصورة. أي بطاقة يجب أن يضعها في المربع الملون؟
<image2>
<image3>",E,C,False,1.423,False
114,1,algebra,images/114.jpg,قطاران متساويان، يحتوي كل منهما على 31 عربة مرقمة، يسيران في اتجاهين متعاكسين. عندما تكون العربة رقم 7 من قطار بجوار العربة رقم 12 من القطار الآخر، فما هي العربة التي تكون بجوار العربة رقم 11؟,8,العربة رقم 6.,False,1.471,False
115,3,logic,images/115.jpg,تُكتب ستة أرقام مختلفة، مختارة من الأعداد الصحيحة من 1 إلى 9، على أوجه مكعب، رقم واحد لكل وجه. ومجموع الأرقام على كل زوج من الأوجه المتقابلة يكون دائمًا متساويًا. أي من الأرقام التالية يمكن أن يكون مكتوبًا على الوجه المقابل للرقم 8؟,3,6,False,0.724,False
116,2,arithmetic,images/116.jpg,قامت ريتا بترقيم دوائر الشكل من 1 إلى 8، بحيث يكون مجموع الأرقام الثلاثة على كل جانب من جوانب المربع الأربعة مساوياً لـ 13. فما هو مجموع الأرقام الأربعة المكتوبة على الدوائر الملونة؟,16,22,False,1.039,False
117,3,logic,images/117.jpg,في الشكل، يعني السهم الذي يشير من شخص إلى شخص آخر أن الشخص الأول أقصر من الشخص الثاني. على سبيل المثال، الشخص B أقصر من الشخص A. أي شخص هو الأطول؟,C,F,False,1.19,False
118,1,combinatorics,images/118.jpg,النحلة مايا لا تستطيع المشي إلا على المنازل الملونة. فكم عدد الطرق التي يمكن بها تلوين ثلاث منازل بيضاء بنفس اللون بحيث تستطيع مايا المشي من A إلى B؟,16,3,False,0.891,False
119,1,combinatorial geometry,images/119.jpg,وضع كانجارو 3 عصي بهذا الشكل لتكوين شكل. لا يُسمح بكسر أو ثني العصي. ما هو الشكل الذي يمكن للكوجار أن يصنعه؟,E,C,False,1.228,False
120,2,arithmetic,images/120.jpg,تُظهر الصورة فطرين. ما الفرق بين ارتفاعيهما؟,5,الفرق بين ارتفاعيهما هو 6.,False,1.295,False
121,1,counting,images/121.jpg,أي المسارات الموضحة في الصور هو الأطول؟,A,C,False,1.116,False
122,2,descriptive geometry,images/122.jpg,تُوضع أربع قطع متطابقة من الورق كما هو موضح. يريد مايكل عمل ثقب يمر عبر القطع الأربع كلها. عند أي نقطة يجب على مايكل عمل الثقب؟,D,B,False,1.24,False
123,2,descriptive geometry,images/123.jpg,"تضع قميصًا بأكمام قصيرة وتقف أمام مرآة. أي من هذه الصور تراه في المرآة؟
<image1>
<image2>",A,B,False,1.634,False
124,1,counting,images/124.jpg,يقف هؤلاء الأطفال في صف. بعضهم يواجهون الأمام وبعضهم يواجهون الخلف. كم طفلاً يمسك بيد طفل آخر بيده اليمنى؟,6,3,False,1.164,False
125,2,arithmetic,images/125.jpg,في كوكبة الكنغر، جميع النجوم لها عدد أكبر من 3 ومجموعها 20. فما هي كوكبة الكنغر؟,B,C,False,1.445,False
126,5,topology,images/126.jpg,قصَّ إدموند شريطًا كما هو موضح في الصورة. كم قطعة من الشريط انتهى بها؟,12,قطعتان.,False,1.114,False
127,1,metric geometry - length,images/127.jpg,تمشي قطة روز على طول الجدار. تبدأ من النقطة B وتتبع اتجاه الأسهم الموضحة في الصورة. تمشي القطة مسافة إجمالية قدرها 20 متراً. أين تنتهي؟,D,D,True,0.792,True
