id,level,subject,image,question,ground_truth,model_answer,run_time
131,3,logic,images/131.jpg,تُظهر الصورة منازل خمسة أصدقاء ومدرستهم. المدرسة هي أكبر مبنى في الصورة. للذهاب إلى المدرسة، تمر دوريس وعلي بمنزل ليو. تمر إيفا بمنزل شول. أي منزل هو منزل إيفا؟,B,C,1.214
132,1,combinatorial geometry,images/132.jpg,بنت مارا المربع باستخدام 4 من الأشكال الخمسة التالية. ما هو الشكل الذي لم يُستخدم؟,D,"The shape that was not used is **(C)**.

**Explanation:****
1. **Image1** shows a grid with stars, diamonds, circles, and arrows. The pattern repeats with a consistent spacing and orientation.
2. **Image2** contains a grid with stars, circles, and arrows, but one cell is empty (marked with a dot).
3. Comparing both images, **(C)** is the shape that does not appear in **Image2**, unlike the other shapes present in both images.

**Answer:** C",2.281
133,1,algebra,images/133.jpg,في كل مرة يكون لدى الساحرة 3 تفاحات، تحولها إلى موزة واحدة. وفي كل مرة يكون لديها 3 موزات، تحولها إلى تفاحة واحدة. بماذا ستنتهي إذا بدأت بـ 4 تفاحات و 5 موزات؟,A,"**الإجابة: D**

**التفسير:**
نبدأ بـ4 تفاحات و5 موزات. يمكن تحويل 3 تفاحات إلى 3 موزات، مما يترك 1 تفاحة. يمكن تحويل 3 موزات إلى 1 تفاحة، مما يترك 2 موزات. يمكن تحويل 2 موزات إلى 1 تفاحة، مما يترك 1 موزة. بالتالي، ستنتهي العملية بـ1 تفاحة و3 موزات.

**الرسم البياني:**
```
[تفاحة] → [موزة] → [تفاحة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [موزة] → [وزة] → [موزة] → [وزة] → [ووزة] → [وزة] → [وزة] → [وزة] → [وزة] → [وزة] → [وزة] → [وزة] → [ووزة] → [وزة → [وزة] →موزة] → [وزة] → [وزة] → [وزة] → [وزة] → [وزة] → [وزة] → [وزة] → [وزة] → [وزة] → وز [وزة] → [وزة] → [وزة] → [وز وزز] [وز] وزوز] وز وز وز وز ووزة] → ووزة] ووزة] ووزة] ووزة] ووزة وووزة ووزة ووز ووز ووز وووزة ووووووزة ووو وووووزة وووووزة وووة وموزة وموزة وموزة وموزة ووزة ووزة ووزة ووزوزة ووزة ووزة ووزة ووزة ووزة والمن.
******
**
**الموزة**
**الموزة**
**الموزة والموزة والموزة والموزة وزة وزالموزة والموزة والموزة والموزة والموزة والموزالموزة والموزة والموزة والموزوزوالموزالموالموزالموزالموالموزالوالموالوالوالموزالموزوزالموزة والمن****
**المن**المن**الموزة والم**الموزة والم**الم**
الم**الم**الم**
المزالم**الم**الم**الم**الم**الم**الم**الم**الو**",74.559
134,2,transformation geometry,images/134.jpg,تُظهر الصورة المجاورة ترسين، كل منهما بسن أسود. أين ستكون الأسنان السوداء بعد أن يكمل الترس الصغير دورة كاملة؟,C,A,2.019
135,1,counting,images/135.jpg,خبز كل مشارك في مسابقة الطبخ صينية كعك واحدة مثل تلك الموضحة بجانبه. ما هو أصغر عدد من صواني الكعك اللازمة لإعداد الطبق التالي؟,3,D,1.36
136,3,logic,images/136.jpg,لدى ستان خمس ألعاب: كرة، ومجموعة مكعبات، ولعبة، وأحجية، وسيارة. يضع كل لعبة على رف مختلف من خزانة الكتب. الكرة أعلى من المكعبات وأدنى من السيارة. اللعبة موضوعة مباشرة فوق الكرة. على أي رف لا يمكن وضع الأحجية؟,3,A,1.055
137,1,counting,images/137.jpg,في أي صندوق يوجد أكبر عدد من المثلثات؟,B,A,1.163
138,1,algebra,images/138.jpg,يكلف ساندويتش وعصير واحد معًا 12 يورو. ويكلف ساندويتش وعصيران معًا 14 يورو. فكم يكلف العصير الواحد من اليورو؟,2,A,1.006
139,1,combinatorial geometry,images/139.jpg,"تقوم آنا بقص صورة فطر إلى نصفين.
<image1>
ثم ترتب القطعتين معًا لتشكيل صورة جديدة. كيف يمكن أن تبدو هذه الصورة الجديدة؟
<image2>",E,A,1.354
140,3,logic,images/140.jpg,"في المربعات الأربعة في صف، يجب أن تكون هناك دائمًا قطعتان من العملات المعدنية بالضبط. وفي المربعات الأربعة تحت بعضها البعض، يجب أيضًا أن تكون هناك دائمًا قطعتان من العملات المعدنية بالضبط.
في أي مربع يجب وضع عملة معدنية إضافية؟",D,A,1.006
141,1,combinatorial geometry,images/141.jpg,"مزق قرد قطعة من خريطة الكابتن جاك.
<image1>
كيف تبدو القطعة التي مزقها القرد؟
<image2>",B,C,1.202
142,1,combinatorial geometry,images/142.jpg,تتكون هذه الحيوانات الخمسة من أشكال مختلفة. هناك شكل يُستخدم على حيوان واحد فقط. على أي حيوان يُستخدم هذا الشكل؟,D,A,1.166
143,3,logic,images/143.jpg,"يوجد حيوان نائم في كل سلة من السلال الخمس. ينام حيوان الكوالا والثعلب في سلال بنفس النمط والشكل. ينام حيوان الكنغر والأرنب في سلال بنفس النمط.
<image1>
في أي سلة ينام الفأر؟",E,Basket 5,1.206
144,1,counting,images/144.jpg,"تُظهر الصورة جسمًا يتكون من 5 مكعبات بناء متطابقة.
<image1>
كم عدد مكعبات البناء التي تلامس 3 مكعبات أخرى بالضبط؟",2,A,1.012
145,1,combinatorial geometry,images/145.jpg,"يريد الكنغر زيارة الكوالا. وفي طريقه، لا يُسمح له بالقفز عبر مربع به ماء. يُظهر كل سهم قفزة واحدة إلى حقل مجاور.
<image1>
أي مسار يُسمح للكنغر باتباعه؟
<image2>",C,A,1.133
146,3,logic,images/146.jpg,"كتب كارل رقمًا مكونًا من خمسة أرقام.
ثم وضع شكلاً على كل رقم من الأرقام الخمسة (انظر الصورة).
لقد وضع أشكالًا مختلفة على أرقام مختلفة.
لقد وضع نفس الشكل على الأرقام نفسها.
ما هو الرقم الذي أخفاه كارل؟
<image1>",34426,A,1.064
147,1,combinatorial geometry,images/147.jpg,تُشكّل كاترينا مسارًا حول كل مربع. ولهذا، تستخدم أحجارًا كهذه <image1>. كم عدد مثل هذه الأحجار التي تحتاجها لمسار حول المربع الذي طول ضلعه 5؟,12,A,1.003
148,1,combinatorial geometry,images/148.jpg,فيما يلي خمس قطع من العشب. أيها يمتلك أصغر مساحة عشبية؟,A,A,1.072
149,1,algebra,images/149.jpg,"مجموع الأرقام في الدوائر الخمس حول كل منزل يساوي 20. بعض الأرقام مفقودة.
<image1>
ما هو الرقم الذي تمثله علامة الاستفهام؟",9,A,1.301
150,2,arithmetic,images/150.jpg,"يسير ديونو من المدخل إلى المخرج. ويُسمح له بالمرور عبر كل غرفة مرة واحدة فقط. وتحمل الغرف أرقامًا (انظر الرسم التخطيطي). ويقوم ديونو بجمع جميع أرقام الغرف التي يمر بها.
ما هو أكبر نتيجة يمكن أن يحصل عليها بهذه الطريقة؟",34,A,1.121
151,1,counting,images/151.jpg,من كم دائرة يتكون القندس؟,8,A,0.989
152,2,descriptive geometry,images/152.jpg,تُظهر الصورة 5 مكعبات من الأمام. كيف تبدو من الأعلى؟,B,A,1.129
153,2,arithmetic,images/153.jpg,في كل وعاء 4 كرات. اجمع الأرقام الموجودة على الكرات. في أي وعاء تكون النتيجة أكبر ما يمكن؟,A,A,1.089
154,1,combinatorial geometry,images/154.jpg,"يعيد السيد بيفر ترتيب الأجزاء لبناء كنغر.
<image1>
أي جزء مفقود؟
<image2>",A,A,1.16
155,1,counting,images/155.jpg,"تقول سارة: ""قاربي يحتوي على أكثر من دائرة واحدة. كما أنه يحتوي على مثلثين أكثر من المربعات."" أي قارب يخص سارة؟",E,A,1.128
156,2,arithmetic,images/156.jpg,النحلة على اليمين تفتقد بعض القطع. تكلف كل قطعة نقاط (Punkte). كم عدد النقاط التي تحتاجها مايا لإكمال النحلة؟,13,A,1.12
157,2,transformation geometry,images/157.jpg,تطوي سوسي ورقة في المنتصف. وتثقب فيها ثقبين. <image1> كيف تبدو الورقة عندما تفردها مرة أخرى؟ <image2>,B,"<image1> The folded paper with two holes appears as a square with rounded corners when unfolded. </image2>
<image2> When unfolded again, the paper now has a square shape with a central hole, resembling a simplified version of a chess piece.",1.495
158,1,solid geometry,images/158.jpg,قام هانسي بتثبيت 12 مكعبًا معًا لتكوين هذا الشكل. وهو يضع دائمًا قطرة غراء واحدة بين كل مكعبين. فكم عدد قطرات الغراء التي يحتاجها؟,11,A,1.454
159,1,algebra,images/159.jpg,"العالمان اللتان بهما علامة استفهام لهما نفس الرقم.
ما هو الرقم الذي يجب وضعه بدلاً من علامة الاستفهام لكي تكون العملية الحسابية صحيحة؟",3,10 + ? + ? + 2 = 18,1.2
160,1,combinatorial geometry,images/160.jpg,"يريد ماكس إكمال الأحجية المعروضة. لديه قطع مختلفة.
<image1>
ما هي القطع التي يجب عليه استخدامها؟
<image2>",A,A,1.435
161,1,combinatorial geometry,images/161.jpg,"يملك إلفيس 6 مثلثات بهذا النمط
<image1>
أي صورة يمكنه صنعها بها؟
<image2>",A,A,1.205
162,3,logic,images/162.jpg,يحصل كل من الأطفال علي وليا ويوزيف وفيتوريو وصوفي على كعكة عيد ميلاد. يوضح الرقم الموجود على قمة الكعكة عمر الطفل. ليا أكبر من يوزيف بسنتين، ولكنها أصغر من علي بسنة. فيتوريو هو الأصغر. أي كعكة تخص صوفي؟,C,"The candles represent ages, with numbers indicating years. Based on the given conditions:

- **Lila** is older than **Yoseph** by 2 years.
- **Lila** is older than **Vittorio** by 1 year.

Thus, the candles show **7, 6, 5, 4, 5** for cakes (A, B, C, D, E) respectively, corresponding to the ages calculated from the differences.

**Answer: (C)**",1.812
163,1,algebra,images/163.jpg,لدى ماريا ما مجموعه 19 تفاحة في 3 أكياس. أخذت نفس الكمية من التفاح من كل كيس. ثم بقيت 3 و 4 و 6 تفاحات في الأكياس. كم تفاحة أخذت ماريا من كل كيس؟,2,A,0.958
